time,id,class_id,x,y,z,vx,vy,vz,sigma_00,sigma_01,sigma_02,sigma_03,sigma_04,sigma_05,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_50,sigma_51,sigma_52,sigma_53,sigma_54,sigma_55,x_pattern,y_pattern,z_pattern,pattern,status,collision_p,c_time,c_x,c_y,c_z,c_sigma_00,c_sigma_01,c_sigma_02,c_sigma_03,c_sigma_04,c_sigma_05,c_sigma_10,c_sigma_11,c_sigma_12,c_sigma_13,c_sigma_14,c_sigma_15,c_sigma_20,c_sigma_21,c_sigma_22,c_sigma_23,c_sigma_24,c_sigma_25,c_sigma_30,c_sigma_31,c_sigma_32,c_sigma_33,c_sigma_34,c_sigma_35,c_sigma_40,c_sigma_41,c_sigma_42,c_sigma_43,c_sigma_44,c_sigma_45,c_sigma_50,c_sigma_51,c_sigma_52,c_sigma_53,c_sigma_54,c_sigma_55
0.000,2335265343192,13,-0.015,0.177,-5.516,0.000,0.000,0.000,199.601,0.000,0.000,6.653,0.000,0.000,0.000,199.601,0.000,0.000,6.653,0.000,0.000,0.000,199.601,0.000,0.000,6.653,6.653,0.000,0.000,99889.012,0.000,0.000,0.000,6.653,0.000,0.000,99889.012,0.000,0.000,0.000,6.653,0.000,0.000,99889.012,-0.015,0.177,-5.516,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.033,2335265343192,13,-0.015,0.177,-5.516,0.000,0.000,0.000,121.761,0.000,0.000,1306.438,0.000,0.000,0.000,121.761,0.000,0.000,1306.438,0.000,0.000,0.000,121.761,0.000,0.000,1306.438,1306.438,0.000,0.000,78074.001,0.000,0.000,0.000,1306.438,0.000,0.000,78074.001,0.000,0.000,0.000,1306.438,0.000,0.000,78074.001,-0.015,0.177,-5.516,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.067,2335265343192,13,-0.017,0.175,-5.520,-0.024,-0.015,-0.056,119.333,0.000,0.000,1577.645,0.000,0.000,0.000,119.333,0.000,0.000,1577.645,0.000,0.000,0.000,119.333,0.000,0.000,1577.645,1577.645,0.000,0.000,47219.151,0.000,0.000,0.000,1577.645,0.000,0.000,47219.151,0.000,0.000,0.000,1577.645,0.000,0.000,47219.151,-0.018,0.175,-5.523,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.100,2335265343192,13,-0.020,0.174,-5.519,-0.042,-0.023,-0.023,116.175,0.000,0.000,1321.579,0.000,0.000,0.000,116.175,0.000,0.000,1321.579,0.000,0.000,0.000,116.175,0.000,0.000,1321.579,1321.579,0.000,0.000,26383.199,0.000,0.000,0.000,1321.579,0.000,0.000,26383.199,0.000,0.000,0.000,1321.579,0.000,0.000,26383.199,-0.021,0.174,-5.517,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.133,2335265343192,13,-0.018,0.175,-5.517,-0.016,-0.008,-0.003,107.779,0.000,0.000,1015.304,0.000,0.000,0.000,107.779,0.000,0.000,1015.304,0.000,0.000,0.000,107.779,0.000,0.000,1015.304,1015.304,0.000,0.000,15205.221,0.000,0.000,0.000,1015.304,0.000,0.000,15205.221,0.000,0.000,0.000,1015.304,0.000,0.000,15205.221,-0.016,0.176,-5.516,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.167,2335265343192,13,-0.015,0.176,-5.522,0.012,0.000,-0.038,98.079,0.000,0.000,775.948,0.000,0.000,0.000,98.079,0.000,0.000,775.948,0.000,0.000,0.000,98.079,0.000,0.000,775.948,775.948,0.000,0.000,9297.733,0.000,0.000,0.000,775.948,0.000,0.000,9297.733,0.000,0.000,0.000,775.948,0.000,0.000,9297.733,-0.012,0.177,-5.527,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.200,2335265343192,13,-0.015,0.177,-5.528,0.010,0.007,-0.072,88.954,0.000,0.000,603.079,0.000,0.000,0.000,88.954,0.000,0.000,603.079,0.000,0.000,0.000,88.954,0.000,0.000,603.079,603.079,0.000,0.000,6022.467,0.000,0.000,0.000,603.079,0.000,0.000,6022.467,0.000,0.000,0.000,603.079,0.000,0.000,6022.467,-0.015,0.178,-5.535,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.234,2335265343192,13,-0.016,0.179,-5.543,0.005,0.020,-0.145,80.919,0.000,0.000,478.724,0.000,0.000,0.000,80.919,0.000,0.000,478.724,0.000,0.000,0.000,80.919,0.000,0.000,478.724,478.724,0.000,0.000,4097.930,0.000,0.000,0.000,478.724,0.000,0.000,4097.930,0.000,0.000,0.000,478.724,0.000,0.000,4097.930,-0.017,0.182,-5.561,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.267,2335265343192,13,-0.017,0.181,-5.561,-0.002,0.024,-0.212,73.987,0.000,0.000,387.778,0.000,0.000,0.000,73.987,0.000,0.000,387.778,0.000,0.000,0.000,73.987,0.000,0.000,387.778,387.778,0.000,0.000,2904.624,0.000,0.000,0.000,387.778,0.000,0.000,2904.624,0.000,0.000,0.000,387.778,0.000,0.000,2904.624,-0.020,0.182,-5.582,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
0.300,2335265343192,13,-0.019,0.181,-5.571,-0.010,0.023,-0.225,68.030,0.000,0.000,319.827,0.000,0.000,0.000,68.030,0.000,0.000,319.827,0.000,0.000,0.000,68.030,0.000,0.000,319.827,319.827,0.000,0.000,2129.530,0.000,0.000,0.000,319.827,0.000,0.000,2129.530,0.000,0.000,0.000,319.827,0.000,0.000,2129.530,-0.021,0.181,-5.576,2335265343136,1,0.000,0.010,-0.015,0.177,-5.516,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,0.000,0.000,0.000,209.723,0.000,0.000,1005.543,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012,0.000,0.000,0.000,1005.543,0.000,0.000,99889.012
