time,id,class_id,x,y,z,vx,vy,vz,sigma_00,sigma_01,sigma_02,sigma_03,sigma_04,sigma_05,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_50,sigma_51,sigma_52,sigma_53,sigma_54,sigma_55,x_pattern,y_pattern,z_pattern,pattern,status,collision_p,c_time,c_x,c_y,c_z,c_sigma_00,c_sigma_01,c_sigma_02,c_sigma_03,c_sigma_04,c_sigma_05,c_sigma_10,c_sigma_11,c_sigma_12,c_sigma_13,c_sigma_14,c_sigma_15,c_sigma_20,c_sigma_21,c_sigma_22,c_sigma_23,c_sigma_24,c_sigma_25,c_sigma_30,c_sigma_31,c_sigma_32,c_sigma_33,c_sigma_34,c_sigma_35,c_sigma_40,c_sigma_41,c_sigma_42,c_sigma_43,c_sigma_44,c_sigma_45,c_sigma_50,c_sigma_51,c_sigma_52,c_sigma_53,c_sigma_54,c_sigma_55
0.000,1874847703448,15,-0.700,1.663,-68.816,0.000,0.000,0.000,199.601,0.000,0.000,6.646,0.000,0.000,0.000,199.601,0.000,0.000,6.646,0.000,0.000,0.000,199.601,0.000,0.000,6.646,6.646,0.000,0.000,99889.233,0.000,0.000,0.000,6.646,0.000,0.000,99889.233,0.000,0.000,0.000,6.646,0.000,0.000,99889.233,-0.700,1.663,-68.816,1874847703112,1,0.000,0.010,-0.700,1.663,-68.816,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.000,1874847704512,15,-1.066,1.693,-70.057,0.000,0.000,0.000,199.601,0.000,0.000,6.646,0.000,0.000,0.000,199.601,0.000,0.000,6.646,0.000,0.000,0.000,199.601,0.000,0.000,6.646,6.646,0.000,0.000,99889.233,0.000,0.000,0.000,6.646,0.000,0.000,99889.233,0.000,0.000,0.000,6.646,0.000,0.000,99889.233,-1.066,1.693,-70.057,1874847703728,1,0.000,0.010,-1.066,1.693,-70.057,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.033,1874847703448,15,-0.695,1.638,-68.222,0.049,-0.268,6.375,121.727,0.000,0.000,1305.705,0.000,0.000,0.000,121.727,0.000,0.000,1305.705,0.000,0.000,0.000,121.727,0.000,0.000,1305.705,1305.705,0.000,0.000,78108.202,0.000,0.000,0.000,1305.705,0.000,0.000,78108.202,0.000,0.000,0.000,1305.705,0.000,0.000,78108.202,-0.692,1.622,-67.840,1874847703112,1,0.000,0.010,-0.700,1.663,-68.816,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.033,1874847704512,15,-1.062,1.666,-69.473,0.047,-0.287,6.264,121.727,0.000,0.000,1305.705,0.000,0.000,0.000,121.727,0.000,0.000,1305.705,0.000,0.000,0.000,121.727,0.000,0.000,1305.705,1305.705,0.000,0.000,78108.202,0.000,0.000,0.000,1305.705,0.000,0.000,78108.202,0.000,0.000,0.000,1305.705,0.000,0.000,78108.202,-1.059,1.649,-69.098,1874847703728,1,0.000,0.010,-1.066,1.693,-70.057,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.067,1874847703448,15,-0.691,1.610,-67.817,0.078,-0.527,8.923,119.283,0.000,0.000,1577.732,0.000,0.000,0.000,119.283,0.000,0.000,1577.732,0.000,0.000,0.000,119.283,0.000,0.000,1577.732,1577.732,0.000,0.000,47268.974,0.000,0.000,0.000,1577.732,0.000,0.000,47268.974,0.000,0.000,0.000,1577.732,0.000,0.000,47268.974,-0.690,1.596,-67.686,1874847703112,1,0.000,0.010,-0.700,1.663,-68.816,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.067,1874847704512,15,-1.058,1.636,-69.024,0.076,-0.560,9.445,119.283,0.000,0.000,1577.732,0.000,0.000,0.000,119.283,0.000,0.000,1577.732,0.000,0.000,0.000,119.283,0.000,0.000,1577.732,1577.732,0.000,0.000,47268.974,0.000,0.000,0.000,1577.732,0.000,0.000,47268.974,0.000,0.000,0.000,1577.732,0.000,0.000,47268.974,-1.056,1.622,-68.861,1874847703728,1,0.000,0.010,-1.066,1.693,-70.057,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.100,1874847703448,15,-0.690,1.578,-67.399,0.067,-0.689,10.291,116.140,0.000,0.000,1322.202,0.000,0.000,0.000,116.140,0.000,0.000,1322.202,0.000,0.000,0.000,116.140,0.000,0.000,1322.202,1322.202,0.000,0.000,26422.043,0.000,0.000,0.000,1322.202,0.000,0.000,26422.043,0.000,0.000,0.000,1322.202,0.000,0.000,26422.043,-0.690,1.568,-67.312,1874847703112,1,0.000,0.010,-0.700,1.663,-68.816,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.100,1874847704512,15,-1.064,1.601,-68.600,-0.022,-0.751,10.687,116.140,0.000,0.000,1322.202,0.000,0.000,0.000,116.140,0.000,0.000,1322.202,0.000,0.000,0.000,116.140,0.000,0.000,1322.202,1322.202,0.000,0.000,26422.043,0.000,0.000,0.000,1322.202,0.000,0.000,26422.043,0.000,0.000,0.000,1322.202,0.000,0.000,26422.043,-1.070,1.588,-68.521,1874847703728,1,0.000,0.010,-1.066,1.693,-70.057,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.133,1874847703448,15,-0.692,1.552,-67.141,0.024,-0.711,9.492,107.759,0.000,0.000,1016.010,0.000,0.000,0.000,107.759,0.000,0.000,1016.010,0.000,0.000,0.000,107.759,0.000,0.000,1016.010,1016.010,0.000,0.000,15231.013,0.000,0.000,0.000,1016.010,0.000,0.000,15231.013,0.000,0.000,0.000,1016.010,0.000,0.000,15231.013,-0.696,1.550,-67.214,1874847703112,1,0.000,0.010,-0.700,1.663,-68.816,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
0.133,1874847704512,15,-1.075,1.575,-68.323,-0.122,-0.759,9.935,107.759,0.000,0.000,1016.010,0.000,0.000,0.000,107.759,0.000,0.000,1016.010,0.000,0.000,0.000,107.759,0.000,0.000,1016.010,1016.010,0.000,0.000,15231.013,0.000,0.000,0.000,1016.010,0.000,0.000,15231.013,0.000,0.000,0.000,1016.010,0.000,0.000,15231.013,-1.084,1.574,-68.392,1874847703728,1,0.000,0.010,-1.066,1.693,-70.057,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,0.000,0.000,0.000,209.723,0.000,0.000,1005.538,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233,0.000,0.000,0.000,1005.538,0.000,0.000,99889.233
