time,id,class_id,x,y,z,vx,vy,vz,ax,ay,az,pattern
0.000,2223370926512,7,0.426,-2.909,-15.203,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.000,2223370926008,7,2.266,-0.095,-15.845,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.000,2223370927408,7,-0.159,-0.949,-15.734,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.040,2223370926512,7,0.434,-2.896,-15.150,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.040,2223370926008,7,2.310,-0.133,-15.845,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.040,2223370927408,7,-0.141,-0.973,-15.509,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.080,2223370926512,7,0.464,-2.944,-15.333,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.080,2223370926008,7,2.356,-0.161,-15.935,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.080,2223370927408,7,-0.131,-0.984,-15.407,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.080,2223372514864,7,0.435,1.522,-21.845,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.120,2223370926512,7,0.503,-3.099,-15.979,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.120,2223370926008,7,2.364,-0.215,-15.710,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.120,2223370927408,7,-0.111,-1.002,-15.216,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.120,2223372514864,7,0.470,1.562,-22.763,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.160,2223370926512,7,0.554,-3.361,-17.017,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
0.160,2223370926008,7,2.399,-0.281,-15.585,0.000,0.000,0.000,0.000,0.000,0.000,2223370927576
0.160,2223370927408,7,-0.081,-1.032,-14.950,0.000,0.000,0.000,0.000,0.000,0.000,2223370925224
0.160,2223372514864,7,0.489,1.574,-22.833,0.000,0.000,0.000,0.000,0.000,0.000,2223372516992
0.160,2223372516152,7,-1.295,0.155,-19.397,0.000,0.000,0.000,0.000,0.000,0.000,2223372517272
0.200,2223370926512,7,0.614,-3.708,-18.406,0.000,0.000,0.000,0.000,0.000,0.000,2223370927296
