time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,2458003236176,4,0.902,620.000,793.000,27.000,327.000,1,1,2,1,0,False
0.033,2458003236736,4,0.801,621.000,793.000,28.000,332.000,1,1,2,1,0,True
0.067,2458003236904,4,0.823,623.000,793.000,34.000,329.000,1,1,1,1,0,True
0.100,2458003237072,4,0.824,627.000,795.000,27.000,332.000,1,1,2,1,0,True
0.133,2458003237240,4,0.770,622.000,799.000,28.000,328.000,1,1,2,1,0,True
0.167,2458003237408,4,0.765,624.000,800.000,30.000,326.000,1,1,2,1,0,True
0.200,2458003237576,4,0.781,627.000,797.000,29.000,332.000,1,1,2,1,0,True
0.234,2458003237744,4,0.836,625.000,795.000,27.000,323.000,1,1,2,1,0,True
0.267,2458003237912,4,0.888,622.000,797.000,26.000,334.000,1,1,2,1,0,True
0.300,2458003238080,4,0.845,624.000,796.000,26.000,326.000,1,1,2,1,0,True
0.334,2458003238248,4,0.830,625.000,801.000,28.000,332.000,1,1,2,1,0,True
0.367,2458003238416,4,0.759,626.000,799.000,27.000,329.000,1,1,2,1,0,True
0.400,2458003235728,4,0.741,629.000,799.000,29.000,332.000,1,1,2,1,0,True
0.434,2458003238584,4,0.745,631.000,797.000,31.000,330.000,1,1,1,1,0,True
0.467,2458003238696,4,0.866,629.000,799.000,31.000,320.000,1,1,1,1,0,True
0.500,2457917673544,4,0.779,631.000,799.000,25.000,326.000,1,1,2,1,0,True
0.534,2457917673656,4,0.805,632.000,798.000,26.000,323.000,1,1,2,1,0,True
0.567,2457917673824,4,0.793,632.000,798.000,27.000,323.000,1,1,2,1,0,True
0.601,2457917673992,4,0.820,631.000,798.000,29.000,325.000,1,1,2,1,0,True
0.634,2457917674160,4,0.799,632.000,798.000,30.000,328.000,1,1,2,1,0,True
0.667,2457917674328,4,0.748,629.000,799.000,28.000,326.000,1,1,2,1,0,True
0.701,2457917674496,4,0.735,632.000,804.000,27.000,323.000,1,1,2,1,0,True
0.734,2457917674664,4,0.697,634.000,805.000,27.000,321.000,1,1,2,1,0,True
0.767,2457917674832,4,0.690,633.000,804.000,27.000,322.000,1,1,2,1,0,True
0.801,2457917675000,4,0.765,633.000,804.000,31.000,328.000,1,1,1,1,0,True
0.834,2458003127040,4,0.748,631.000,806.000,32.000,326.000,1,1,1,1,0,True
0.868,2457917675168,4,0.799,635.000,802.000,29.000,329.000,1,1,2,1,0,True
0.901,2457917675392,4,0.803,631.000,809.000,26.000,324.000,1,1,2,1,0,True
0.934,2457917675560,4,0.750,629.000,811.000,23.000,319.000,1,1,2,1,0,True
0.968,2457917675728,4,0.717,630.000,813.000,23.000,316.000,1,1,2,1,0,True
1.001,2457917676008,4,0.744,631.000,811.000,24.000,320.000,1,1,2,1,0,True
1.034,2458003236624,4,0.751,635.000,811.000,25.000,323.000,1,1,2,1,0,True
