time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,2059439126792,4,0.902,620.000,793.000,27.000,327.000,1,1,2,1,0,False
0.033,2059439128192,4,0.801,621.000,793.000,28.000,332.000,1,1,2,1,0,True
0.067,2059439128360,4,0.823,623.000,793.000,34.000,329.000,1,1,1,1,0,True
0.100,2059439128528,4,0.824,627.000,795.000,27.000,332.000,1,1,2,1,0,True
0.133,2059438571704,4,0.770,622.000,799.000,28.000,328.000,1,1,2,1,0,True
0.167,2059438571872,4,0.765,624.000,800.000,30.000,326.000,1,1,2,1,0,True
0.200,2059438572040,4,0.781,627.000,797.000,29.000,332.000,1,1,2,1,0,True
0.234,2059438572208,4,0.836,625.000,795.000,27.000,323.000,1,1,2,1,0,True
0.267,2059438572376,4,0.888,622.000,797.000,26.000,334.000,1,1,2,1,0,True
0.300,2059438572544,4,0.845,624.000,796.000,26.000,326.000,1,1,2,1,0,True
0.334,2059438572712,4,0.830,625.000,801.000,28.000,332.000,1,1,2,1,0,True
0.367,2059438572880,4,0.759,626.000,799.000,27.000,329.000,1,1,2,1,0,True
0.400,2059438573048,4,0.741,629.000,799.000,29.000,332.000,1,1,2,1,0,True
0.434,2059438573104,4,0.745,631.000,797.000,31.000,330.000,1,1,1,1,0,True
0.467,2059438573272,4,0.866,629.000,799.000,31.000,320.000,1,1,1,1,0,True
0.500,2059438573440,4,0.779,631.000,799.000,25.000,326.000,1,1,2,1,0,True
0.534,2059438573608,4,0.805,632.000,798.000,26.000,323.000,1,1,2,1,0,True
0.567,2059438573776,4,0.793,632.000,798.000,27.000,323.000,1,1,2,1,0,True
0.601,2059438573944,4,0.820,631.000,798.000,29.000,325.000,1,1,2,1,0,True
0.634,2059438574112,4,0.799,632.000,798.000,30.000,328.000,1,1,2,1,0,True
0.667,2059438574280,4,0.748,629.000,799.000,28.000,326.000,1,1,2,1,0,True
0.701,2059438574448,4,0.735,632.000,804.000,27.000,323.000,1,1,2,1,0,True
0.734,2059438574616,4,0.697,634.000,805.000,27.000,321.000,1,1,2,1,0,True
0.767,2059438574840,4,0.690,633.000,804.000,27.000,322.000,1,1,2,1,0,True
0.801,2059438574896,4,0.765,633.000,804.000,31.000,328.000,1,1,1,1,0,True
0.834,2059439125896,4,0.748,631.000,806.000,32.000,326.000,1,1,1,1,0,True
0.868,2059438575064,4,0.799,635.000,802.000,29.000,329.000,1,1,2,1,0,True
0.901,2059438575288,4,0.803,631.000,809.000,26.000,324.000,1,1,2,1,0,True
0.934,2059438575456,4,0.750,629.000,811.000,23.000,319.000,1,1,2,1,0,True
0.968,2059438616648,4,0.717,630.000,813.000,23.000,316.000,1,1,2,1,0,True
1.001,2059438616928,4,0.744,631.000,811.000,24.000,320.000,1,1,2,1,0,True
1.034,2059439128136,4,0.751,635.000,811.000,25.000,323.000,1,1,2,1,0,True
1.068,2059438617208,4,0.704,636.000,810.000,26.000,322.000,1,1,2,1,0,True
1.101,2059438617376,4,0.643,635.000,813.000,26.000,322.000,1,1,2,1,0,True
1.134,2059438617544,4,0.632,638.000,814.000,26.000,319.000,1,1,2,1,0,True
1.168,2059438617712,4,0.612,635.000,814.000,27.000,318.000,1,1,2,1,0,True
1.201,2059438617880,4,0.646,633.000,814.000,28.000,318.000,1,1,2,1,0,True
1.235,2059438618048,4,0.689,634.000,813.000,27.000,319.000,1,1,2,1,0,True
1.268,2059438618216,4,0.733,635.000,813.000,25.000,319.000,1,1,2,1,0,True
1.301,2059438618384,4,0.733,633.000,813.000,24.000,319.000,1,1,2,1,0,True
1.335,2059438618552,4,0.712,632.000,816.000,26.000,319.000,1,1,2,1,0,True
1.368,2059438618720,4,0.700,631.000,817.000,30.000,319.000,1,1,2,1,0,True
1.401,2059438618888,4,0.561,633.000,818.000,28.000,320.000,1,1,2,1,0,True
1.435,2059438619056,4,0.547,634.000,817.000,25.000,319.000,1,1,2,1,0,True
1.468,2059438619224,4,0.575,634.000,818.000,25.000,322.000,1,1,2,1,0,True
1.502,2059438619392,4,0.444,640.000,817.000,26.000,323.000,1,1,2,1,0,True
1.535,2059438619560,4,0.484,640.000,817.000,27.000,320.000,1,1,2,1,0,True
1.568,2059438619728,4,0.418,641.000,817.000,26.000,323.000,1,1,2,1,0,True
1.602,2059438619896,4,0.368,641.000,818.000,25.000,324.000,1,1,2,1,0,True
1.635,2059438620064,4,0.398,672.000,834.000,29.000,326.000,1,1,2,1,0,True
1.668,2059438620232,4,0.492,670.000,834.000,30.000,326.000,1,1,2,1,0,True
1.702,2059438620400,4,0.482,672.000,834.000,30.000,328.000,1,1,2,1,0,True
1.735,2059438620568,4,0.527,675.000,834.000,32.000,327.000,1,1,1,1,0,True
1.768,2059438588032,4,0.644,674.000,835.000,34.000,324.000,1,1,1,1,0,True
1.802,2059438588200,4,0.654,674.000,835.000,32.000,322.000,1,1,1,1,0,True
1.835,2059438588368,4,0.622,672.000,835.000,32.000,323.000,1,1,1,1,0,True
1.869,2059438588536,4,0.609,673.000,837.000,31.000,325.000,1,1,1,1,0,True
1.902,2059438588704,4,0.627,672.000,839.000,29.000,326.000,1,1,2,1,0,True
1.935,2059438588872,4,0.652,677.000,838.000,30.000,326.000,1,1,2,1,0,True
1.969,2059438589040,4,0.686,675.000,837.000,29.000,325.000,1,1,2,1,0,True
2.002,2059438589208,4,0.662,674.000,836.000,30.000,325.000,1,1,2,1,0,True
2.035,2059438617040,4,0.543,673.000,837.000,31.000,326.000,1,1,1,1,0,True
2.069,2059438589544,4,0.590,672.000,838.000,29.000,325.000,1,1,2,1,0,True
2.102,2059438589712,4,0.549,672.000,838.000,28.000,327.000,1,1,2,1,0,True
2.135,2059438589880,4,0.697,671.000,841.000,28.000,324.000,1,1,2,1,0,True
2.169,2059438590048,4,0.791,676.000,839.000,29.000,326.000,1,1,2,1,0,True
2.202,2059438590216,4,0.809,677.000,837.000,29.000,323.000,1,1,2,1,0,True
2.236,2059438590384,4,0.790,676.000,838.000,31.000,323.000,1,1,1,1,0,True
2.269,2059438590552,4,0.712,676.000,839.000,29.000,321.000,1,1,2,1,0,True
2.302,2059438590720,4,0.715,673.000,842.000,28.000,320.000,1,1,2,1,0,True
2.336,2059438590888,4,0.787,674.000,843.000,27.000,321.000,1,1,2,1,0,True
2.369,2059438591056,4,0.856,678.000,844.000,29.000,320.000,1,1,2,1,0,True
2.402,2059438591224,4,0.862,680.000,844.000,30.000,322.000,1,1,2,1,0,True
2.436,2059438591392,4,0.860,681.000,845.000,29.000,322.000,1,1,2,1,0,True
2.469,2059438591560,4,0.793,668.000,852.000,24.000,325.000,1,1,2,1,0,True
2.503,2059438591728,4,0.810,678.000,841.000,30.000,323.000,1,1,2,1,0,True
2.536,2059438591896,4,0.821,678.000,843.000,30.000,321.000,1,1,2,1,0,True
2.569,2059438604416,4,0.869,678.000,847.000,30.000,321.000,1,1,2,1,0,True
2.603,2059438604584,4,0.907,682.000,848.000,32.000,326.000,1,1,1,1,0,True
2.636,2059438604752,4,0.876,679.000,847.000,35.000,325.000,1,1,1,1,0,True
2.669,2059438604920,4,0.802,680.000,847.000,35.000,327.000,1,1,1,1,0,True
2.703,2059438605088,4,0.790,678.000,848.000,32.000,324.000,1,1,1,1,0,True
2.736,2059438605256,4,0.812,680.000,848.000,30.000,320.000,1,1,2,1,0,True
2.769,2059438605424,4,0.855,682.000,848.000,28.000,318.000,1,1,2,1,0,True
2.803,2059438605592,4,0.880,688.000,848.000,30.000,322.000,1,1,2,1,0,True
2.836,2059438605760,4,0.869,687.000,848.000,30.000,324.000,1,1,2,1,0,True
2.870,2059438605928,4,0.810,685.000,850.000,32.000,325.000,1,1,1,1,0,True
2.903,2059438606096,4,0.754,679.000,855.000,23.000,328.000,1,1,2,1,0,True
2.936,2059438606264,4,0.760,686.000,852.000,27.000,322.000,1,1,2,1,0,True
2.970,2059438606432,4,0.856,686.000,851.000,27.000,321.000,1,1,2,1,0,True
3.003,2059438606600,4,0.880,686.000,853.000,28.000,326.000,1,1,2,1,0,True
3.036,2059438589376,4,0.867,688.000,856.000,29.000,326.000,1,1,2,1,0,True
3.070,2059438606936,4,0.858,691.000,856.000,30.000,327.000,1,1,2,1,0,True
3.103,2059438607104,4,0.855,690.000,855.000,30.000,326.000,1,1,2,1,0,True
3.136,2059438607272,4,0.806,687.000,856.000,28.000,322.000,1,1,2,1,0,True
3.170,2059438607440,4,0.866,686.000,858.000,26.000,321.000,1,1,2,1,0,True
3.203,2059438607608,4,0.892,685.000,858.000,29.000,322.000,1,1,2,1,0,True
3.237,2059438607776,4,0.870,686.000,858.000,31.000,323.000,1,1,1,1,0,True
3.270,2059438607944,4,0.808,691.000,858.000,31.000,322.000,1,1,1,1,0,True
3.303,2059438608112,4,0.838,690.000,858.000,33.000,324.000,1,1,1,1,0,True
3.337,2059438608280,4,0.828,687.000,858.000,32.000,322.000,1,1,1,1,0,True
3.370,2059438637184,4,0.835,693.000,858.000,27.000,322.000,1,1,2,1,0,True
3.403,2059438637352,4,0.828,696.000,857.000,31.000,323.000,1,1,1,1,0,True
