time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,1896080568616,7,1.000,309.000,413.000,167.000,236.000,1,1,1,1,0,False
0.000,1896100421528,7,1.000,403.000,468.000,178.000,219.000,1,1,1,1,0,False
0.000,1896100421024,7,0.998,470.000,511.000,179.000,208.000,1,1,1,1,0,False
0.000,1894082286928,7,1.000,292.000,399.000,167.000,237.000,1,1,1,1,0,False
0.000,1894082287992,7,1.000,393.000,457.000,178.000,219.000,1,1,1,1,0,False
0.000,1894082288160,7,1.000,489.000,528.000,174.000,200.000,1,1,1,1,0,False
0.000,1894082287488,7,1.000,460.000,501.000,180.000,208.000,1,1,1,1,0,False
0.033,1894082289280,7,1.000,288.000,397.000,167.000,242.000,1,1,1,1,0,True
0.033,1894091506912,7,1.000,395.000,464.000,180.000,222.000,1,1,1,1,0,True
0.033,1894091506576,7,1.000,460.000,503.000,181.000,210.000,1,1,1,1,0,True
0.033,1894091507360,7,1.000,271.000,389.000,168.000,240.000,1,1,1,1,0,True
0.033,1894091505960,7,1.000,384.000,451.000,182.000,224.000,1,1,1,1,0,True
0.033,1894091507752,7,0.998,484.000,522.000,173.000,204.000,1,1,1,1,0,True
0.067,1894091506464,7,1.000,264.000,385.000,166.000,249.000,1,1,1,1,0,True
0.067,1894091508032,7,1.000,384.000,454.000,183.000,225.000,1,1,1,1,0,True
0.067,1894091508424,7,1.000,456.000,501.000,182.000,212.000,1,1,1,1,0,True
0.067,1894091508592,7,1.000,247.000,367.000,168.000,246.000,1,1,1,1,0,True
0.067,1894091507584,7,1.000,372.000,444.000,184.000,226.000,1,1,1,1,0,True
0.100,1894091508536,7,1.000,370.000,446.000,183.000,229.000,1,1,1,1,0,True
0.100,1894091508872,7,1.000,235.000,368.000,166.000,253.000,1,1,1,1,0,True
0.100,1894091509208,7,0.604,450.000,497.000,183.000,215.000,1,1,1,1,0,True
0.100,1894091508984,7,1.000,218.000,354.000,168.000,253.000,1,1,1,1,0,True
0.100,1894091508480,7,1.000,357.000,433.000,184.000,229.000,1,1,1,1,0,True
0.133,1894091507920,7,1.000,355.000,436.000,183.000,232.000,1,1,1,1,0,True
0.133,1894082241928,7,1.000,439.000,489.000,182.000,215.000,1,1,1,1,0,True
0.133,1894082241424,7,1.000,210.000,349.000,167.000,257.000,1,1,1,1,0,True
0.133,1894082242376,7,1.000,189.000,336.000,167.000,258.000,1,1,1,1,0,True
0.133,1894082241536,7,1.000,340.000,423.000,184.000,231.000,1,1,1,1,0,True
0.133,1894082241984,7,1.000,427.000,479.000,183.000,216.000,1,1,1,1,0,False
0.167,1894082243328,7,1.000,168.000,332.000,165.000,264.000,1,1,1,1,0,True
0.167,1894082243440,7,1.000,429.000,482.000,183.000,215.000,1,1,1,1,0,True
0.167,1894082242040,7,1.000,337.000,424.000,182.000,233.000,1,1,1,1,0,True
0.167,1894082240864,7,0.997,470.000,512.000,174.000,208.000,1,1,1,1,0,False
0.167,1894082244112,7,1.000,147.000,315.000,165.000,265.000,1,1,1,1,0,True
0.167,1894082243272,7,1.000,419.000,473.000,182.000,216.000,1,1,1,1,0,True
0.167,1894082244504,7,1.000,327.000,410.000,183.000,233.000,1,1,1,1,0,True
0.200,1894082244336,7,1.000,125.000,315.000,164.000,273.000,1,1,1,1,0,True
0.200,1894082243048,7,1.000,319.000,415.000,183.000,236.000,1,1,1,1,0,True
0.200,1894082242600,7,1.000,419.000,477.000,183.000,217.000,1,1,1,1,0,True
0.200,1894082244392,7,1.000,463.000,509.000,174.000,209.000,1,1,1,1,0,False
0.200,1894082244448,7,0.982,545.000,577.000,176.000,197.000,1,1,1,1,0,False
0.200,1894091429200,7,1.000,100.000,293.000,165.000,273.000,1,1,1,1,0,True
0.200,1894091429592,7,1.000,408.000,465.000,182.000,217.000,1,1,1,1,0,True
0.200,1894091429368,7,1.000,302.000,400.000,184.000,237.000,1,1,1,1,0,True
0.200,1894091428416,7,0.775,501.000,536.000,176.000,200.000,1,1,1,1,0,True
0.233,1894091428920,7,1.000,300.000,402.000,185.000,240.000,1,1,1,1,0,True
0.233,1894091430656,7,1.000,76.000,284.000,163.000,284.000,1,1,1,1,0,True
0.233,1894091431216,7,1.000,408.000,470.000,184.000,218.000,1,1,1,1,0,True
0.233,1894091430824,7,1.000,456.000,501.000,178.000,211.000,1,1,1,1,0,False
0.233,1894091431496,7,1.000,41.000,265.000,163.000,285.000,1,1,1,1,0,True
0.233,1894091430488,7,1.000,284.000,388.000,185.000,238.000,1,1,1,1,0,True
0.233,1894091428752,7,1.000,398.000,459.000,185.000,218.000,1,1,1,1,0,True
0.233,1894091430320,7,1.000,446.000,493.000,176.000,214.000,1,1,1,1,0,True
0.267,1894091431832,7,1.000,276.000,389.000,185.000,246.000,1,1,1,1,0,True
0.267,1894091431104,7,1.000,396.000,463.000,185.000,222.000,1,1,1,1,0,True
0.267,1894091431776,7,1.000,447.000,499.000,177.000,213.000,1,1,1,1,0,False
0.267,1894091430992,7,1.000,11.000,260.000,158.000,299.000,2,1,1,1,0,True
0.267,1894091430040,7,1.000,1.000,239.000,165.000,294.000,2,1,1,1,0,True
0.267,1894091281408,7,1.000,263.000,374.000,185.000,245.000,1,1,1,1,0,True
0.267,1894091280680,7,1.000,438.000,489.000,180.000,213.000,1,1,1,1,0,True
0.267,1894091281240,7,1.000,382.000,449.000,186.000,222.000,1,1,1,1,0,True
0.267,1894091280568,7,1.000,539.000,563.000,179.000,198.000,1,1,1,1,0,False
0.300,1894091280624,7,1.000,0.000,224.000,158.000,308.000,3,1,1,1,0,True
0.300,1894091283200,7,1.000,254.000,374.000,183.000,249.000,1,1,1,1,0,True
0.300,1894091283368,7,1.000,383.000,452.000,184.000,223.000,1,1,1,1,0,True
0.300,1894091283144,7,1.000,533.000,566.000,177.000,198.000,1,1,1,1,0,True
0.300,1894091283816,7,0.391,438.000,492.000,176.000,212.000,1,1,1,1,0,False
0.300,1894091284376,7,1.000,1.000,204.000,155.000,306.000,2,1,1,1,0,True
0.300,1894091281128,7,1.000,236.000,358.000,187.000,249.000,1,1,1,1,0,True
0.300,1894091281016,7,1.000,370.000,439.000,184.000,224.000,1,1,1,1,0,True
0.333,1894082244000,7,1.000,0.000,184.000,154.000,319.000,3,1,1,1,0,True
0.333,1894082244392,7,1.000,226.000,356.000,182.000,253.000,1,1,1,1,0,True
0.333,1894082241760,7,1.000,370.000,443.000,182.000,223.000,1,1,1,1,0,True
0.333,1894091431440,7,1.000,0.000,159.000,149.000,308.000,3,1,1,1,0,True
0.333,1894091430824,7,1.000,205.000,340.000,186.000,251.000,1,1,1,1,0,True
0.333,1894091429536,7,1.000,358.000,429.000,183.000,224.000,1,1,1,1,0,True
0.367,1894091508312,7,1.000,3.000,139.000,149.000,323.000,2,1,1,1,0,True
0.367,1894091505848,7,1.000,191.000,337.000,181.000,257.000,1,1,1,1,0,True
0.367,1894091506296,7,1.000,355.000,431.000,182.000,224.000,1,1,1,1,0,True
0.367,1894091508088,7,1.000,477.000,519.000,173.000,206.000,1,1,1,1,0,False
0.367,1894091506688,7,0.999,510.000,556.000,175.000,198.000,1,1,1,1,0,True
0.367,1894082451664,7,1.000,167.000,318.000,182.000,257.000,1,1,1,1,0,True
0.367,1894082450712,7,1.000,342.000,421.000,182.000,225.000,1,1,1,1,0,True
0.367,1894082451888,7,1.000,1.000,105.000,146.000,316.000,2,1,1,1,0,True
0.400,1894082452952,7,1.000,149.000,318.000,183.000,265.000,1,1,1,1,0,True
0.400,1894082452784,7,1.000,340.000,420.000,183.000,227.000,1,1,1,1,0,True
0.400,1894082450992,7,1.000,411.000,472.000,174.000,217.000,1,1,1,1,0,False
0.400,1894082450768,7,1.000,528.000,553.000,177.000,197.000,1,1,1,1,0,True
0.400,1894082452392,7,0.982,4.000,83.000,161.000,318.000,2,1,1,1,0,True
0.400,1894082451216,7,1.000,125.000,300.000,181.000,264.000,1,1,1,1,0,True
0.400,1894082453288,7,1.000,326.000,408.000,184.000,227.000,1,1,1,1,0,True
0.400,1894082453456,7,1.000,518.000,549.000,176.000,197.000,1,1,1,1,0,True
0.400,1894082453232,7,1.000,460.000,506.000,174.000,207.000,1,1,1,1,0,True
0.400,1894082452280,7,0.999,396.000,460.000,178.000,216.000,1,1,1,1,0,False
0.433,1894082488528,7,1.000,106.000,293.000,184.000,274.000,1,1,1,1,0,True
0.433,1894082487800,7,1.000,322.000,408.000,186.000,230.000,1,1,1,1,0,True
0.433,1894082488192,7,1.000,400.000,461.000,175.000,219.000,1,1,1,1,0,True
0.433,1894082487520,7,0.650,461.000,508.000,177.000,209.000,1,1,1,1,0,True
0.433,1894082488696,7,1.000,78.000,271.000,184.000,274.000,1,1,1,1,0,True
0.433,1894082487072,7,1.000,307.000,393.000,185.000,231.000,1,1,1,1,0,True
0.433,1894082489088,7,1.000,516.000,543.000,178.000,198.000,1,1,1,1,0,True
0.433,1894082487408,7,0.998,453.000,499.000,176.000,209.000,1,1,1,1,0,True
0.433,1894082486680,7,0.974,388.000,448.000,176.000,219.000,1,1,1,1,0,False
0.467,1894082490320,7,1.000,304.000,397.000,186.000,235.000,1,1,1,1,0,True
0.467,1894082489984,7,1.000,388.000,450.000,175.000,220.000,1,1,1,1,0,True
0.467,1894082490264,7,1.000,456.000,502.000,179.000,210.000,1,1,1,1,0,True
0.467,1894082490208,7,1.000,44.000,266.000,182.000,284.000,1,1,1,1,0,True
0.467,1894082487912,7,1.000,516.000,545.000,177.000,199.000,1,1,1,1,0,True
0.467,1894082488976,7,0.999,553.000,577.000,175.000,191.000,1,1,1,1,0,False
0.467,1894082489648,7,0.900,432.000,481.000,183.000,215.000,1,1,1,1,0,False
0.467,1894082537064,7,1.000,283.000,381.000,186.000,235.000,1,1,1,1,0,True
0.467,1894082536784,7,1.000,373.000,440.000,176.000,222.000,1,1,1,1,0,True
0.467,1894082537176,7,1.000,11.000,242.000,180.000,284.000,2,1,1,1,0,True
0.467,1894082536392,7,1.000,550.000,573.000,176.000,192.000,1,1,1,1,0,True
0.467,1894082537568,7,0.985,507.000,540.000,177.000,199.000,1,1,1,1,0,True
0.500,1894082538968,7,1.000,1.000,236.000,176.000,296.000,2,1,1,1,0,True
0.500,1894082537904,7,1.000,279.000,382.000,186.000,238.000,1,1,1,1,0,True
0.500,1894082535552,7,1.000,372.000,442.000,176.000,226.000,1,1,1,1,0,True
0.500,1894082538352,7,1.000,448.000,496.000,177.000,212.000,1,1,1,1,0,True
0.500,1894082539080,7,1.000,5.000,214.000,170.000,295.000,2,1,1,1,0,True
0.500,1894082538688,7,1.000,258.000,366.000,185.000,239.000,1,1,1,1,0,True
0.500,1894082537960,7,1.000,436.000,488.000,178.000,213.000,1,1,1,1,0,True
0.500,1894082538520,7,1.000,360.000,432.000,176.000,224.000,1,1,1,1,0,True
0.500,1894082538800,7,0.970,545.000,573.000,174.000,193.000,1,1,1,1,0,True
0.533,1894082577856,7,1.000,2.000,198.000,184.000,315.000,2,1,1,1,0,True
0.533,1894082577576,7,1.000,252.000,370.000,187.000,243.000,1,1,1,1,0,True
0.533,1894082577968,7,1.000,357.000,432.000,177.000,226.000,1,1,1,1,0,True
0.533,1894082577072,7,1.000,438.000,490.000,179.000,213.000,1,1,1,1,0,True
0.533,1894082578024,7,1.000,485.000,535.000,178.000,205.000,1,1,1,1,0,True
0.533,1894082578528,7,1.000,2.000,169.000,180.000,311.000,2,1,1,1,0,True
0.533,1894082578696,7,1.000,237.000,350.000,189.000,244.000,1,1,1,1,0,True
0.533,1894082578192,7,1.000,428.000,481.000,178.000,213.000,1,1,1,1,0,True
0.533,1894082578304,7,0.999,344.000,426.000,177.000,228.000,1,1,1,1,0,True
0.567,1894082577800,7,1.000,0.000,151.000,189.000,321.000,3,1,1,1,0,True
0.567,1894082577912,7,1.000,227.000,352.000,188.000,249.000,1,1,1,1,0,True
0.567,1894082580432,7,1.000,343.000,423.000,179.000,230.000,1,1,1,1,0,True
0.567,1894082579760,7,0.995,431.000,484.000,178.000,215.000,1,1,1,1,0,True
0.567,1894082577352,7,1.000,210.000,332.000,189.000,248.000,1,1,1,1,0,True
0.567,1894082580264,7,1.000,0.000,129.000,191.000,312.000,3,1,1,1,0,True
0.567,1894082579088,7,1.000,332.000,413.000,179.000,230.000,1,1,1,1,0,True
0.567,1894082579648,7,0.892,423.000,475.000,178.000,215.000,1,1,1,1,0,True
0.600,1894082896840,7,1.000,204.000,336.000,190.000,254.000,1,1,1,1,0,True
0.600,1894082897624,7,1.000,330.000,414.000,178.000,232.000,1,1,1,1,0,True
0.600,1894082897512,7,1.000,0.000,116.000,191.000,325.000,3,1,1,1,0,True
0.600,1894082896896,7,1.000,423.000,476.000,180.000,216.000,1,1,1,1,0,True
0.600,1894082897904,7,0.999,499.000,530.000,181.000,202.000,1,1,1,1,0,True
0.600,1894082896168,7,0.309,541.000,566.000,177.000,194.000,1,1,1,1,0,True
0.600,1894082896784,7,1.000,0.000,76.000,192.000,308.000,3,1,1,1,0,True
0.600,1894082898912,7,1.000,181.000,317.000,190.000,255.000,1,1,1,1,0,True
0.600,1894082896056,7,1.000,314.000,399.000,177.000,233.000,1,1,1,1,0,True
0.633,1894082898072,7,1.000,314.000,399.000,178.000,234.000,1,1,1,1,0,True
0.633,1894082897960,7,1.000,163.000,319.000,190.000,261.000,1,1,1,1,0,True
0.633,1894082899248,7,1.000,414.000,470.000,178.000,218.000,1,1,1,1,0,True
0.633,1894082899920,7,0.999,539.000,562.000,176.000,193.000,1,1,1,1,0,True
0.633,1894082899696,7,0.896,0.000,58.000,195.000,329.000,3,1,1,1,0,True
0.633,1894082452392,7,1.000,141.000,297.000,191.000,260.000,1,1,1,1,0,True
0.633,1894091280624,7,1.000,295.000,387.000,176.000,234.000,1,1,1,1,0,True
0.633,1894091506464,7,1.000,531.000,558.000,176.000,194.000,1,1,1,1,0,True
0.633,1894091508312,7,0.999,457.000,514.000,178.000,207.000,1,1,1,1,0,False
0.633,1894091508872,7,0.950,402.000,461.000,179.000,218.000,1,1,1,1,0,True
0.667,1894082537792,7,1.000,291.000,389.000,177.000,236.000,1,1,1,1,0,True
0.667,1894091284320,7,1.000,124.000,296.000,191.000,267.000,1,1,1,1,0,True
0.667,1894082451440,7,1.000,406.000,464.000,177.000,218.000,1,1,1,1,0,True
0.667,1894082450264,7,1.000,367.000,432.000,184.000,225.000,1,1,1,1,0,False
0.667,1894082452840,7,1.000,461.000,503.000,179.000,209.000,1,1,1,1,0,False
0.667,1894082487240,7,0.964,479.000,520.000,180.000,204.000,1,1,1,1,0,True
0.667,1894091431496,7,1.000,272.000,373.000,177.000,236.000,1,1,1,1,0,True
0.667,1894091431440,7,1.000,98.000,276.000,192.000,266.000,1,1,1,1,0,True
0.667,1894091430992,7,1.000,395.000,453.000,178.000,218.000,1,1,1,1,0,True
0.667,1894091429200,7,1.000,529.000,555.000,176.000,194.000,1,1,1,1,0,True
0.700,1894082929832,7,1.000,272.000,374.000,177.000,239.000,1,1,1,1,0,True
0.700,1894082930392,7,1.000,75.000,272.000,193.000,276.000,1,1,1,1,0,True
0.700,1894082929384,7,1.000,395.000,458.000,179.000,220.000,1,1,1,1,0,True
0.700,1894082930056,7,1.000,531.000,557.000,175.000,194.000,1,1,1,1,0,True
0.700,1894082931176,7,1.000,353.000,421.000,186.000,228.000,1,1,1,1,0,False
0.700,1894082930616,7,0.878,457.000,499.000,181.000,210.000,1,1,1,1,0,False
0.700,1894082929496,7,0.794,476.000,516.000,179.000,206.000,1,1,1,1,0,True
0.700,1894082931568,7,1.000,46.000,254.000,192.000,274.000,1,1,1,1,0,True
