time,priority,object,text
0.000,3,2134927167440,Detection created
0.000,1,2134962286776,Body created
0.000,2,2134962286720,Pattern created
0.033,3,2134962287000,Detection created
0.067,3,2134962287112,Detection created
0.100,3,2134962287224,Detection created
0.133,3,2134962287336,Detection created
0.167,3,2134962287448,Detection created
0.200,3,2134962287560,Detection created
0.234,3,2134962287672,Detection created
0.267,3,2134962287784,Detection created
0.300,3,2134962287896,Detection created
0.334,3,2134962288008,Detection created
0.367,3,2134962288120,Detection created
0.400,3,2134962288232,Detection created
0.434,3,2134962288288,Detection created
0.467,3,2134962288400,Detection created
0.500,3,2134962288512,Detection created
0.534,3,2134962288624,Detection created
0.567,3,2134962288736,Detection created
0.601,3,2134962288848,Detection created
0.634,3,2134962288960,Detection created
0.667,3,2134962289072,Detection created
0.701,3,2134962289184,Detection created
0.734,3,2134962289296,Detection created
0.767,3,2134962289408,Detection created
0.801,3,2134927167048,Detection created
0.834,3,2134962289576,Detection created
0.868,3,2134962289688,Detection created
0.901,3,2134962289800,Detection created
0.934,3,2134927166768,Detection created
0.968,3,2134962289968,Detection created
0.968,0,2134962286776,boat observed distance 60 meters moving away from us from left to right speed 5 kilometers per hour 
1.001,3,2134962290136,Detection created
1.034,3,2134962290192,Detection created
1.068,3,2134962290304,Detection created
1.101,3,2134962290416,Detection created
1.134,3,2134962290528,Detection created
1.168,3,2134962290640,Detection created
1.201,3,2134927876224,Detection created
1.235,3,2134927876336,Detection created
1.268,3,2134927876448,Detection created
1.301,3,2134927876560,Detection created
1.335,3,2134927876672,Detection created
1.368,3,2134927876784,Detection created
1.401,3,2134927876896,Detection created
1.435,3,2134927877008,Detection created
1.468,3,2134927877120,Detection created
1.502,3,2134927877232,Detection created
1.535,3,2134927877344,Detection created
1.568,3,2134927877456,Detection created
1.602,3,2134927877568,Detection created
1.635,3,2134927877680,Detection created
1.668,3,2134927877792,Detection created
1.702,3,2134927877904,Detection created
1.735,3,2134927878016,Detection created
1.768,3,2134927878128,Detection created
1.802,3,2134927878240,Detection created
1.835,3,2134927878352,Detection created
1.869,3,2134927878464,Detection created
1.902,3,2134927878576,Detection created
1.935,3,2134927878688,Detection created
1.969,3,2134927878800,Detection created
2.002,3,2134927878912,Detection created
2.035,3,2134927879024,Detection created
2.069,3,2134927879136,Detection created
2.102,3,2134927879248,Detection created
2.135,3,2134927879360,Detection created
2.169,3,2134927879472,Detection created
2.202,3,2134927879584,Detection created
2.236,3,2134927879696,Detection created
2.269,3,2134927879808,Detection created
2.302,3,2134927879920,Detection created
2.336,3,2134927880032,Detection created
2.369,3,2134927880144,Detection created
2.402,3,2134927908992,Detection created
2.436,3,2134927909104,Detection created
2.469,3,2134927909216,Detection created
2.503,3,2134927909328,Detection created
2.536,3,2134927909440,Detection created
2.569,3,2134927909552,Detection created
2.603,3,2134927909664,Detection created
2.636,3,2134927909776,Detection created
2.669,3,2134927909888,Detection created
2.703,3,2134927910000,Detection created
2.736,3,2134927910112,Detection created
2.769,3,2134927910224,Detection created
2.803,3,2134927910336,Detection created
2.836,3,2134927910448,Detection created
2.870,3,2134927910560,Detection created
2.903,3,2134927910672,Detection created
2.936,3,2134927910784,Detection created
2.970,3,2134927910896,Detection created
