time,priority,object,text
0.000,3,2175804663848,Detection created
0.000,3,2175804665248,Detection created
0.033,3,2175847561928,Detection created
0.033,3,2175847561816,Detection created
0.067,3,2175811601408,Detection created
0.067,3,2175804664800,Detection created
0.067,1,2175847561816,Body created
0.067,2,2175804665248,Pattern created
0.100,3,2175847563104,Detection created
0.100,1,2175847562656,Body created
0.100,2,2175847562376,Pattern created
0.100,3,2175847562320,Detection created
0.133,3,2175847562488,Detection created
0.133,3,2175847562096,Detection created
0.167,3,2175847561648,Detection created
0.167,3,2175847562712,Detection created
0.200,3,2175847562768,Detection created
0.200,3,2175847563048,Detection created
0.233,3,2175811530824,Detection created
0.233,3,2175811533008,Detection created
0.267,3,2175811533568,Detection created
0.267,3,2175811533736,Detection created
0.300,3,2175811531160,Detection created
0.300,3,2175811534016,Detection created
0.333,3,2175811532336,Detection created
0.333,3,2175811532000,Detection created
0.367,3,2175811531664,Detection created
0.367,3,2175811532224,Detection created
0.400,3,2175811601408,Detection created
0.400,3,2175847561256,Detection created
0.433,3,2175847562992,Detection created
0.433,3,2175811531664,Detection created
0.467,3,2175811531216,Detection created
0.467,3,2175811533960,Detection created
0.500,3,2175811534520,Detection created
0.500,3,2175811531776,Detection created
0.533,3,2175811532280,Detection created
0.533,3,2175811533400,Detection created
0.567,3,2175811533288,Detection created
0.567,3,2175811533120,Detection created
0.600,3,2175831513520,Detection created
0.600,3,2175829646976,Detection created
0.633,3,2175829457048,Detection created
0.633,3,2175829458616,Detection created
0.667,3,2175829454976,Detection created
0.667,3,2175829456992,Detection created
0.667,3,2175829455144,Detection created
0.700,3,2175847382880,Detection created
0.700,3,2175847382152,Detection created
0.733,3,2175829454976,Detection created
0.733,3,2175829457160,Detection created
0.767,3,2175811534520,Detection created
0.767,3,2175811531552,Detection created
0.767,3,2175811532280,Detection created
0.800,3,2175804665640,Detection created
0.800,3,2175847382880,Detection created
0.833,3,2175847381256,Detection created
0.833,3,2175847380976,Detection created
0.833,3,2175847380752,Detection created
0.867,3,2175847379016,Detection created
0.867,3,2175847381872,Detection created
0.867,3,2175847382824,Detection created
0.867,3,2175847382936,Detection created
0.900,3,2175847379296,Detection created
0.900,3,2175847379968,Detection created
0.900,3,2175847381928,Detection created
0.900,3,2175847382096,Detection created
0.933,3,2175847381592,Detection created
0.933,3,2175847381648,Detection created
0.933,3,2175847379520,Detection created
0.933,3,2175847381536,Detection created
0.967,3,2175847379072,Detection created
0.967,3,2175847380808,Detection created
0.967,3,2175847380584,Detection created
0.967,3,2175831399672,Detection created
1.000,3,2175831399784,Detection created
1.000,3,2175831399952,Detection created
1.000,3,2175831400064,Detection created
1.000,3,2175831400120,Detection created
1.033,3,2175831400232,Detection created
1.033,3,2175831397376,Detection created
1.033,3,2175831398272,Detection created
1.033,3,2175831398608,Detection created
1.033,0,2175847561816,train observed distance 2102 meters moving away from us from right to left speed 9123 kilometers per hour 
1.067,3,2175847379072,Detection created
1.067,3,2175847381592,Detection created
1.067,3,2175847382040,Detection created
1.067,3,2175847379016,Detection created
1.067,2,2175804665248,Pattern removed
1.067,0,2175847562656,train observed distance 443 meters moving away from us from right to left speed 369 kilometers per hour 
1.100,3,2175847381256,Detection created
1.100,3,2175811533008,Detection created
1.100,3,2175811534016,Detection created
1.100,3,2175811533736,Detection created
1.133,3,2175829455144,Detection created
1.133,3,2175829454976,Detection created
1.133,3,2175831398608,Detection created
1.133,3,2175831398272,Detection created
1.167,3,2175831399784,Detection created
1.167,3,2175831400288,Detection created
1.167,3,2175831398944,Detection created
1.200,3,2175829541272,Detection created
1.200,3,2175829542672,Detection created
1.233,3,2175829543120,Detection created
1.233,3,2175829544912,Detection created
1.267,3,2175797121824,Detection created
1.267,3,2175797121936,Detection created
1.300,3,2175797121488,Detection created
1.300,3,2175797121544,Detection created
1.333,3,2175850403264,Detection created
1.333,2,2175847562376,Pattern removed
1.333,3,2175847563104,Detection created
1.367,3,2175811533568,Detection created
1.367,3,2175850405280,Detection created
1.400,3,2175811530824,Detection created
1.400,3,2175829542448,Detection created
1.433,3,2175831399504,Detection created
1.433,3,2175829455144,Detection created
1.433,3,2175847562712,Detection created
1.467,3,2175804665248,Detection created
1.467,3,2175804665640,Detection created
1.500,3,2175850405504,Detection created
1.500,3,2175850405224,Detection created
1.500,3,2175850405448,Detection created
1.500,1,2175850405560,Body created
1.500,2,2175850405616,Pattern created
1.533,3,2175850403880,Detection created
1.533,3,2175850403040,Detection created
1.533,3,2175850404552,Detection created
1.533,3,2175850404496,Detection created
1.567,3,2175850405672,Detection created
1.567,3,2175850404664,Detection created
1.567,1,2175850403544,Body created
1.567,2,2175850402648,Pattern created
1.567,3,2175850403936,Detection created
1.600,3,2175850403432,Detection created
1.600,3,2175850404384,Detection created
1.600,3,2175850404272,Detection created
1.633,3,2175829599792,Detection created
1.633,3,2175829600184,Detection created
1.633,3,2175829599120,Detection created
1.667,3,2175829598896,Detection created
1.667,3,2175829602256,Detection created
1.667,3,2175829602200,Detection created
1.700,3,2175829600352,Detection created
1.700,3,2175829600296,Detection created
1.700,3,2175829599568,Detection created
1.700,3,2175829599904,Detection created
1.700,3,2175829598616,Detection created
1.733,3,2175850404664,Detection created
1.733,3,2175850403768,Detection created
1.733,3,2175850403096,Detection created
1.733,3,2175850405168,Detection created
1.733,3,2175831399504,Detection created
1.767,3,2175829600464,Detection created
1.767,3,2175829600744,Detection created
1.767,3,2175829600240,Detection created
1.767,3,2175829599624,Detection created
1.800,3,2175829601304,Detection created
1.800,3,2175829601024,Detection created
1.833,3,2175829601864,Detection created
1.833,3,2175829602088,Detection created
1.833,3,2175829601640,Detection created
1.867,3,2175829599736,Detection created
1.867,3,2175829599456,Detection created
1.900,3,2175789184056,Detection created
1.900,3,2175789184168,Detection created
1.900,3,2175789183888,Detection created
1.933,3,2175789183552,Detection created
1.933,3,2175789183608,Detection created
1.933,3,2175789183440,Detection created
1.933,3,2175789183272,Detection created
1.967,3,2175790484504,Detection created
1.967,2,2175850402648,Pattern removed
1.967,3,2175850405672,Detection created
1.967,3,2175850403432,Detection created
2.000,3,2175789184224,Detection created
2.000,3,2175790563112,Detection created
2.000,3,2175790560256,Detection created
2.000,3,2175796138112,Detection created
2.000,3,2175796141640,Detection created
2.033,3,2175789014824,Detection created
2.033,3,2175789013984,Detection created
2.033,3,2175789013760,Detection created
2.033,3,2175789014992,Detection created
