time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
0.000,3107454312344,13,1.000,415.000,855.000,151.000,473.000,1,1,1,1,0.000,0.000,0.000,0.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,635.000,312.000,0.000,0.000,400.000,400.000,0,3107454312400,False,415.000,855.000,151.000,473.000
0.033,3107454312344,13,1.000,415.000,855.000,151.000,473.000,1,1,1,1,0.000,0.000,0.000,0.000,102.732,162.276,162.276,9730.269,102.732,162.276,162.276,9730.269,102.732,162.276,162.276,9730.269,102.732,162.276,162.276,9730.269,635.000,312.000,0.000,0.000,205.463,205.463,0,3107454312400,True,415.000,855.000,151.000,473.000
0.067,3107454312344,13,1.000,414.616,853.465,151.384,473.767,1,1,1,1,-1.501,-6.002,1.501,3.001,76.731,300.124,300.124,9000.552,76.731,300.124,300.124,9000.552,76.731,300.124,300.124,9000.552,76.731,300.124,300.124,9000.552,634.041,312.575,-3.752,2.251,153.462,153.462,0,3107454312400,True,414.000,851.000,152.000,475.000
0.100,3107454312344,13,1.000,413.672,852.824,151.283,474.262,1,1,1,1,-6.522,-8.478,0.652,5.217,69.656,391.321,391.321,7826.723,69.656,391.321,391.321,7826.723,69.656,391.321,391.321,7826.723,69.656,391.321,391.321,7826.723,633.248,312.772,-7.500,2.935,139.312,139.312,0,3107454312400,True,412.000,852.000,151.000,475.000
0.133,3107454312344,13,1.000,416.046,853.729,149.483,474.630,1,1,1,1,9.641,-1.069,-10.711,6.425,68.673,428.435,428.435,6430.011,68.673,428.435,428.435,6430.011,68.673,428.435,428.435,6430.011,68.673,428.435,428.435,6430.011,634.887,312.056,4.286,-2.143,137.347,137.347,0,3107454312400,True,421.000,856.000,146.000,475.000
0.167,3107454312344,13,1.000,418.301,854.142,149.083,474.898,1,1,1,1,21.534,1.689,-10.976,6.755,68.647,422.289,422.289,5073.387,68.647,422.289,422.289,5073.387,68.647,422.289,422.289,5073.387,68.647,422.289,422.289,5073.387,636.221,311.990,11.612,-2.111,137.294,137.294,0,3107454312400,True,422.000,855.000,149.000,475.000
0.200,3107454312344,13,1.000,417.657,852.436,148.812,474.742,1,1,1,1,13.676,-8.474,-10.422,4.559,67.802,391.023,391.023,3917.797,67.802,391.023,391.023,3917.797,67.802,391.023,391.023,3917.797,67.802,391.023,391.023,3917.797,635.046,311.777,2.601,-2.931,135.604,135.604,0,3107454312400,True,415.000,849.000,149.000,474.000
0.234,3107454312344,13,1.000,419.724,849.465,146.663,474.929,1,1,1,1,22.222,-22.732,-19.978,4.744,65.933,349.746,349.746,3006.404,65.933,349.746,349.746,3006.404,65.933,349.746,349.746,3006.404,65.933,349.746,349.746,3006.404,634.595,310.796,-0.255,-7.617,131.866,131.866,0,3107454312400,True,423.000,844.000,143.000,475.000
0.267,3107454312344,13,1.000,420.001,847.533,147.265,475.060,1,1,1,1,19.969,-28.431,-13.823,4.609,63.350,307.502,307.502,2315.434,63.350,307.502,307.502,2315.434,63.350,307.502,307.502,2315.434,63.350,307.502,307.502,2315.434,633.767,311.162,-4.231,-4.607,126.701,126.701,0,3107454312400,True,419.000,845.000,150.000,475.000
0.300,3107454312344,13,1.000,418.956,847.314,147.467,475.149,1,1,1,1,12.359,-25.187,-10.873,4.323,60.408,268.548,268.548,1799.802,60.408,268.548,268.548,1799.802,60.408,268.548,268.548,1799.802,60.408,268.548,268.548,1799.802,633.135,311.308,-6.414,-3.275,120.816,120.816,0,3107454312400,True,415.000,849.000,149.000,475.000
0.334,3107454312344,13,1.000,418.976,845.190,147.074,474.922,1,1,1,1,10.756,-30.429,-10.995,2.807,57.363,234.353,234.353,1415.759,57.363,234.353,234.353,1415.759,57.363,234.353,234.353,1415.759,57.363,234.353,234.353,1415.759,632.083,310.998,-9.837,-4.094,114.727,114.727,0,3107454312400,True,418.000,842.000,147.000,474.000
0.367,3107454312344,13,1.000,418.428,843.856,145.971,474.468,1,1,1,1,7.337,-31.634,-13.771,0.740,54.375,205.034,205.034,1128.080,54.375,205.034,205.034,1128.080,54.375,205.034,205.034,1128.080,54.375,205.034,205.034,1128.080,631.142,310.220,-12.148,-6.515,108.751,108.751,0,3107454312400,True,416.000,843.000,144.000,473.000
0.400,3107454312344,13,1.000,418.499,844.140,145.638,473.593,1,1,1,1,6.731,-26.950,-13.331,-2.406,51.530,180.150,180.150,910.491,51.530,180.150,180.150,910.491,51.530,180.150,180.150,910.491,51.530,180.150,180.150,910.491,631.320,309.615,-10.109,-7.868,103.059,103.059,0,3107454312400,True,418.000,848.000,146.000,471.000
0.434,3107454312344,13,1.000,419.524,844.159,144.657,473.143,1,1,1,1,9.337,-23.959,-15.075,-3.609,48.866,159.091,159.091,744.024,48.866,159.091,159.091,744.024,48.866,159.091,159.091,744.024,48.866,159.091,159.091,744.024,631.842,308.900,-7.311,-9.342,97.731,97.731,0,3107454312400,True,422.000,847.000,143.000,472.000
0.467,3107454312344,13,1.000,419.874,842.116,144.350,472.553,1,1,1,1,9.453,-27.745,-14.478,-5.037,46.396,141.252,141.252,615.131,46.396,141.252,141.252,615.131,46.396,141.252,141.252,615.131,46.396,141.252,141.252,615.131,630.995,308.452,-9.146,-9.758,92.793,92.793,0,3107454312400,True,420.000,838.000,145.000,471.000
0.500,3107454312344,13,1.000,420.809,838.060,144.338,472.521,1,1,1,1,11.225,-36.691,-13.133,-4.650,44.120,126.089,126.089,514.140,44.120,126.089,126.089,514.140,44.120,126.089,126.089,514.140,44.120,126.089,126.089,514.140,629.435,308.429,-12.733,-8.891,88.240,88.240,0,3107454312400,True,423.000,827.000,146.000,473.000
0.534,3107454312344,13,1.000,421.776,835.189,143.710,472.499,1,1,1,1,12.818,-41.124,-13.642,-4.291,42.026,113.144,113.144,434.105,42.026,113.144,113.144,434.105,42.026,113.144,113.144,434.105,42.026,113.144,113.144,434.105,628.483,308.105,-14.153,-8.966,84.053,84.053,0,3107454312400,True,424.000,829.000,143.000,473.000
0.567,3107454312344,13,1.000,422.564,833.653,143.004,472.686,1,1,1,1,13.734,-41.541,-14.283,-3.452,40.102,102.037,102.037,369.990,40.102,102.037,102.037,369.990,40.102,102.037,102.037,369.990,40.102,102.037,102.037,369.990,628.108,307.845,-13.903,-8.867,80.205,80.205,0,3107454312400,True,424.000,833.000,142.000,474.000
0.601,3107454312344,13,1.000,423.593,829.533,142.618,472.653,1,1,1,1,15.111,-48.136,-14.064,-3.253,38.334,92.459,92.459,318.112,38.334,92.459,92.459,318.112,38.334,92.459,92.459,318.112,38.334,92.459,92.459,318.112,626.563,307.635,-16.513,-8.659,76.668,76.668,0,3107454312400,True,426.000,818.000,143.000,473.000
0.634,3107454312344,13,1.000,424.263,825.554,142.121,472.444,1,1,1,1,15.491,-53.576,-14.126,-3.482,36.707,84.156,84.156,275.741,36.707,84.156,84.156,275.741,36.707,84.156,84.156,275.741,36.707,84.156,84.156,275.741,624.908,307.283,-19.042,-8.804,73.414,73.414,0,3107454312400,True,425.000,815.000,142.000,472.000
0.667,3107454312344,13,1.000,424.290,821.871,141.711,472.622,1,1,1,1,14.422,-57.716,-13.992,-2.839,35.208,76.922,76.922,240.835,35.208,76.922,76.922,240.835,35.208,76.922,76.922,240.835,35.208,76.922,76.922,240.835,623.081,307.167,-21.647,-8.415,70.415,70.415,0,3107454312400,True,422.000,813.000,142.000,474.000
0.701,3107454312344,13,1.000,424.134,819.278,141.372,472.608,1,1,1,1,13.091,-59.109,-13.725,-2.673,33.824,70.590,70.590,211.849,33.824,70.590,70.590,211.849,33.824,70.590,70.590,211.849,33.824,70.590,70.590,211.849,621.706,306.990,-23.009,-8.199,67.649,67.649,0,3107454312400,True,421.000,816.000,142.000,473.000
0.734,3107454312344,13,1.000,424.152,816.605,141.091,472.271,1,1,1,1,12.255,-60.509,-13.372,-3.166,32.546,65.021,65.021,187.602,32.546,65.021,65.021,187.602,32.546,65.021,65.021,187.602,32.546,65.021,65.021,187.602,620.379,306.681,-24.127,-8.269,65.091,65.091,0,3107454312400,True,422.000,813.000,142.000,471.000
