time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
0.067,2175804665248,19,0.945,3.000,636.000,5.000,269.000,2,1,2,1,0.000,0.000,0.000,0.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,319.500,137.000,0.000,0.000,400.000,400.000,0,2175847561816,False,3.000,636.000,5.000,269.000
0.100,2175847562376,19,0.945,3.000,636.000,5.000,269.000,2,1,2,1,0.000,0.000,0.000,0.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,319.500,137.000,0.000,0.000,400.000,400.000,0,2175847562656,False,3.000,636.000,5.000,269.000
0.100,2175804665248,19,0.803,1.973,615.455,9.109,267.973,2,1,2,1,-1.621,-32.425,6.485,-1.621,102.726,162.123,162.123,9730.795,102.726,162.123,162.123,9730.795,102.726,162.123,162.123,9730.795,102.726,162.123,162.123,9730.795,308.714,138.541,-17.023,2.432,205.453,205.453,0,2175847561816,True,1.000,596.000,13.000,267.000
0.133,2175847562376,19,0.803,1.973,615.455,9.109,267.973,2,1,2,1,-1.621,-32.425,6.485,-1.621,102.726,162.123,162.123,9730.795,102.726,162.123,162.123,9730.795,102.726,162.123,162.123,9730.795,102.726,162.123,162.123,9730.795,308.714,138.541,-17.023,2.432,205.453,205.453,0,2175847562656,True,1.000,596.000,13.000,267.000
0.133,2175804665248,19,0.803,1.566,607.326,10.735,267.566,2,1,2,1,-2.999,-59.975,11.995,-2.999,76.713,299.885,299.885,9002.352,76.713,299.885,299.885,9002.352,76.713,299.885,299.885,9002.352,76.713,299.885,299.885,9002.352,304.446,139.151,-31.487,4.498,153.426,153.426,0,2175847561816,True,1.000,596.000,13.000,267.000
0.167,2175847562376,19,0.353,8.087,611.162,18.790,269.101,2,1,2,1,22.491,-44.981,43.483,2.999,76.713,299.885,299.885,9002.352,76.713,299.885,299.885,9002.352,76.713,299.885,299.885,9002.352,76.713,299.885,299.885,9002.352,309.624,143.945,-11.245,23.241,153.426,153.426,0,2175847562656,True,18.000,606.000,34.000,271.000
0.167,2175804665248,19,0.353,7.222,605.561,19.095,268.697,2,1,2,1,29.333,-58.659,56.708,3.911,69.625,391.100,391.100,7830.125,69.625,391.100,391.100,7830.125,69.625,391.100,391.100,7830.125,69.625,391.100,391.100,7830.125,306.392,143.896,-14.663,30.310,139.251,139.251,0,2175847561816,True,18.000,606.000,34.000,271.000
0.200,2175847562376,19,0.353,12.027,608.388,25.030,269.827,2,1,2,1,40.410,-52.143,70.392,6.518,69.625,391.100,391.100,7830.125,69.625,391.100,391.100,7830.125,69.625,391.100,391.100,7830.125,69.625,391.100,391.100,7830.125,310.207,147.428,-5.866,38.455,139.251,139.251,0,2175847562656,True,18.000,606.000,34.000,271.000
0.200,2175804665248,19,0.353,11.563,604.428,25.451,269.573,2,1,2,1,50.320,-53.532,84.581,8.565,68.637,428.313,428.313,6434.601,68.637,428.313,428.313,6434.601,68.637,428.313,428.313,6434.601,68.637,428.313,428.313,6434.601,307.995,147.512,-1.606,46.573,137.273,137.273,0,2175847561816,True,18.000,606.000,34.000,271.000
0.233,2175847562376,19,0.353,14.961,606.427,29.649,270.372,2,1,2,1,50.318,-53.534,84.578,8.565,68.637,428.313,428.313,6434.601,68.637,428.313,428.313,6434.601,68.637,428.313,428.313,6434.601,68.637,428.313,428.313,6434.601,310.694,150.011,-1.608,46.571,137.273,137.273,0,2175847562656,True,18.000,606.000,34.000,271.000
