time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.033,1,452.000,834.000,70.000,650.000,452.000,834.000,70.000,650.000,452.000,834.000,70.000,650.000,0.000,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.067,1,452.000,834.000,70.000,650.000,451.000,837.000,68.000,654.000,451.000,837.000,68.000,654.000,0.005,0.26,0.43,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.100,1,451.000,837.000,68.000,654.000,453.000,834.000,64.000,654.000,453.000,834.000,64.000,654.000,0.005,0.26,0.43,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.133,1,453.000,834.000,64.000,654.000,453.000,826.000,66.000,654.000,453.000,826.000,66.000,654.000,0.006,0.25,0.43,0.06,0.00,0.01,0.04,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.167,1,453.000,826.000,66.000,654.000,453.000,830.000,65.000,655.000,453.000,830.000,65.000,655.000,0.004,0.26,0.43,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.200,1,453.000,830.000,65.000,655.000,452.000,829.000,71.000,653.000,452.000,829.000,71.000,653.000,0.005,0.25,0.43,0.06,0.00,0.01,0.04,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.234,1,452.000,829.000,71.000,653.000,452.000,824.000,69.000,656.000,452.000,824.000,69.000,656.000,0.005,0.26,0.43,0.06,0.00,0.01,0.04,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.267,1,452.000,824.000,69.000,656.000,453.000,818.000,67.000,657.000,453.000,818.000,67.000,657.000,0.006,0.27,0.43,0.06,0.01,0.01,0.04,0.05,0.14,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.300,1,453.000,818.000,67.000,657.000,454.000,818.000,73.000,657.000,454.000,818.000,73.000,657.000,0.003,0.27,0.43,0.06,0.01,0.01,0.05,0.04,0.14,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.334,1,454.000,818.000,73.000,657.000,455.000,815.000,72.000,657.000,455.000,815.000,72.000,657.000,0.003,0.26,0.43,0.06,0.00,0.01,0.05,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.367,1,455.000,815.000,72.000,657.000,457.000,811.000,75.000,660.000,457.000,811.000,75.000,660.000,0.007,0.26,0.42,0.06,0.00,0.01,0.05,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.400,1,457.000,811.000,75.000,660.000,452.000,811.000,69.000,656.000,452.000,811.000,69.000,656.000,0.008,0.26,0.43,0.06,0.00,0.01,0.05,0.04,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.434,1,452.000,811.000,69.000,656.000,453.000,808.000,67.000,657.000,453.000,808.000,67.000,657.000,0.004,0.26,0.42,0.06,0.00,0.01,0.05,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.467,1,453.000,808.000,67.000,657.000,456.000,800.000,77.000,656.000,456.000,800.000,77.000,656.000,0.012,0.26,0.41,0.05,0.00,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.500,1,456.000,800.000,77.000,656.000,451.000,807.000,70.000,655.000,451.000,807.000,70.000,655.000,0.012,0.26,0.43,0.06,0.00,0.01,0.05,0.04,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.534,1,451.000,807.000,70.000,655.000,452.000,806.000,71.000,654.000,452.000,806.000,71.000,654.000,0.002,0.26,0.42,0.06,0.01,0.01,0.05,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.567,1,452.000,806.000,71.000,654.000,454.000,801.000,72.000,655.000,454.000,801.000,72.000,655.000,0.006,0.26,0.42,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.601,1,454.000,801.000,72.000,655.000,455.000,799.000,69.000,653.000,455.000,799.000,69.000,653.000,0.004,0.27,0.42,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.634,1,455.000,799.000,69.000,653.000,455.000,795.000,66.000,651.000,455.000,795.000,66.000,651.000,0.005,0.27,0.41,0.05,0.01,0.01,0.05,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.667,1,455.000,795.000,66.000,651.000,456.000,787.000,64.000,649.000,456.000,787.000,64.000,649.000,0.008,0.27,0.40,0.05,0.01,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.701,1,456.000,787.000,64.000,649.000,453.000,785.000,69.000,651.000,453.000,785.000,69.000,651.000,0.007,0.27,0.40,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.734,1,453.000,785.000,69.000,651.000,452.000,785.000,65.000,649.000,452.000,785.000,65.000,649.000,0.003,0.26,0.39,0.05,0.01,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.767,1,452.000,785.000,65.000,649.000,453.000,781.000,65.000,648.000,453.000,781.000,65.000,648.000,0.004,0.27,0.39,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.801,1,453.000,781.000,65.000,648.000,453.000,775.000,66.000,648.000,453.000,775.000,66.000,648.000,0.005,0.27,0.38,0.05,0.01,0.01,0.05,0.06,0.18,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.834,1,453.000,775.000,66.000,648.000,457.000,766.000,63.000,649.000,457.000,766.000,63.000,649.000,0.012,0.28,0.37,0.05,0.01,0.01,0.05,0.06,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.868,1,457.000,766.000,63.000,649.000,456.000,763.000,62.000,647.000,456.000,763.000,62.000,647.000,0.005,0.28,0.37,0.05,0.00,0.01,0.06,0.06,0.18,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.901,1,456.000,763.000,62.000,647.000,455.000,769.000,57.000,647.000,455.000,769.000,57.000,647.000,0.008,0.28,0.38,0.05,0.01,0.01,0.06,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.934,1,455.000,769.000,57.000,647.000,455.000,767.000,56.000,652.000,455.000,767.000,56.000,652.000,0.004,0.28,0.38,0.05,0.01,0.01,0.06,0.05,0.18,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
0.968,1,455.000,767.000,56.000,652.000,454.000,765.000,55.000,648.000,454.000,765.000,55.000,648.000,0.005,0.29,0.38,0.05,0.01,0.01,0.06,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.001,1,454.000,765.000,55.000,648.000,453.000,765.000,55.000,649.000,453.000,765.000,55.000,649.000,0.001,0.29,0.38,0.05,0.00,0.01,0.06,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.034,1,453.000,765.000,55.000,649.000,455.000,770.000,53.000,650.000,455.000,770.000,53.000,650.000,0.007,0.29,0.38,0.05,0.01,0.01,0.06,0.04,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.068,1,455.000,770.000,53.000,650.000,457.000,771.000,52.000,651.000,457.000,771.000,52.000,651.000,0.003,0.28,0.38,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.101,1,457.000,771.000,52.000,651.000,458.000,777.000,52.000,654.000,458.000,777.000,52.000,654.000,0.007,0.28,0.39,0.05,0.00,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.134,1,458.000,777.000,52.000,654.000,456.000,775.000,54.000,653.000,456.000,775.000,54.000,653.000,0.004,0.28,0.39,0.05,0.00,0.01,0.05,0.04,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.168,1,456.000,775.000,54.000,653.000,456.000,774.000,52.000,652.000,456.000,774.000,52.000,652.000,0.002,0.29,0.39,0.06,0.00,0.01,0.05,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.201,1,456.000,774.000,52.000,652.000,457.000,770.000,52.000,651.000,457.000,770.000,52.000,651.000,0.004,0.28,0.39,0.05,0.00,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.235,1,457.000,770.000,52.000,651.000,461.000,767.000,51.000,651.000,461.000,767.000,51.000,651.000,0.006,0.29,0.38,0.05,0.00,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.268,1,461.000,767.000,51.000,651.000,459.000,767.000,51.000,650.000,459.000,767.000,51.000,650.000,0.002,0.29,0.38,0.05,0.00,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.301,1,459.000,767.000,51.000,650.000,457.000,766.000,52.000,652.000,457.000,766.000,52.000,652.000,0.004,0.29,0.39,0.05,0.00,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
1.335,1,457.000,766.000,52.000,652.000,460.000,763.000,53.000,650.000,460.000,763.000,53.000,650.000,0.006,0.30,0.37,0.05,0.00,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15
