time,priority,object,text
0.000,3,2576427923440,Detection created
0.000,3,2576427923496,Detection created
0.000,3,2576427923552,Detection created
0.000,3,2576427923608,Detection created
0.000,3,2576427923664,Detection created
0.000,3,2576427923720,Detection created
0.000,1,2576427924168,Body created
0.000,2,2576427924112,Pattern created
0.000,1,2576427924392,Body created
0.000,2,2576427924336,Pattern created
0.040,3,2576427924560,Detection created
0.040,3,2576427924616,Detection created
0.040,3,2576427924672,Detection created
0.040,3,2576427924728,Detection created
0.040,3,2576427924784,Detection created
0.040,3,2576427924840,Detection created
0.080,3,2576427925008,Detection created
0.080,3,2576427925064,Detection created
0.080,3,2576427925120,Detection created
0.080,3,2576427925176,Detection created
0.080,3,2576427925232,Detection created
0.080,3,2576427925288,Detection created
0.080,3,2576427925344,Detection created
0.080,1,2576416055480,Body created
0.080,2,2576416055424,Pattern created
0.120,3,2576416055704,Detection created
0.120,3,2576416055648,Detection created
0.120,3,2576416055760,Detection created
0.120,3,2576416055816,Detection created
0.120,3,2576416055872,Detection created
0.120,3,2576416055928,Detection created
0.120,3,2576416055984,Detection created
0.120,3,2576416056040,Detection created
0.160,3,2576416056376,Detection created
0.160,3,2576416056320,Detection created
0.160,3,2576416056432,Detection created
0.160,3,2576416056488,Detection created
0.160,3,2576416056544,Detection created
0.160,3,2576416056600,Detection created
0.160,3,2576416056656,Detection created
0.160,3,2576416056712,Detection created
0.160,1,2576416056992,Body created
0.160,2,2576416056936,Pattern created
0.200,3,2576416057160,Detection created
0.200,3,2576416057216,Detection created
0.200,3,2576416057272,Detection created
0.200,3,2576416057328,Detection created
0.200,3,2576416057384,Detection created
0.200,3,2576416057440,Detection created
0.200,3,2576416057496,Detection created
0.200,3,2576416057552,Detection created
0.240,3,2576416057832,Detection created
0.240,3,2576416057888,Detection created
0.240,3,2576416057944,Detection created
0.240,3,2576416058000,Detection created
0.240,3,2576416058056,Detection created
0.240,3,2576416058112,Detection created
0.240,3,2576416058168,Detection created
0.240,3,2576416058224,Detection created
0.280,3,2576416058504,Detection created
0.280,3,2576416058560,Detection created
0.280,3,2576416058616,Detection created
0.280,3,2576416058672,Detection created
0.280,3,2576416058728,Detection created
0.280,3,2576416058784,Detection created
0.280,3,2576416058840,Detection created
0.280,3,2576416058896,Detection created
0.320,3,2576427923048,Detection created
0.320,3,2576416059232,Detection created
0.320,3,2576416059176,Detection created
0.320,3,2576416059288,Detection created
0.320,3,2576416059344,Detection created
0.320,3,2576415993928,Detection created
0.320,3,2576415993984,Detection created
0.320,3,2576415994040,Detection created
0.360,3,2576427922768,Detection created
0.360,3,2576427922712,Detection created
0.360,3,2576427988024,Detection created
0.360,3,2576427988640,Detection created
0.360,3,2576427988584,Detection created
0.360,3,2576427987968,Detection created
0.360,3,2576427987912,Detection created
0.360,3,2576427988080,Detection created
0.400,3,2576427988472,Detection created
0.400,3,2576427988528,Detection created
0.400,3,2576427988696,Detection created
0.400,3,2576427988752,Detection created
0.440,3,2576427988920,Detection created
0.440,3,2576427988976,Detection created
0.440,3,2576427987464,Detection created
0.440,3,2576427987352,Detection created
0.440,3,2576427987408,Detection created
0.480,3,2576427987240,Detection created
0.480,3,2576427987016,Detection created
0.480,3,2576420521800,Detection created
0.480,3,2576420521856,Detection created
0.480,3,2576420522080,Detection created
0.520,3,2576420522808,Detection created
0.520,3,2576420522752,Detection created
0.520,3,2576420522640,Detection created
0.520,3,2576420522976,Detection created
0.520,3,2576420523088,Detection created
0.520,3,2576420522920,Detection created
0.560,3,2576415994208,Detection created
0.560,3,2576415994040,Detection created
0.560,3,2576415994264,Detection created
0.560,3,2576415994320,Detection created
0.560,3,2576415994376,Detection created
0.560,3,2576415994432,Detection created
0.600,3,2576415994768,Detection created
0.600,3,2576415994712,Detection created
0.600,3,2576415994824,Detection created
0.600,3,2576415994880,Detection created
0.600,3,2576415994936,Detection created
0.600,3,2576415994992,Detection created
0.600,3,2576415995048,Detection created
0.640,3,2576415995384,Detection created
0.640,3,2576415995496,Detection created
0.640,3,2576415995440,Detection created
0.640,3,2576415995552,Detection created
0.640,3,2576415995608,Detection created
0.680,3,2576415995888,Detection created
0.680,3,2576415995776,Detection created
0.680,3,2576415995832,Detection created
0.680,3,2576415995944,Detection created
0.680,3,2576415996000,Detection created
0.680,3,2576415996056,Detection created
0.720,3,2576415996448,Detection created
0.720,3,2576415996392,Detection created
0.720,3,2576415996504,Detection created
0.720,3,2576415996560,Detection created
0.720,3,2576415996616,Detection created
0.720,3,2576415996672,Detection created
0.720,3,2576415996728,Detection created
0.760,3,2576415997176,Detection created
0.760,3,2576415997064,Detection created
0.760,3,2576415997120,Detection created
0.760,3,2576415997232,Detection created
0.760,3,2576415997288,Detection created
0.760,3,2576415997344,Detection created
0.760,3,2576415997400,Detection created
0.760,3,2576415997456,Detection created
0.760,3,2576415997512,Detection created
0.800,3,2576415997904,Detection created
0.800,3,2576415969352,Detection created
0.800,3,2576415969408,Detection created
0.800,3,2576415969464,Detection created
0.800,3,2576415969520,Detection created
0.800,3,2576415969576,Detection created
0.800,3,2576415969632,Detection created
0.800,3,2576415969688,Detection created
0.800,3,2576415969744,Detection created
0.800,3,2576415969800,Detection created
0.840,3,2576415970192,Detection created
0.840,3,2576415970136,Detection created
0.840,3,2576415970248,Detection created
0.840,3,2576415970304,Detection created
0.840,3,2576415970360,Detection created
0.840,3,2576415970416,Detection created
0.840,3,2576415970472,Detection created
0.840,3,2576415970528,Detection created
0.880,3,2576415970808,Detection created
0.880,3,2576415970696,Detection created
0.880,3,2576415970752,Detection created
0.880,3,2576415970864,Detection created
0.880,3,2576415970920,Detection created
0.880,3,2576415970976,Detection created
0.880,3,2576415971032,Detection created
0.920,3,2576415971312,Detection created
0.920,3,2576415971256,Detection created
