time,id,class_id,x,y,z,vx,vy,vz,sigma_00,sigma_01,sigma_02,sigma_03,sigma_04,sigma_05,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_50,sigma_51,sigma_52,sigma_53,sigma_54,sigma_55,x_pattern,y_pattern,z_pattern,pattern,status,collision_p
0.000,2059439127856,4,1.031,3.371,-82.890,0.000,0.000,0.000,199.601,0.000,0.000,6.653,0.000,0.000,0.000,199.601,0.000,0.000,6.653,0.000,0.000,0.000,199.601,0.000,0.000,6.653,6.653,0.000,0.000,99889.012,0.000,0.000,0.000,6.653,0.000,0.000,99889.012,0.000,0.000,0.000,6.653,0.000,0.000,99889.012,1.031,3.371,-82.890,2059439127800,1,0.000
0.033,2059439127856,4,1.030,3.345,-82.669,-0.004,-0.281,2.376,121.761,0.000,0.000,1306.438,0.000,0.000,0.000,121.761,0.000,0.000,1306.438,0.000,0.000,0.000,121.761,0.000,0.000,1306.438,1306.438,0.000,0.000,78074.001,0.000,0.000,0.000,1306.438,0.000,0.000,78074.001,0.000,0.000,0.000,1306.438,0.000,0.000,78074.001,1.030,3.328,-82.526,2059439127800,1,0.000
0.067,2059439127856,4,1.040,3.334,-82.947,0.120,-0.302,-2.359,119.333,0.000,0.000,1577.645,0.000,0.000,0.000,119.333,0.000,0.000,1577.645,0.000,0.000,0.000,119.333,0.000,0.000,1577.645,1577.645,0.000,0.000,47219.151,0.000,0.000,0.000,1577.645,0.000,0.000,47219.151,0.000,0.000,0.000,1577.645,0.000,0.000,47219.151,1.046,3.333,-83.190,2059439127800,1,0.000
0.100,2059439127856,4,1.056,3.323,-82.996,0.257,-0.308,-2.017,116.175,0.000,0.000,1321.579,0.000,0.000,0.000,116.175,0.000,0.000,1321.579,0.000,0.000,0.000,116.175,0.000,0.000,1321.579,1321.579,0.000,0.000,26383.199,0.000,0.000,0.000,1321.579,0.000,0.000,26383.199,0.000,0.000,0.000,1321.579,0.000,0.000,26383.199,1.064,3.323,-82.974,2059439127800,1,0.000
0.133,2059439127856,4,1.070,3.319,-82.918,0.313,-0.248,-0.650,107.779,0.000,0.000,1015.304,0.000,0.000,0.000,107.779,0.000,0.000,1015.304,0.000,0.000,0.000,107.779,0.000,0.000,1015.304,1015.304,0.000,0.000,15205.221,0.000,0.000,0.000,1015.304,0.000,0.000,15205.221,0.000,0.000,0.000,1015.304,0.000,0.000,15205.221,1.075,3.325,-82.794,2059439127800,1,0.000
0.167,2059439127856,4,1.088,3.325,-82.956,0.371,-0.138,-0.776,98.079,0.000,0.000,775.948,0.000,0.000,0.000,98.079,0.000,0.000,775.948,0.000,0.000,0.000,98.079,0.000,0.000,775.948,775.948,0.000,0.000,9297.733,0.000,0.000,0.000,775.948,0.000,0.000,9297.733,0.000,0.000,0.000,775.948,0.000,0.000,9297.733,1.096,3.339,-82.972,2059439127800,1,0.000
0.200,2059439127856,4,1.103,3.323,-82.931,0.392,-0.122,-0.429,88.954,0.000,0.000,603.079,0.000,0.000,0.000,88.954,0.000,0.000,603.079,0.000,0.000,0.000,88.954,0.000,0.000,603.079,603.079,0.000,0.000,6022.467,0.000,0.000,0.000,603.079,0.000,0.000,6022.467,0.000,0.000,0.000,603.079,0.000,0.000,6022.467,1.107,3.326,-82.867,2059439127800,1,0.000
0.234,2059439127856,4,1.115,3.338,-83.074,0.381,-0.005,-1.191,80.919,0.000,0.000,478.724,0.000,0.000,0.000,80.919,0.000,0.000,478.724,0.000,0.000,0.000,80.919,0.000,0.000,478.724,478.724,0.000,0.000,4097.930,0.000,0.000,0.000,478.724,0.000,0.000,4097.930,0.000,0.000,0.000,478.724,0.000,0.000,4097.930,1.112,3.368,-83.263,2059439127800,1,0.000
0.267,2059439127856,4,1.117,3.336,-82.919,0.325,-0.018,-0.172,73.987,0.000,0.000,387.778,0.000,0.000,0.000,73.987,0.000,0.000,387.778,0.000,0.000,0.000,73.987,0.000,0.000,387.778,387.778,0.000,0.000,2904.624,0.000,0.000,0.000,387.778,0.000,0.000,2904.624,0.000,0.000,0.000,387.778,0.000,0.000,2904.624,1.099,3.331,-82.588,2059439127800,1,0.000
0.300,2059439127856,4,1.118,3.340,-82.840,0.279,0.005,0.226,68.030,0.000,0.000,319.827,0.000,0.000,0.000,68.030,0.000,0.000,319.827,0.000,0.000,0.000,68.030,0.000,0.000,319.827,319.827,0.000,0.000,2129.530,0.000,0.000,0.000,319.827,0.000,0.000,2129.530,0.000,0.000,0.000,319.827,0.000,0.000,2129.530,1.099,3.350,-82.676,2059439127800,1,0.000
