time,priority,object,text
0.000,3,2061579173336,Detection created
0.000,3,2061579173392,Detection created
0.000,3,2061579173448,Detection created
0.000,3,2061579173504,Detection created
0.000,3,2061579173560,Detection created
0.000,3,2061579173616,Detection created
0.000,1,2061579034864,Body created
0.000,2,2061579034808,Pattern created
0.000,1,2061579035088,Body created
0.000,2,2061579035032,Pattern created
0.040,3,2061579035424,Detection created
0.040,3,2061579035592,Detection created
0.040,3,2061579035648,Detection created
0.040,3,2061579035704,Detection created
0.040,3,2061579035760,Detection created
0.040,3,2061579035816,Detection created
0.080,3,2061579036096,Detection created
0.080,3,2061579036152,Detection created
0.080,3,2061579036208,Detection created
0.080,3,2061579036264,Detection created
0.080,3,2061579036320,Detection created
0.080,3,2061579036376,Detection created
0.080,3,2061579036432,Detection created
0.080,1,2061579036712,Body created
0.080,2,2061579036656,Pattern created
0.120,3,2061579037048,Detection created
0.120,3,2061579037104,Detection created
0.120,3,2061579037160,Detection created
0.120,3,2061579037216,Detection created
0.120,3,2061579037272,Detection created
0.120,3,2061579037328,Detection created
0.120,3,2061579037384,Detection created
0.120,3,2061579037440,Detection created
0.160,3,2061579037888,Detection created
0.160,3,2061579038000,Detection created
0.160,3,2061579037944,Detection created
0.160,3,2061579038056,Detection created
0.160,3,2061579038112,Detection created
0.160,3,2061579038168,Detection created
0.160,3,2061579038224,Detection created
0.160,3,2061579038280,Detection created
0.160,1,2061579038560,Body created
0.160,2,2061579038504,Pattern created
0.200,3,2061579063592,Detection created
0.200,3,2061579063704,Detection created
0.200,3,2061579063648,Detection created
0.200,3,2061579063760,Detection created
0.200,3,2061579063816,Detection created
0.200,3,2061579063872,Detection created
0.200,3,2061579063928,Detection created
0.200,3,2061579063984,Detection created
0.240,3,2061579064488,Detection created
0.240,3,2061579064600,Detection created
0.240,3,2061579064544,Detection created
0.240,3,2061579064656,Detection created
0.240,3,2061579064712,Detection created
0.240,3,2061579064768,Detection created
0.240,3,2061579064824,Detection created
0.240,3,2061579064880,Detection created
0.280,3,2061579065384,Detection created
0.280,3,2061579065496,Detection created
0.280,3,2061579065440,Detection created
0.280,3,2061579065552,Detection created
0.280,3,2061579065608,Detection created
0.280,3,2061579065664,Detection created
0.280,3,2061579065720,Detection created
0.280,3,2061579065776,Detection created
0.320,3,2061579172664,Detection created
0.320,3,2061579172944,Detection created
0.320,3,2061579066224,Detection created
0.320,3,2061579066280,Detection created
0.320,3,2061579066392,Detection created
0.320,3,2061579066336,Detection created
0.320,3,2061579066448,Detection created
0.320,3,2061579066504,Detection created
0.360,3,2061579067008,Detection created
0.360,3,2061579067120,Detection created
0.360,3,2061579067064,Detection created
0.360,3,2061579067176,Detection created
0.360,3,2061579067232,Detection created
0.360,3,2061579067288,Detection created
0.360,3,2061579067344,Detection created
0.360,3,2061579096136,Detection created
0.400,3,2061579096640,Detection created
0.400,3,2061579096752,Detection created
0.400,3,2061579096696,Detection created
0.400,3,2061579096808,Detection created
0.440,3,2061579097088,Detection created
0.440,3,2061579097200,Detection created
0.440,3,2061579097144,Detection created
0.440,3,2061579097256,Detection created
0.440,3,2061579097312,Detection created
0.480,3,2061579097872,Detection created
0.480,3,2061579097928,Detection created
0.480,3,2061579097984,Detection created
0.480,3,2061579098040,Detection created
0.480,3,2061579098096,Detection created
0.520,3,2061579098600,Detection created
0.520,3,2061579098656,Detection created
0.520,3,2061579098712,Detection created
0.520,3,2061579098768,Detection created
0.520,3,2061579098824,Detection created
0.520,3,2061579098880,Detection created
0.560,3,2061579099552,Detection created
0.560,3,2061579099440,Detection created
0.560,3,2061579099496,Detection created
0.560,3,2061579099608,Detection created
0.560,3,2061579099664,Detection created
0.560,3,2061579099720,Detection created
0.600,3,2061579088112,Detection created
0.600,3,2061579088000,Detection created
0.600,3,2061579088056,Detection created
0.600,3,2061579088168,Detection created
0.600,3,2061579088224,Detection created
0.600,3,2061579088280,Detection created
0.600,3,2061579088336,Detection created
0.640,3,2061579088896,Detection created
0.640,3,2061579088952,Detection created
0.640,3,2061579089008,Detection created
0.640,3,2061579089064,Detection created
0.640,3,2061579089120,Detection created
0.680,3,2061579089568,Detection created
0.680,3,2061579089512,Detection created
0.680,3,2061579089624,Detection created
0.680,3,2061579089680,Detection created
0.680,3,2061579089736,Detection created
0.680,3,2061579089792,Detection created
0.720,3,2061579090464,Detection created
0.720,3,2061579090352,Detection created
0.720,3,2061579090408,Detection created
0.720,3,2061579090520,Detection created
0.720,3,2061579090576,Detection created
0.720,3,2061579090632,Detection created
0.720,3,2061579090688,Detection created
0.760,3,2061579091304,Detection created
0.760,3,2061579091248,Detection created
0.760,3,2061579091360,Detection created
0.760,3,2061579091416,Detection created
0.760,3,2061579091472,Detection created
0.760,3,2061579091528,Detection created
0.760,3,2061579091584,Detection created
0.760,3,2061579091640,Detection created
0.760,3,2061579091696,Detection created
0.800,3,2061579133392,Detection created
0.800,3,2061579133336,Detection created
0.800,3,2061579133448,Detection created
0.800,3,2061579133504,Detection created
0.800,3,2061579133560,Detection created
0.800,3,2061579133616,Detection created
0.800,3,2061579133672,Detection created
0.800,3,2061579133728,Detection created
0.800,3,2061579133784,Detection created
0.800,3,2061579133840,Detection created
0.840,3,2061579134512,Detection created
0.840,3,2061579134400,Detection created
0.840,3,2061579134456,Detection created
0.840,3,2061579134568,Detection created
0.840,3,2061579134624,Detection created
0.840,3,2061579134680,Detection created
0.840,3,2061579134736,Detection created
0.840,3,2061579134792,Detection created
0.880,3,2061579135240,Detection created
0.880,3,2061579135184,Detection created
0.880,3,2061579135296,Detection created
0.880,3,2061579135352,Detection created
0.880,3,2061579135408,Detection created
0.880,3,2061579135464,Detection created
0.880,3,2061579135520,Detection created
0.920,3,2061579136080,Detection created
0.920,3,2061579135968,Detection created
0.920,3,2061579136024,Detection created
0.920,3,2061579136136,Detection created
0.920,3,2061579136192,Detection created
0.920,3,2061579136248,Detection created
0.920,3,2061579136304,Detection created
0.960,3,2061579136920,Detection created
0.960,3,2061579136808,Detection created
0.960,3,2061579136864,Detection created
0.960,3,2061579136976,Detection created
0.960,3,2061579186248,Detection created
0.960,3,2061579186304,Detection created
