time,priority,object,text
0.000,3,2059439126792,Detection created
0.000,1,2059439127856,Body created
0.000,2,2059439127800,Pattern created
0.033,3,2059439128192,Detection created
0.067,3,2059439128360,Detection created
0.100,3,2059439128528,Detection created
0.133,3,2059438571704,Detection created
0.167,3,2059438571872,Detection created
0.200,3,2059438572040,Detection created
0.234,3,2059438572208,Detection created
0.267,3,2059438572376,Detection created
0.300,3,2059438572544,Detection created
0.334,3,2059438572712,Detection created
0.367,3,2059438572880,Detection created
0.400,3,2059438573048,Detection created
0.434,3,2059438573104,Detection created
0.467,3,2059438573272,Detection created
0.500,3,2059438573440,Detection created
0.534,3,2059438573608,Detection created
0.567,3,2059438573776,Detection created
0.601,3,2059438573944,Detection created
0.634,3,2059438574112,Detection created
0.667,3,2059438574280,Detection created
0.701,3,2059438574448,Detection created
0.734,3,2059438574616,Detection created
0.767,3,2059438574840,Detection created
0.801,3,2059438574896,Detection created
0.834,3,2059439125896,Detection created
0.868,3,2059438575064,Detection created
0.901,3,2059438575288,Detection created
0.934,3,2059438575456,Detection created
0.968,3,2059438616648,Detection created
0.968,0,2059439127856,boat observed distance 84 meters moving away from us from left to right speed 7 kilometers per hour 
1.001,3,2059438616928,Detection created
1.034,3,2059439128136,Detection created
1.068,3,2059438617208,Detection created
1.101,3,2059438617376,Detection created
1.134,3,2059438617544,Detection created
1.168,3,2059438617712,Detection created
1.201,3,2059438617880,Detection created
1.235,3,2059438618048,Detection created
1.268,3,2059438618216,Detection created
1.301,3,2059438618384,Detection created
1.335,3,2059438618552,Detection created
1.368,3,2059438618720,Detection created
1.401,3,2059438618888,Detection created
1.435,3,2059438619056,Detection created
1.468,3,2059438619224,Detection created
1.502,3,2059438619392,Detection created
1.535,3,2059438619560,Detection created
1.568,3,2059438619728,Detection created
1.602,3,2059438619896,Detection created
1.635,3,2059438620064,Detection created
1.668,3,2059438620232,Detection created
1.702,3,2059438620400,Detection created
1.735,3,2059438620568,Detection created
1.768,3,2059438588032,Detection created
1.802,3,2059438588200,Detection created
1.835,3,2059438588368,Detection created
1.869,3,2059438588536,Detection created
1.902,3,2059438588704,Detection created
1.935,3,2059438588872,Detection created
1.969,3,2059438589040,Detection created
2.002,3,2059438589208,Detection created
2.035,3,2059438617040,Detection created
2.069,3,2059438589544,Detection created
2.102,3,2059438589712,Detection created
2.135,3,2059438589880,Detection created
2.169,3,2059438590048,Detection created
2.202,3,2059438590216,Detection created
2.236,3,2059438590384,Detection created
2.269,3,2059438590552,Detection created
2.302,3,2059438590720,Detection created
2.336,3,2059438590888,Detection created
2.369,3,2059438591056,Detection created
2.402,3,2059438591224,Detection created
2.436,3,2059438591392,Detection created
2.469,3,2059438591560,Detection created
2.503,3,2059438591728,Detection created
2.536,3,2059438591896,Detection created
2.569,3,2059438604416,Detection created
2.603,3,2059438604584,Detection created
2.636,3,2059438604752,Detection created
2.669,3,2059438604920,Detection created
2.703,3,2059438605088,Detection created
2.736,3,2059438605256,Detection created
2.769,3,2059438605424,Detection created
2.803,3,2059438605592,Detection created
2.836,3,2059438605760,Detection created
2.870,3,2059438605928,Detection created
2.903,3,2059438606096,Detection created
2.936,3,2059438606264,Detection created
2.970,3,2059438606432,Detection created
3.003,3,2059438606600,Detection created
3.036,3,2059438589376,Detection created
3.070,3,2059438606936,Detection created
3.103,3,2059438607104,Detection created
3.136,3,2059438607272,Detection created
3.170,3,2059438607440,Detection created
3.203,3,2059438607608,Detection created
3.237,3,2059438607776,Detection created
3.270,3,2059438607944,Detection created
3.303,3,2059438608112,Detection created
3.337,3,2059438608280,Detection created
3.370,3,2059438637184,Detection created
3.403,3,2059438637352,Detection created
3.437,3,2059438637520,Detection created
3.470,3,2059438637688,Detection created
3.504,3,2059438637856,Detection created
3.537,3,2059438638024,Detection created
3.570,3,2059438638192,Detection created
3.604,3,2059438638360,Detection created
3.637,3,2059438638528,Detection created
3.670,3,2059438638696,Detection created
3.704,3,2059438638864,Detection created
3.737,3,2059438639032,Detection created
3.770,3,2059438639200,Detection created
3.804,3,2059438639368,Detection created
3.837,3,2059438639536,Detection created
3.871,3,2059438639704,Detection created
3.904,3,2059438639872,Detection created
3.937,3,2059438640040,Detection created
3.971,3,2059438640208,Detection created
4.004,3,2059438640376,Detection created
4.037,3,2059438606768,Detection created
4.071,3,2059438640712,Detection created
4.104,3,2059438640880,Detection created
4.137,3,2059438641048,Detection created
4.171,3,2059445043328,Detection created
4.204,3,2059445043496,Detection created
4.238,3,2059445043664,Detection created
4.271,3,2059445043832,Detection created
4.304,3,2059445044000,Detection created
4.338,3,2059445044168,Detection created
4.371,3,2059445044336,Detection created
4.404,3,2059445044504,Detection created
4.438,3,2059445044672,Detection created
4.471,3,2059445044840,Detection created
4.505,3,2059445045008,Detection created
4.538,3,2059445045176,Detection created
4.571,3,2059445045344,Detection created
4.605,3,2059445045512,Detection created
4.638,3,2059445045680,Detection created
4.671,3,2059445045848,Detection created
4.705,3,2059445046016,Detection created
4.738,3,2059445046184,Detection created
4.771,3,2059445046352,Detection created
4.805,3,2059445046520,Detection created
4.838,3,2059445046688,Detection created
4.872,3,2059445046856,Detection created
4.905,3,2059445047024,Detection created
4.938,3,2059445047192,Detection created
4.972,3,2059445063808,Detection created
5.005,3,2059445063976,Detection created
5.038,3,2059438640544,Detection created
5.072,3,2059445064312,Detection created
5.105,3,2059445064480,Detection created
5.138,3,2059445064648,Detection created
5.172,3,2059445064816,Detection created
5.205,3,2059445064984,Detection created
5.239,3,2059445065152,Detection created
5.272,3,2059445065320,Detection created
5.305,3,2059445065488,Detection created
5.339,3,2059445065656,Detection created
5.372,3,2059445065824,Detection created
5.405,3,2059445065992,Detection created
5.439,3,2059445066160,Detection created
5.472,3,2059445066328,Detection created
5.506,3,2059445066496,Detection created
5.539,3,2059445066664,Detection created
5.572,3,2059445066832,Detection created
5.606,3,2059445067000,Detection created
5.639,3,2059445067168,Detection created
5.672,3,2059445067336,Detection created
5.706,3,2059445067504,Detection created
5.739,3,2059445067672,Detection created
5.772,3,2059445088384,Detection created
5.806,3,2059445088552,Detection created
5.839,3,2059445088720,Detection created
5.873,3,2059445088888,Detection created
5.906,3,2059445089056,Detection created
5.939,3,2059445089224,Detection created
5.973,3,2059445089392,Detection created
6.006,3,2059445089560,Detection created
6.039,3,2059445064144,Detection created
6.073,3,2059445089896,Detection created
6.106,3,2059445090064,Detection created
6.139,3,2059445090232,Detection created
6.173,3,2059445090400,Detection created
6.206,3,2059445090568,Detection created
6.240,3,2059445090736,Detection created
6.273,3,2059445090904,Detection created
6.306,3,2059445091072,Detection created
6.340,3,2059445091240,Detection created
6.373,3,2059445091408,Detection created
6.406,3,2059445091576,Detection created
6.440,3,2059445091744,Detection created
6.473,3,2059445091912,Detection created
6.507,3,2059445092080,Detection created
6.540,3,2059445092248,Detection created
6.573,3,2059445141632,Detection created
6.607,3,2059445141800,Detection created
6.640,3,2059445141968,Detection created
6.673,3,2059445142136,Detection created
6.707,3,2059445142304,Detection created
6.740,3,2059445142472,Detection created
6.773,3,2059445142640,Detection created
6.807,3,2059445142808,Detection created
6.840,3,2059445142976,Detection created
6.874,3,2059445143144,Detection created
6.907,3,2059445143312,Detection created
6.940,3,2059445143480,Detection created
6.974,3,2059445143648,Detection created
7.007,3,2059445143816,Detection created
7.040,3,2059445089728,Detection created
7.074,3,2059445144152,Detection created
7.107,3,2059445144320,Detection created
7.140,3,2059445144488,Detection created
7.174,3,2059445144656,Detection created
7.207,3,2059445144824,Detection created
7.241,3,2059445144992,Detection created
7.274,3,2059445145160,Detection created
7.307,3,2059445145328,Detection created
7.341,3,2059445145496,Detection created
7.374,3,2059438612608,Detection created
7.407,3,2059438612776,Detection created
7.441,3,2059438612944,Detection created
7.474,3,2059438613112,Detection created
7.508,3,2059438613280,Detection created
7.541,3,2059438613448,Detection created
7.574,3,2059438613616,Detection created
7.608,3,2059438613784,Detection created
7.641,3,2059438613952,Detection created
7.674,3,2059438614120,Detection created
7.708,3,2059438614288,Detection created
7.741,3,2059438614456,Detection created
7.774,3,2059438614624,Detection created
7.808,3,2059438614792,Detection created
7.841,3,2059438614960,Detection created
7.875,3,2059438615128,Detection created
7.908,3,2059438615296,Detection created
7.941,3,2059438615464,Detection created
7.975,3,2059438615632,Detection created
8.008,3,2059438615800,Detection created
8.041,3,2059445143984,Detection created
8.075,3,2059438616136,Detection created
8.108,3,2059438616304,Detection created
8.141,3,2059438616472,Detection created
8.175,3,2059445186688,Detection created
8.208,3,2059445186856,Detection created
8.242,3,2059445187024,Detection created
8.275,3,2059445187192,Detection created
8.308,3,2059445187360,Detection created
8.342,3,2059445187528,Detection created
8.375,3,2059445187696,Detection created
8.408,3,2059445187864,Detection created
8.442,3,2059445188032,Detection created
8.475,3,2059445188200,Detection created
8.509,3,2059445188368,Detection created
8.542,3,2059445188536,Detection created
8.575,3,2059445188704,Detection created
8.609,3,2059445188872,Detection created
8.642,3,2059445189040,Detection created
8.675,3,2059445189208,Detection created
8.709,3,2059445189376,Detection created
8.742,3,2059445189544,Detection created
8.775,3,2059445189712,Detection created
8.809,3,2059445189880,Detection created
8.842,3,2059445190048,Detection created
8.876,3,2059445190216,Detection created
8.909,3,2059445190384,Detection created
8.942,3,2059445190552,Detection created
8.976,3,2059445211264,Detection created
9.009,3,2059445211432,Detection created
9.042,3,2059438615968,Detection created
9.076,3,2059445211768,Detection created
9.109,3,2059445211936,Detection created
9.142,3,2059445212104,Detection created
9.176,3,2059445212272,Detection created
9.209,3,2059445212440,Detection created
9.243,3,2059445212608,Detection created
9.276,3,2059445212776,Detection created
9.309,3,2059445212944,Detection created
9.343,3,2059445213112,Detection created
9.376,3,2059445213280,Detection created
9.409,3,2059445213448,Detection created
9.443,3,2059445213616,Detection created
9.476,3,2059445213784,Detection created
9.509,3,2059445213952,Detection created
9.543,3,2059445214120,Detection created
9.576,3,2059445214288,Detection created
9.610,3,2059445214456,Detection created
9.643,3,2059445214624,Detection created
9.676,3,2059445214792,Detection created
9.710,3,2059445214960,Detection created
9.743,3,2059445215128,Detection created
9.776,3,2059445231744,Detection created
9.810,3,2059445231912,Detection created
9.843,3,2059445232080,Detection created
9.877,3,2059445232248,Detection created
9.910,3,2059445232416,Detection created
9.943,3,2059445232584,Detection created
9.977,3,2059445232752,Detection created
10.010,3,2059445232920,Detection created
10.043,3,2059445211600,Detection created
10.077,3,2059445233256,Detection created
10.110,3,2059445233424,Detection created
10.143,3,2059445233592,Detection created
10.177,3,2059445233760,Detection created
10.210,3,2059445233928,Detection created
10.244,3,2059445234096,Detection created
10.277,3,2059445234264,Detection created
10.310,3,2059445234432,Detection created
10.344,3,2059445234600,Detection created
10.377,3,2059445234768,Detection created
10.410,3,2059445234936,Detection created
10.444,3,2059445235104,Detection created
10.477,3,2059445235272,Detection created
10.510,3,2059445235440,Detection created
10.544,3,2059445235608,Detection created
10.577,3,2059445260360,Detection created
10.611,3,2059445260584,Detection created
10.644,3,2059445260752,Detection created
10.677,3,2059445260864,Detection created
10.711,3,2059445261032,Detection created
10.744,3,2059445261200,Detection created
10.777,3,2059445261368,Detection created
10.811,3,2059445261536,Detection created
10.844,3,2059445261704,Detection created
10.878,3,2059445261872,Detection created
10.911,3,2059445262040,Detection created
10.944,3,2059445262208,Detection created
10.978,3,2059445262376,Detection created
11.011,3,2059445262544,Detection created
11.044,3,2059445233088,Detection created
11.078,3,2059445262880,Detection created
11.111,3,2059445263048,Detection created
11.144,3,2059445263216,Detection created
11.178,3,2059445263384,Detection created
11.211,3,2059445263552,Detection created
11.245,3,2059445263720,Detection created
11.278,3,2059445263888,Detection created
11.311,3,2059445264056,Detection created
11.345,3,2059445264224,Detection created
11.378,3,2059439444096,Detection created
11.411,3,2059439444208,Detection created
