time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,2457834356520,7,0.997,569.000,811.000,573.000,721.000,1,1,1,3,0,False
0.000,2457834356576,7,0.964,804.000,986.000,298.000,440.000,1,1,1,1,0,False
0.000,2457834356632,7,0.942,520.000,724.000,379.000,522.000,1,1,1,1,0,False
0.000,2457834356688,7,0.778,593.000,741.000,205.000,304.000,1,1,1,1,0,False
0.000,2457833853000,7,0.643,415.000,585.000,267.000,382.000,1,1,1,1,0,False
0.000,2457833853056,7,0.393,311.000,429.000,200.000,286.000,1,1,1,1,0,False
0.040,2457833854064,7,0.998,573.000,811.000,572.000,721.000,1,1,1,3,0,False
0.040,2457833854232,7,0.955,521.000,730.000,384.000,531.000,1,1,1,1,0,True
0.040,2457833854288,7,0.954,815.000,994.000,305.000,447.000,1,1,1,1,0,True
0.040,2457833854344,7,0.766,595.000,743.000,204.000,306.000,1,1,1,1,0,False
0.040,2457833854400,7,0.658,417.000,589.000,276.000,385.000,1,1,1,1,0,False
0.040,2457833854456,7,0.366,310.000,429.000,205.000,283.000,1,1,1,1,0,False
0.080,2457833854736,7,0.997,573.000,823.000,578.000,722.000,1,1,1,3,0,False
0.080,2457833854792,7,0.980,523.000,729.000,384.000,531.000,1,1,1,1,0,True
0.080,2457833854848,7,0.843,597.000,754.000,204.000,307.000,1,1,1,1,0,False
0.080,2457833854904,7,0.777,819.000,997.000,308.000,448.000,1,1,1,1,0,True
0.080,2457833854960,7,0.755,416.000,595.000,272.000,382.000,1,1,1,1,0,False
0.080,2457833855016,7,0.347,316.000,427.000,203.000,282.000,1,1,1,1,0,False
0.080,2457833855072,7,0.282,204.000,301.000,180.000,239.000,1,1,1,1,0,False
0.120,2457833855688,7,0.994,570.000,826.000,589.000,721.000,1,1,1,3,0,False
0.120,2457833855744,7,0.991,524.000,735.000,387.000,537.000,1,1,1,1,0,True
0.120,2457833855800,7,0.971,823.000,1003.000,314.000,461.000,1,1,1,1,0,True
0.120,2457833855856,7,0.799,422.000,603.000,281.000,383.000,1,1,1,1,0,False
0.120,2457833855912,7,0.623,605.000,751.000,211.000,306.000,1,1,1,1,0,True
0.120,2457833855968,7,0.490,313.000,434.000,197.000,281.000,1,1,1,1,0,False
0.120,2457833856024,7,0.489,427.000,591.000,255.000,335.000,1,1,1,1,0,False
0.120,2457833856080,7,0.386,207.000,302.000,178.000,240.000,1,1,1,1,0,False
0.160,2457833856528,7,0.999,535.000,733.000,392.000,545.000,1,1,1,1,0,True
0.160,2457833856640,7,0.994,564.000,833.000,601.000,724.000,1,1,1,3,0,False
0.160,2457833856584,7,0.976,831.000,1008.000,320.000,465.000,1,1,1,1,0,True
0.160,2457833856696,7,0.842,435.000,607.000,290.000,406.000,1,1,1,1,0,False
0.160,2457833856752,7,0.626,604.000,756.000,206.000,305.000,1,1,1,1,0,True
0.160,2457833856808,7,0.503,432.000,589.000,253.000,333.000,1,1,1,1,0,False
0.160,2457833856864,7,0.459,309.000,437.000,197.000,283.000,1,1,1,1,0,False
0.160,2457833856920,7,0.336,206.000,298.000,178.000,240.000,1,1,1,1,0,False
0.200,2457834356128,7,0.997,536.000,735.000,397.000,551.000,1,1,1,1,0,True
0.200,2457824592448,7,0.982,835.000,1015.000,320.000,458.000,1,1,1,1,0,True
0.200,2457824592504,7,0.977,561.000,837.000,609.000,724.000,1,1,1,3,0,False
0.200,2457824592616,7,0.812,434.000,607.000,297.000,407.000,1,1,1,1,0,True
0.200,2457824592560,7,0.530,606.000,759.000,202.000,311.000,1,1,1,1,0,True
0.200,2457824592672,7,0.429,439.000,593.000,255.000,333.000,1,1,1,1,0,False
0.200,2457824592728,7,0.333,314.000,438.000,205.000,280.000,1,1,1,1,0,False
0.200,2457824592784,7,0.251,207.000,297.000,181.000,238.000,1,1,1,1,0,False
0.240,2457824593288,7,0.998,537.000,739.000,401.000,559.000,1,1,1,1,0,True
0.240,2457824593400,7,0.996,833.000,1021.000,321.000,465.000,1,1,1,1,0,True
0.240,2457824593344,7,0.947,569.000,840.000,613.000,723.000,1,1,1,3,0,False
0.240,2457824593456,7,0.816,436.000,609.000,292.000,407.000,1,1,1,1,0,True
0.240,2457824593512,7,0.549,611.000,763.000,205.000,315.000,1,1,1,1,0,True
0.240,2457824593568,7,0.444,438.000,594.000,255.000,337.000,1,1,1,1,0,False
0.240,2457824593624,7,0.397,308.000,443.000,196.000,287.000,1,1,1,1,0,False
0.240,2457824593680,7,0.292,208.000,300.000,174.000,237.000,1,1,1,1,0,False
0.280,2457824594184,7,0.998,543.000,744.000,407.000,568.000,1,1,1,1,0,True
0.280,2457824594296,7,0.995,841.000,1027.000,323.000,466.000,1,1,1,1,0,True
0.280,2457824594240,7,0.858,576.000,838.000,624.000,722.000,1,1,1,3,0,False
0.280,2457824594352,7,0.698,441.000,617.000,301.000,408.000,1,1,1,1,0,True
0.280,2457824594408,7,0.497,308.000,446.000,199.000,288.000,1,1,1,1,0,False
0.280,2457824594464,7,0.485,439.000,598.000,255.000,336.000,1,1,1,1,0,False
0.280,2457824594520,7,0.484,618.000,764.000,204.000,313.000,1,1,1,1,0,True
0.280,2457824594576,7,0.270,203.000,305.000,171.000,239.000,1,1,1,1,0,False
0.320,2457834353104,7,0.998,844.000,1030.000,325.000,472.000,1,1,1,1,0,True
0.320,2457824595024,7,0.997,548.000,749.000,418.000,577.000,1,1,1,1,0,True
0.320,2457824595080,7,0.822,438.000,621.000,301.000,411.000,1,1,1,1,0,True
0.320,2457824595192,7,0.620,580.000,840.000,632.000,723.000,1,1,1,3,0,False
0.320,2457824595136,7,0.529,433.000,597.000,256.000,337.000,1,1,1,1,0,False
0.320,2457824595248,7,0.513,616.000,772.000,203.000,326.000,1,1,1,1,0,True
0.320,2457824595304,7,0.395,314.000,447.000,202.000,285.000,1,1,1,1,0,False
0.320,2457824595360,7,0.286,204.000,303.000,173.000,239.000,1,1,1,1,0,False
0.360,2457824595864,7,0.997,549.000,754.000,428.000,584.000,1,1,1,1,0,True
0.360,2457824595920,7,0.994,850.000,1037.000,329.000,475.000,1,1,1,1,0,True
0.360,2457824530504,7,0.806,445.000,630.000,297.000,413.000,1,1,1,1,0,True
0.360,2457824530560,7,0.570,618.000,771.000,205.000,327.000,1,1,1,1,0,True
0.360,2457824530616,7,0.445,446.000,608.000,258.000,338.000,1,1,1,1,0,False
0.360,2457824530672,7,0.367,581.000,839.000,639.000,723.000,1,1,1,3,0,False
0.360,2457824530728,7,0.278,323.000,445.000,210.000,283.000,1,1,1,1,0,False
0.360,2457824530784,7,0.260,208.000,305.000,177.000,237.000,1,1,1,1,0,False
0.400,2457824531288,7,0.999,546.000,760.000,420.000,579.000,1,1,1,1,0,True
0.400,2457824531400,7,0.961,852.000,1043.000,331.000,482.000,1,1,1,1,0,True
0.400,2457824531344,7,0.758,431.000,624.000,266.000,376.000,1,1,1,1,0,True
0.400,2457824531456,7,0.706,624.000,776.000,205.000,330.000,1,1,1,1,0,True
0.440,2457824531736,7,0.999,554.000,765.000,423.000,592.000,1,1,1,1,0,True
0.440,2457824531848,7,0.971,850.000,1045.000,332.000,487.000,1,1,1,1,0,True
0.440,2457824531792,7,0.866,451.000,633.000,299.000,417.000,1,1,1,1,0,True
0.440,2457824531904,7,0.632,635.000,784.000,207.000,329.000,1,1,1,1,0,True
0.440,2457824531960,7,0.335,446.000,613.000,258.000,339.000,1,1,1,1,0,False
0.480,2457824532520,7,0.998,564.000,767.000,425.000,599.000,1,1,1,1,0,True
0.480,2457824532576,7,0.943,850.000,1051.000,334.000,499.000,1,1,1,1,0,True
0.480,2457824532632,7,0.865,445.000,630.000,300.000,418.000,1,1,1,1,0,True
0.480,2457824532688,7,0.730,436.000,626.000,263.000,372.000,1,1,1,1,0,False
0.480,2457824532744,7,0.727,636.000,787.000,207.000,333.000,1,1,1,1,0,True
0.520,2457824533248,7,0.998,560.000,770.000,430.000,610.000,1,1,1,1,0,True
0.520,2457824533304,7,0.992,855.000,1056.000,337.000,504.000,1,1,1,1,0,True
0.520,2457824533360,7,0.699,642.000,790.000,210.000,332.000,1,1,1,1,0,True
0.520,2457824533416,7,0.672,445.000,630.000,261.000,365.000,1,1,1,1,0,False
0.520,2457824533472,7,0.621,450.000,632.000,304.000,420.000,1,1,1,1,0,True
0.520,2457824533528,7,0.311,204.000,303.000,172.000,238.000,1,1,1,1,0,False
0.560,2457824534200,7,0.994,560.000,770.000,441.000,616.000,1,1,1,1,0,True
0.560,2457824534088,7,0.993,861.000,1070.000,341.000,502.000,1,1,1,1,0,True
0.560,2457824534144,7,0.775,643.000,791.000,212.000,334.000,1,1,1,1,0,True
0.560,2457824534256,7,0.729,458.000,643.000,328.000,442.000,1,1,1,1,0,True
0.560,2457824534312,7,0.484,448.000,626.000,277.000,366.000,1,1,1,1,0,False
0.560,2457824534368,7,0.280,199.000,307.000,169.000,239.000,1,1,1,1,0,False
0.600,2457824522760,7,0.995,569.000,778.000,449.000,617.000,1,1,1,1,0,True
0.600,2457824522648,7,0.993,869.000,1074.000,351.000,508.000,1,1,1,1,0,True
0.600,2457824522704,7,0.818,461.000,646.000,328.000,443.000,1,1,1,1,0,True
0.600,2457824522816,7,0.733,646.000,792.000,213.000,333.000,1,1,1,1,0,True
0.600,2457824522872,7,0.614,449.000,629.000,275.000,371.000,1,1,1,1,0,False
0.600,2457824522928,7,0.313,201.000,306.000,170.000,240.000,1,1,1,1,0,False
0.600,2457824522984,7,0.252,363.000,485.000,221.000,283.000,1,1,1,1,0,False
0.640,2457824523544,7,0.996,877.000,1077.000,354.000,515.000,1,1,1,1,0,True
0.640,2457824523600,7,0.995,566.000,790.000,450.000,628.000,1,1,1,1,0,True
0.640,2457824523656,7,0.873,468.000,648.000,330.000,449.000,1,1,1,1,0,True
0.640,2457824523712,7,0.814,645.000,794.000,216.000,334.000,1,1,1,1,0,True
0.640,2457824523768,7,0.398,452.000,633.000,274.000,369.000,1,1,1,1,0,False
0.680,2457824524216,7,0.999,560.000,796.000,453.000,636.000,1,1,1,1,0,True
0.680,2457824524160,7,0.996,879.000,1088.000,362.000,521.000,1,1,1,1,0,True
0.680,2457824524272,7,0.906,468.000,648.000,328.000,449.000,1,1,1,1,0,True
0.680,2457824524328,7,0.798,643.000,798.000,213.000,338.000,1,1,1,1,0,True
0.680,2457824524384,7,0.393,459.000,653.000,266.000,376.000,1,1,1,1,0,False
0.680,2457824524440,7,0.261,365.000,486.000,213.000,277.000,1,1,1,1,0,False
0.720,2457824525112,7,1.000,559.000,799.000,456.000,646.000,1,1,1,1,0,True
0.720,2457824525000,7,0.994,885.000,1093.000,363.000,525.000,1,1,1,1,0,True
0.720,2457824525056,7,0.795,647.000,810.000,217.000,341.000,1,1,1,1,0,True
0.720,2457824525168,7,0.781,471.000,650.000,331.000,454.000,1,1,1,1,0,True
0.720,2457824525224,7,0.475,463.000,655.000,269.000,373.000,1,1,1,1,0,False
0.720,2457824525280,7,0.266,360.000,491.000,211.000,278.000,1,1,1,1,0,False
0.720,2457824525336,7,0.253,357.000,488.000,234.000,319.000,1,1,1,1,0,False
0.760,2457824525952,7,0.999,560.000,806.000,467.000,656.000,1,1,1,1,0,True
0.760,2457824525896,7,0.992,892.000,1095.000,370.000,533.000,1,1,1,1,0,True
0.760,2457824526008,7,0.848,653.000,819.000,219.000,342.000,1,1,1,1,0,True
0.760,2457824526064,7,0.745,478.000,654.000,335.000,457.000,1,1,1,1,0,True
0.760,2457824526120,7,0.531,443.000,624.000,272.000,372.000,1,1,1,1,0,False
0.760,2457824526176,7,0.385,359.000,490.000,232.000,323.000,1,1,1,1,0,False
0.760,2457824526232,7,0.311,214.000,305.000,173.000,238.000,1,1,1,1,0,False
0.760,2457824526288,7,0.300,365.000,489.000,208.000,276.000,1,1,1,1,0,False
0.760,2457824469064,7,0.252,485.000,668.000,251.000,352.000,1,1,1,1,0,False
0.800,2457824469736,7,0.998,562.000,811.000,476.000,667.000,1,1,1,1,0,True
0.800,2457824469680,7,0.997,896.000,1098.000,372.000,542.000,1,1,1,1,0,True
0.800,2457824469792,7,0.979,658.000,833.000,214.000,348.000,1,1,1,1,0,True
0.800,2457824469848,7,0.941,481.000,663.000,336.000,463.000,1,1,1,1,0,True
0.800,2457824469904,7,0.554,468.000,662.000,270.000,377.000,1,1,1,1,0,False
0.800,2457824469960,7,0.325,368.000,492.000,208.000,278.000,1,1,1,1,0,False
0.800,2457824470016,7,0.313,213.000,303.000,174.000,237.000,1,1,1,1,0,False
0.800,2457824470072,7,0.312,363.000,492.000,233.000,322.000,1,1,1,1,0,False
0.800,2457824470128,7,0.306,443.000,635.000,306.000,399.000,1,1,1,1,0,False
0.800,2457824470184,7,0.253,438.000,605.000,258.000,341.000,1,1,1,1,0,False
0.840,2457824470856,7,0.997,556.000,808.000,486.000,674.000,1,1,1,1,0,True
0.840,2457824470744,7,0.997,897.000,1105.000,370.000,540.000,1,1,1,1,0,True
0.840,2457824470800,7,0.965,660.000,834.000,217.000,346.000,1,1,1,1,0,True
0.840,2457824470912,7,0.947,489.000,666.000,337.000,467.000,1,1,1,1,0,True
0.840,2457824470968,7,0.355,472.000,660.000,269.000,375.000,1,1,1,1,0,False
0.840,2457824471024,7,0.308,364.000,493.000,234.000,322.000,1,1,1,1,0,False
0.840,2457824471080,7,0.302,367.000,494.000,214.000,279.000,1,1,1,1,0,False
0.840,2457824471136,7,0.288,210.000,305.000,171.000,237.000,1,1,1,1,0,False
0.880,2457824471584,7,0.999,567.000,813.000,491.000,681.000,1,1,1,1,0,True
0.880,2457824471528,7,0.997,910.000,1112.000,379.000,544.000,1,1,1,1,0,True
0.880,2457824471640,7,0.973,487.000,669.000,341.000,472.000,1,1,1,1,0,True
0.880,2457824471696,7,0.965,664.000,837.000,217.000,351.000,1,1,1,1,0,True
0.880,2457824471752,7,0.369,371.000,496.000,231.000,322.000,1,1,1,1,0,False
0.880,2457824471808,7,0.358,212.000,306.000,173.000,236.000,1,1,1,1,0,False
0.880,2457824471864,7,0.300,373.000,496.000,208.000,282.000,1,1,1,1,0,False
0.920,2457824472424,7,0.999,575.000,824.000,499.000,689.000,1,1,1,1,0,True
0.920,2457824472312,7,0.998,907.000,1120.000,384.000,557.000,1,1,1,1,0,True
0.920,2457824472368,7,0.989,489.000,675.000,343.000,478.000,1,1,1,1,0,True
0.920,2457824472480,7,0.879,660.000,828.000,215.000,350.000,1,1,1,1,0,True
0.920,2457824472536,7,0.451,371.000,499.000,228.000,328.000,1,1,1,1,0,False
0.920,2457824472592,7,0.336,211.000,307.000,170.000,238.000,1,1,1,1,0,False
0.920,2457824472648,7,0.272,373.000,496.000,211.000,280.000,1,1,1,1,0,False
0.960,2457824481520,7,0.998,583.000,832.000,502.000,696.000,1,1,1,2,0,True
0.960,2457824481408,7,0.996,904.000,1122.000,390.000,565.000,1,1,1,1,0,True
0.960,2457824481464,7,0.940,486.000,681.000,348.000,477.000,1,1,1,1,0,True
0.960,2457824481576,7,0.918,662.000,832.000,215.000,354.000,1,1,1,1,0,True
0.960,2457824481632,7,0.620,476.000,677.000,321.000,419.000,1,1,1,1,0,False
0.960,2457824481688,7,0.403,376.000,499.000,233.000,325.000,1,1,1,1,0,False
0.960,2457824481744,7,0.344,474.000,667.000,270.000,389.000,1,1,1,1,0,False
0.960,2457824481800,7,0.293,375.000,497.000,213.000,281.000,1,1,1,1,0,False
1.000,2457824482416,7,1.000,591.000,831.000,508.000,708.000,1,1,1,2,0,True
1.000,2457824482360,7,0.993,909.000,1129.000,397.000,568.000,1,1,1,1,0,True
1.000,2457824482472,7,0.980,502.000,694.000,355.000,490.000,1,1,1,1,0,True
1.000,2457824482528,7,0.945,665.000,829.000,218.000,354.000,1,1,1,1,0,True
1.000,2457824482584,7,0.490,379.000,503.000,231.000,325.000,1,1,1,1,0,False
1.000,2457824482640,7,0.379,450.000,593.000,323.000,406.000,1,1,1,1,0,False
1.000,2457824482696,7,0.327,491.000,674.000,335.000,414.000,1,1,1,1,0,False
1.040,2457824483368,7,1.000,593.000,832.000,517.000,712.000,1,1,1,2,0,True
1.040,2457824483200,7,0.997,914.000,1143.000,406.000,577.000,1,1,1,1,0,True
1.040,2457824483312,7,0.978,506.000,696.000,356.000,490.000,1,1,1,1,0,True
1.040,2457824483424,7,0.978,669.000,833.000,220.000,356.000,1,1,1,1,0,True
1.040,2457824483480,7,0.524,373.000,505.000,231.000,328.000,1,1,1,1,0,False
1.040,2457824483536,7,0.304,486.000,673.000,329.000,415.000,1,1,1,1,0,False
1.040,2457824483592,7,0.273,451.000,584.000,324.000,411.000,1,1,1,1,0,False
1.080,2457824484208,7,0.999,593.000,837.000,525.000,713.000,1,1,1,2,0,True
1.080,2457824484096,7,0.999,918.000,1146.000,411.000,579.000,1,1,1,1,0,True
1.080,2457824484152,7,0.992,503.000,707.000,359.000,497.000,1,1,1,1,0,True
1.080,2457824484264,7,0.968,668.000,840.000,221.000,358.000,1,1,1,1,0,True
1.080,2457824484320,7,0.533,376.000,510.000,230.000,329.000,1,1,1,1,0,False
1.080,2457824484376,7,0.441,484.000,678.000,332.000,417.000,1,1,1,1,0,False
1.120,2457824484880,7,0.999,599.000,841.000,526.000,716.000,1,1,1,2,0,True
1.120,2457824484824,7,0.996,919.000,1150.000,415.000,584.000,1,1,1,1,0,True
1.120,2457824484936,7,0.985,503.000,711.000,362.000,501.000,1,1,1,1,0,True
1.120,2457824484992,7,0.925,681.000,854.000,225.000,364.000,1,1,1,1,0,True
1.120,2457824485048,7,0.521,375.000,515.000,225.000,335.000,1,1,1,1,0,False
1.120,2457824485104,7,0.506,435.000,608.000,311.000,425.000,1,1,1,1,0,False
1.160,2457826722144,7,1.000,605.000,844.000,533.000,717.000,1,1,1,2,0,True
1.160,2457826722088,7,0.998,932.000,1152.000,414.000,589.000,1,1,1,1,0,True
1.160,2457826722200,7,0.986,503.000,714.000,362.000,507.000,1,1,1,1,0,True
1.160,2457826722256,7,0.980,684.000,858.000,228.000,368.000,1,1,1,1,0,True
1.160,2457826722312,7,0.454,480.000,684.000,313.000,422.000,1,1,1,1,0,False
1.160,2457826722368,7,0.387,381.000,515.000,231.000,329.000,1,1,1,1,0,False
1.200,2457826723040,7,0.999,608.000,837.000,543.000,723.000,1,1,1,3,0,True
1.200,2457826722984,7,0.998,938.000,1168.000,426.000,601.000,1,1,1,1,0,True
1.200,2457826723096,7,0.984,691.000,861.000,228.000,372.000,1,1,1,1,0,True
1.200,2457826723152,7,0.981,504.000,718.000,365.000,517.000,1,1,1,1,0,True
1.200,2457826723208,7,0.346,441.000,625.000,315.000,429.000,1,1,1,1,0,False
1.200,2457826723264,7,0.290,478.000,703.000,355.000,446.000,1,1,1,1,0,False
1.240,2457826723768,7,0.999,611.000,840.000,552.000,722.000,1,1,1,3,0,True
1.240,2457826723824,7,0.994,941.000,1169.000,428.000,605.000,1,1,1,1,0,True
1.240,2457826723880,7,0.968,696.000,865.000,238.000,376.000,1,1,1,1,0,True
1.240,2457826723936,7,0.964,514.000,721.000,372.000,521.000,1,1,1,1,0,True
1.240,2457826723992,7,0.512,493.000,704.000,354.000,451.000,1,1,1,1,0,False
1.240,2457826724048,7,0.382,456.000,614.000,343.000,437.000,1,1,1,1,0,False
1.280,2457826724608,7,0.997,614.000,847.000,565.000,720.000,1,1,1,3,0,True
1.280,2457826724664,7,0.997,946.000,1176.000,431.000,615.000,1,1,1,1,0,True
1.280,2457826724720,7,0.957,519.000,722.000,375.000,526.000,1,1,1,1,0,True
1.280,2457826724776,7,0.956,700.000,864.000,235.000,382.000,1,1,1,1,0,True
1.280,2457826724832,7,0.346,497.000,702.000,358.000,449.000,1,1,1,1,0,False
1.280,2457826724888,7,0.338,450.000,604.000,323.000,422.000,1,1,1,1,0,False
1.280,2457826724944,7,0.272,214.000,315.000,174.000,236.000,1,1,1,1,0,False
1.280,2457826725000,7,0.263,391.000,518.000,228.000,328.000,1,1,1,1,0,False
1.320,2457826725616,7,0.994,961.000,1178.000,439.000,623.000,1,1,1,1,0,True
1.320,2457826725672,7,0.991,621.000,857.000,573.000,719.000,1,1,1,2,0,True
1.320,2457826725728,7,0.970,526.000,725.000,388.000,528.000,1,1,1,1,0,True
1.320,2457826725784,7,0.908,709.000,867.000,234.000,382.000,1,1,1,1,0,True
1.320,2457826725840,7,0.352,503.000,702.000,363.000,449.000,1,1,1,1,0,False
1.320,2457826680904,7,0.312,458.000,604.000,351.000,444.000,1,1,1,1,0,False
1.320,2457826680960,7,0.274,215.000,314.000,175.000,237.000,1,1,1,1,0,False
1.320,2457826681016,7,0.251,385.000,530.000,237.000,341.000,1,1,1,1,0,False
1.360,2457826681576,7,0.994,635.000,866.000,577.000,720.000,1,1,1,3,0,True
1.360,2457826681632,7,0.994,528.000,727.000,389.000,536.000,1,1,1,1,0,True
1.360,2457826681688,7,0.991,959.000,1184.000,449.000,623.000,1,1,1,1,0,True
1.360,2457826681744,7,0.964,708.000,873.000,237.000,386.000,1,1,1,1,0,True
1.360,2457826681800,7,0.484,458.000,661.000,308.000,429.000,1,1,1,1,0,False
1.360,2457826681856,7,0.250,461.000,680.000,264.000,386.000,1,1,1,1,0,False
1.400,2457826682248,7,0.998,638.000,874.000,585.000,720.000,1,1,1,3,0,True
1.400,2457826682304,7,0.997,535.000,731.000,391.000,545.000,1,1,1,1,0,True
1.400,2457826682360,7,0.992,970.000,1196.000,452.000,630.000,1,1,1,1,0,True
1.400,2457826682416,7,0.955,708.000,877.000,238.000,389.000,1,1,1,1,0,True
1.400,2457826682472,7,0.566,457.000,610.000,339.000,458.000,1,1,1,1,0,False
1.400,2457826682528,7,0.382,394.000,577.000,238.000,347.000,1,1,1,1,0,False
1.440,2457826683032,7,0.997,535.000,735.000,399.000,550.000,1,1,1,1,0,True
1.440,2457826683088,7,0.994,631.000,891.000,595.000,719.000,1,1,1,2,0,True
1.440,2457826683144,7,0.986,976.000,1210.000,456.000,640.000,1,1,1,1,0,True
1.440,2457826683200,7,0.675,711.000,886.000,232.000,396.000,1,1,1,1,0,True
1.440,2457826683256,7,0.559,457.000,610.000,352.000,460.000,1,1,1,1,0,False
