time,priority,object,text
0.000,3,2457834356520,Detection created
0.000,3,2457834356576,Detection created
0.000,3,2457834356632,Detection created
0.000,3,2457834356688,Detection created
0.000,3,2457833853000,Detection created
0.000,3,2457833853056,Detection created
0.000,1,2457833853504,Body created
0.000,2,2457833853448,Pattern created
0.000,1,2457833853728,Body created
0.000,2,2457833853672,Pattern created
0.040,3,2457833854064,Detection created
0.040,3,2457833854232,Detection created
0.040,3,2457833854288,Detection created
0.040,3,2457833854344,Detection created
0.040,3,2457833854400,Detection created
0.040,3,2457833854456,Detection created
0.080,3,2457833854736,Detection created
0.080,3,2457833854792,Detection created
0.080,3,2457833854848,Detection created
0.080,3,2457833854904,Detection created
0.080,3,2457833854960,Detection created
0.080,3,2457833855016,Detection created
0.080,3,2457833855072,Detection created
0.080,1,2457833855352,Body created
0.080,2,2457833855296,Pattern created
0.120,3,2457833855688,Detection created
0.120,3,2457833855744,Detection created
0.120,3,2457833855800,Detection created
0.120,3,2457833855856,Detection created
0.120,3,2457833855912,Detection created
0.120,3,2457833855968,Detection created
0.120,3,2457833856024,Detection created
0.120,3,2457833856080,Detection created
0.160,3,2457833856528,Detection created
0.160,3,2457833856640,Detection created
0.160,3,2457833856584,Detection created
0.160,3,2457833856696,Detection created
0.160,3,2457833856752,Detection created
0.160,3,2457833856808,Detection created
0.160,3,2457833856864,Detection created
0.160,3,2457833856920,Detection created
0.160,1,2457824592112,Body created
0.160,2,2457824592056,Pattern created
0.200,3,2457834356128,Detection created
0.200,3,2457824592448,Detection created
0.200,3,2457824592504,Detection created
0.200,3,2457824592616,Detection created
0.200,3,2457824592560,Detection created
0.200,3,2457824592672,Detection created
0.200,3,2457824592728,Detection created
0.200,3,2457824592784,Detection created
0.240,3,2457824593288,Detection created
0.240,3,2457824593400,Detection created
0.240,3,2457824593344,Detection created
0.240,3,2457824593456,Detection created
0.240,3,2457824593512,Detection created
0.240,3,2457824593568,Detection created
0.240,3,2457824593624,Detection created
0.240,3,2457824593680,Detection created
0.280,3,2457824594184,Detection created
0.280,3,2457824594296,Detection created
0.280,3,2457824594240,Detection created
0.280,3,2457824594352,Detection created
0.280,3,2457824594408,Detection created
0.280,3,2457824594464,Detection created
0.280,3,2457824594520,Detection created
0.280,3,2457824594576,Detection created
0.320,3,2457834353104,Detection created
0.320,3,2457824595024,Detection created
0.320,3,2457824595080,Detection created
0.320,3,2457824595192,Detection created
0.320,3,2457824595136,Detection created
0.320,3,2457824595248,Detection created
0.320,3,2457824595304,Detection created
0.320,3,2457824595360,Detection created
0.360,3,2457824595864,Detection created
0.360,3,2457824595920,Detection created
0.360,3,2457824530504,Detection created
0.360,3,2457824530560,Detection created
0.360,3,2457824530616,Detection created
0.360,3,2457824530672,Detection created
0.360,3,2457824530728,Detection created
0.360,3,2457824530784,Detection created
0.400,3,2457824531288,Detection created
0.400,3,2457824531400,Detection created
0.400,3,2457824531344,Detection created
0.400,3,2457824531456,Detection created
0.440,3,2457824531736,Detection created
0.440,3,2457824531848,Detection created
0.440,3,2457824531792,Detection created
0.440,3,2457824531904,Detection created
0.440,3,2457824531960,Detection created
0.480,3,2457824532520,Detection created
0.480,3,2457824532576,Detection created
0.480,3,2457824532632,Detection created
0.480,3,2457824532688,Detection created
0.480,3,2457824532744,Detection created
0.520,3,2457824533248,Detection created
0.520,3,2457824533304,Detection created
0.520,3,2457824533360,Detection created
0.520,3,2457824533416,Detection created
0.520,3,2457824533472,Detection created
0.520,3,2457824533528,Detection created
0.560,3,2457824534200,Detection created
0.560,3,2457824534088,Detection created
0.560,3,2457824534144,Detection created
0.560,3,2457824534256,Detection created
0.560,3,2457824534312,Detection created
0.560,3,2457824534368,Detection created
0.600,3,2457824522760,Detection created
0.600,3,2457824522648,Detection created
0.600,3,2457824522704,Detection created
0.600,3,2457824522816,Detection created
0.600,3,2457824522872,Detection created
0.600,3,2457824522928,Detection created
0.600,3,2457824522984,Detection created
0.640,3,2457824523544,Detection created
0.640,3,2457824523600,Detection created
0.640,3,2457824523656,Detection created
0.640,3,2457824523712,Detection created
0.640,3,2457824523768,Detection created
0.680,3,2457824524216,Detection created
0.680,3,2457824524160,Detection created
0.680,3,2457824524272,Detection created
0.680,3,2457824524328,Detection created
0.680,3,2457824524384,Detection created
0.680,3,2457824524440,Detection created
0.720,3,2457824525112,Detection created
0.720,3,2457824525000,Detection created
0.720,3,2457824525056,Detection created
0.720,3,2457824525168,Detection created
0.720,3,2457824525224,Detection created
0.720,3,2457824525280,Detection created
0.720,3,2457824525336,Detection created
0.760,3,2457824525952,Detection created
0.760,3,2457824525896,Detection created
0.760,3,2457824526008,Detection created
0.760,3,2457824526064,Detection created
0.760,3,2457824526120,Detection created
0.760,3,2457824526176,Detection created
0.760,3,2457824526232,Detection created
0.760,3,2457824526288,Detection created
0.760,3,2457824469064,Detection created
0.800,3,2457824469736,Detection created
0.800,3,2457824469680,Detection created
0.800,3,2457824469792,Detection created
0.800,3,2457824469848,Detection created
0.800,3,2457824469904,Detection created
0.800,3,2457824469960,Detection created
0.800,3,2457824470016,Detection created
0.800,3,2457824470072,Detection created
0.800,3,2457824470128,Detection created
0.800,3,2457824470184,Detection created
0.840,3,2457824470856,Detection created
0.840,3,2457824470744,Detection created
0.840,3,2457824470800,Detection created
0.840,3,2457824470912,Detection created
0.840,3,2457824470968,Detection created
0.840,3,2457824471024,Detection created
0.840,3,2457824471080,Detection created
0.840,3,2457824471136,Detection created
0.880,3,2457824471584,Detection created
0.880,3,2457824471528,Detection created
0.880,3,2457824471640,Detection created
0.880,3,2457824471696,Detection created
0.880,3,2457824471752,Detection created
0.880,3,2457824471808,Detection created
0.880,3,2457824471864,Detection created
0.920,3,2457824472424,Detection created
0.920,3,2457824472312,Detection created
0.920,3,2457824472368,Detection created
0.920,3,2457824472480,Detection created
0.920,3,2457824472536,Detection created
0.920,3,2457824472592,Detection created
0.920,3,2457824472648,Detection created
0.960,3,2457824481520,Detection created
0.960,3,2457824481408,Detection created
0.960,3,2457824481464,Detection created
0.960,3,2457824481576,Detection created
0.960,3,2457824481632,Detection created
0.960,3,2457824481688,Detection created
0.960,3,2457824481744,Detection created
0.960,3,2457824481800,Detection created
1.000,3,2457824482416,Detection created
1.000,3,2457824482360,Detection created
1.000,3,2457824482472,Detection created
1.000,3,2457824482528,Detection created
1.000,3,2457824482584,Detection created
1.000,3,2457824482640,Detection created
1.000,3,2457824482696,Detection created
1.040,3,2457824483368,Detection created
1.040,3,2457824483200,Detection created
1.040,3,2457824483312,Detection created
1.040,3,2457824483424,Detection created
