class_1,confidence_1,x_loc_1,y_loc_1,width_1,height_1,h0_1,h1_1,h2_1,sat_1,val_1,class_2,confidence_2,x_loc_2,y_loc_2,width_2,height_2,h0_2,h1_2,h2_2,sat_2,val_2
2,1.00,566.00,215.50,52.00,137.00,0.315,0.437,0.247,71.996,124.843,2,1.00,530.50,216.00,49.00,134.00,0.291,0.468,0.242,72.229,121.822
2,1.00,519.00,253.50,106.00,229.00,0.409,0.372,0.220,58.709,145.265,2,1.00,456.00,251.00,102.00,232.00,0.365,0.477,0.158,64.661,160.096
1,1.00,217.00,228.00,170.00,74.00,0.169,0.673,0.159,81.929,70.423,1,1.00,197.00,227.00,178.00,74.00,0.171,0.671,0.159,76.289,67.717
1,1.00,194.00,230.50,184.00,79.00,0.173,0.664,0.163,81.141,70.718,1,1.00,172.50,230.50,191.00,77.00,0.160,0.678,0.161,75.939,69.946
2,1.00,1155.50,241.00,89.00,150.00,0.074,0.669,0.256,85.880,58.390,2,1.00,1110.00,242.00,94.00,152.00,0.094,0.682,0.224,82.096,58.026
1,1.00,376.50,226.00,163.00,126.00,0.114,0.626,0.259,70.091,137.364,1,1.00,347.50,225.50,159.00,127.00,0.104,0.614,0.282,66.123,148.577
1,1.00,47.50,194.50,59.00,25.00,0.265,0.515,0.220,67.152,62.920,1,1.00,48.50,193.50,85.00,29.00,0.273,0.527,0.200,63.198,56.038
1,1.00,1127.50,250.50,225.00,241.00,0.223,0.475,0.302,90.647,73.877,1,1.00,1099.00,251.50,284.00,247.00,0.200,0.512,0.288,85.107,77.503
2,1.00,470.00,228.50,40.00,119.00,0.262,0.177,0.561,67.290,33.634,2,1.00,431.50,233.00,45.00,118.00,0.221,0.111,0.667,69.641,54.419
1,1.00,398.50,213.00,105.00,66.00,0.188,0.715,0.098,101.983,124.786,1,1.00,378.00,212.50,106.00,65.00,0.170,0.725,0.105,98.158,128.857
1,1.00,996.00,275.50,348.00,193.00,0.311,0.568,0.121,66.724,129.938,1,1.00,946.50,275.50,341.00,197.00,0.316,0.585,0.099,66.555,128.183
1,1.00,1162.00,288.50,152.00,171.00,0.222,0.709,0.068,77.772,88.526,1,1.00,1108.00,276.50,254.00,195.00,0.203,0.745,0.052,83.201,86.394
1,1.00,817.50,226.00,175.00,98.00,0.115,0.730,0.155,89.353,83.173,1,1.00,787.50,226.50,157.00,95.00,0.116,0.736,0.148,88.277,87.750
1,1.00,446.50,200.50,87.00,53.00,0.182,0.733,0.085,95.470,140.119,1,1.00,427.00,201.00,92.00,52.00,0.184,0.746,0.070,92.247,146.759
1,1.00,762.00,204.50,98.00,61.00,0.156,0.690,0.154,97.640,70.781,1,1.00,736.00,206.00,82.00,58.00,0.165,0.667,0.169,94.429,79.003
1,1.00,243.00,192.00,56.00,26.00,0.194,0.706,0.100,111.018,64.242,1,1.00,237.00,191.00,60.00,26.00,0.139,0.761,0.100,85.423,54.698
1,1.00,977.50,282.50,377.00,181.00,0.341,0.450,0.209,66.762,76.455,1,1.00,927.50,282.50,345.00,181.00,0.330,0.429,0.241,62.241,77.969
1,1.00,610.50,219.00,89.00,80.00,0.275,0.447,0.278,74.226,55.967,1,1.00,586.50,218.50,81.00,79.00,0.213,0.456,0.331,68.472,59.717
1,1.00,203.00,198.00,60.00,26.00,0.267,0.558,0.174,84.913,62.125,1,1.00,195.00,197.50,60.00,25.00,0.218,0.589,0.193,72.778,56.562
1,1.00,606.50,196.50,37.00,35.00,0.313,0.516,0.171,71.024,159.117,1,1.00,595.50,197.50,37.00,35.00,0.310,0.551,0.138,73.110,162.395
1,1.00,293.00,190.50,44.00,21.00,0.246,0.641,0.114,87.728,156.348,1,0.96,286.50,190.00,45.00,22.00,0.363,0.535,0.102,71.447,183.038
1,1.00,594.00,193.00,40.00,40.00,0.266,0.491,0.243,91.794,63.782,1,1.00,582.50,192.50,41.00,39.00,0.223,0.501,0.276,83.408,71.635
1,1.00,97.00,194.50,100.00,41.00,0.268,0.623,0.109,87.590,87.758,1,1.00,86.00,193.50,98.00,39.00,0.188,0.692,0.121,85.789,89.712
1,1.00,321.50,250.50,189.00,123.00,0.315,0.557,0.128,72.731,116.858,1,1.00,284.50,250.00,201.00,124.00,0.276,0.569,0.154,70.095,118.881
1,1.00,219.00,200.50,72.00,31.00,0.328,0.562,0.110,86.820,75.489,1,1.00,209.00,200.50,72.00,31.00,0.296,0.576,0.128,84.047,78.597
1,1.00,606.00,202.00,48.00,48.00,0.224,0.496,0.280,81.933,64.566,1,1.00,590.50,201.50,49.00,47.00,0.198,0.495,0.307,77.165,67.874
1,1.00,43.50,206.00,87.00,52.00,0.223,0.562,0.215,86.342,48.582,1,1.00,38.00,203.50,76.00,49.00,0.226,0.536,0.239,83.689,46.803
1,1.00,524.00,199.00,46.00,34.00,0.429,0.474,0.097,75.811,153.496,1,1.00,512.50,199.00,47.00,34.00,0.392,0.526,0.082,68.119,156.324
1,1.00,137.00,201.50,98.00,37.00,0.550,0.347,0.103,72.264,150.569,1,1.00,127.00,201.50,98.00,37.00,0.517,0.381,0.101,67.027,152.847
1,1.00,562.50,187.00,21.00,18.00,0.418,0.479,0.103,84.899,182.751,1,1.00,557.50,187.50,19.00,17.00,0.437,0.480,0.084,76.975,198.483
1,1.00,306.50,265.00,247.00,162.00,0.209,0.610,0.182,75.580,80.153,1,1.00,265.50,265.50,271.00,159.00,0.173,0.631,0.196,72.132,79.094
1,1.00,528.50,200.00,43.00,36.00,0.139,0.729,0.132,98.017,72.097,1,1.00,516.00,199.50,42.00,35.00,0.141,0.714,0.146,97.198,75.467
1,1.00,1178.00,198.00,122.00,60.00,0.194,0.673,0.133,85.828,110.853,1,1.00,1171.50,196.00,139.00,58.00,0.153,0.723,0.124,82.130,107.531
1,1.00,69.00,280.00,138.00,172.00,0.122,0.731,0.147,107.476,40.632,1,0.79,54.00,292.00,100.00,154.00,0.077,0.783,0.140,93.762,35.203
2,1.00,303.00,234.50,54.00,135.00,0.201,0.602,0.198,83.727,87.739,2,1.00,264.50,234.00,47.00,134.00,0.197,0.624,0.179,81.318,69.837
2,1.00,136.00,250.00,86.00,170.00,0.192,0.687,0.122,91.406,54.009,2,1.00,87.00,252.00,86.00,176.00,0.157,0.726,0.117,87.389,40.227
2,1.00,326.00,229.50,48.00,139.00,0.187,0.615,0.197,88.239,90.177,2,1.00,291.00,229.00,48.00,138.00,0.161,0.649,0.191,86.994,77.066
1,1.00,763.00,228.00,116.00,88.00,0.357,0.498,0.145,70.575,123.271,1,1.00,736.00,228.50,126.00,87.00,0.314,0.525,0.161,66.509,110.192
1,1.00,498.50,281.50,373.00,181.00,0.481,0.363,0.156,48.191,149.138,1,1.00,498.50,281.50,373.00,181.00,0.481,0.363,0.156,48.191,149.138
1,1.00,703.50,214.00,93.00,56.00,0.257,0.634,0.109,74.141,109.887,1,1.00,685.50,208.50,83.00,43.00,0.206,0.689,0.105,75.663,101.066
1,1.00,473.00,208.00,64.00,56.00,0.160,0.669,0.171,90.022,63.389,1,1.00,457.50,208.50,67.00,55.00,0.158,0.617,0.226,80.474,66.766
1,1.00,748.00,225.50,130.00,91.00,0.382,0.352,0.266,112.195,96.884,1,1.00,720.00,225.50,122.00,91.00,0.348,0.325,0.327,106.352,96.714
1,1.00,694.50,209.50,75.00,61.00,0.395,0.440,0.165,110.995,123.462,1,1.00,676.50,210.00,75.00,60.00,0.375,0.390,0.236,108.797,127.283
1,1.00,725.00,217.00,104.00,76.00,0.214,0.579,0.207,85.277,59.362,1,1.00,701.50,217.00,95.00,78.00,0.207,0.567,0.225,80.680,56.342
1,1.00,182.00,288.00,364.00,170.00,0.087,0.761,0.152,75.623,71.591,1,1.00,161.00,286.50,322.00,171.00,0.078,0.747,0.176,68.420,58.977
