time,id,class_id,x,y,z,vx,vy,vz,sigma_00,sigma_01,sigma_02,sigma_03,sigma_04,sigma_05,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_50,sigma_51,sigma_52,sigma_53,sigma_54,sigma_55,x_pattern_left,y_pattern_left,z_pattern_left,x_pattern_right,y_pattern_right,z_pattern_right,pattern_left, pattern_right,status,collision_p,c_time,c_x,c_y,c_z,c_sigma_00,c_sigma_01,c_sigma_02,c_sigma_03,c_sigma_04,c_sigma_05,c_sigma_10,c_sigma_11,c_sigma_12,c_sigma_13,c_sigma_14,c_sigma_15,c_sigma_20,c_sigma_21,c_sigma_22,c_sigma_23,c_sigma_24,c_sigma_25,c_sigma_30,c_sigma_31,c_sigma_32,c_sigma_33,c_sigma_34,c_sigma_35,c_sigma_40,c_sigma_41,c_sigma_42,c_sigma_43,c_sigma_44,c_sigma_45,c_sigma_50,c_sigma_51,c_sigma_52,c_sigma_53,c_sigma_54,c_sigma_55,distance_stereo,distance_size,distance,x_projected,y_projected,z_projected
0.000,1947924784128,2,6.071,-0.328,-8.822,0.000,0.000,0.000,100000.000,0.000,0.000,0.000,0.000,0.000,0.000,100000.000,0.000,0.000,0.000,0.000,0.000,0.000,100000.000,0.000,0.000,0.000,0.000,0.000,0.000,100000.000,0.000,0.000,0.000,0.000,0.000,0.000,100000.000,0.000,0.000,0.000,0.000,0.000,0.000,100000.000,6.071,-0.328,-8.822,6.071,-0.328,-8.822,1949838578464,1947924783960,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.714,7.888,10.714,6.071,-0.328,-8.822
0.100,1947924784128,2,6.428,-0.259,-9.545,0.035,0.007,-0.072,199.605,0.000,0.000,19.763,0.000,0.000,0.000,199.605,0.000,0.000,19.763,0.000,0.000,0.000,199.605,0.000,0.000,19.763,19.763,0.000,0.000,99011.858,0.000,0.000,0.000,19.763,0.000,0.000,99011.858,0.000,0.000,0.000,19.763,0.000,0.000,99011.858,6.429,-0.259,-9.546,6.429,-0.259,-9.546,1949838578464,1947924783960,1,0.000,0.110,6.429,-0.259,-9.545,209.901,0.000,0.000,1009.881,0.000,0.000,0.000,0.000,0.000,0.000,1009.881,0.000,0.000,0.000,209.901,0.000,0.000,1009.881,1009.881,0.000,0.000,99011.858,0.000,0.000,0.000,1009.881,0.000,0.000,99011.858,0.000,0.000,0.000,1009.881,0.000,0.000,99011.858,11.512,9.237,11.512,6.429,-0.259,-9.546
0.200,1947924784128,2,6.508,-0.435,-9.779,0.665,-1.458,-1.961,171.299,0.000,0.000,1423.710,0.000,0.000,0.000,171.299,0.000,0.000,1423.710,0.000,0.000,0.000,171.299,0.000,0.000,1423.710,1423.710,0.000,0.000,28389.109,0.000,0.000,0.000,1423.710,0.000,0.000,28389.109,0.000,0.000,0.000,1423.710,0.000,0.000,28389.109,6.520,-0.464,-9.817,6.520,-0.464,-9.817,1949838578464,1947924783960,1,0.000,0.210,6.514,-0.449,-9.799,202.612,0.000,0.000,1707.601,0.000,0.000,0.000,0.000,0.000,0.000,1707.601,0.000,0.000,0.000,202.612,0.000,0.000,1707.601,1707.601,0.000,0.000,28389.109,0.000,0.000,0.000,1707.601,0.000,0.000,28389.109,0.000,0.000,0.000,1707.601,0.000,0.000,28389.109,11.794,7.758,11.794,6.520,-0.464,-9.817
0.300,1947924784128,2,5.578,-0.475,-8.503,-5.076,-0.848,6.517,157.444,0.000,0.000,907.006,0.000,0.000,0.000,157.444,0.000,0.000,907.006,0.000,0.000,0.000,157.444,0.000,0.000,907.006,907.006,0.000,0.000,9057.993,0.000,0.000,0.000,907.006,0.000,0.000,9057.993,0.000,0.000,0.000,907.006,0.000,0.000,9057.993,5.308,-0.446,-8.106,5.308,-0.446,-8.106,1949838578464,1947924783960,1,0.000,1.510,-0.564,-1.501,-0.618,15614.206,0.000,0.000,11867.178,0.000,0.000,0.000,0.000,0.000,0.000,11867.178,0.000,0.000,0.000,15614.206,0.000,0.000,11867.178,11867.178,0.000,0.000,9057.993,0.000,0.000,0.000,11867.178,0.000,0.000,9057.993,0.000,0.000,0.000,11867.178,0.000,0.000,9057.993,9.699,6.856,9.699,5.308,-0.446,-8.106
0.400,1947924784128,2,5.061,-0.270,-7.897,-5.114,0.374,6.325,136.450,0.000,0.000,576.020,0.000,0.000,0.000,136.450,0.000,0.000,576.020,0.000,0.000,0.000,136.450,0.000,0.000,576.020,576.020,0.000,0.000,3836.935,0.000,0.000,0.000,576.020,0.000,0.000,3836.935,0.000,0.000,0.000,576.020,0.000,0.000,3836.935,5.057,-0.135,-7.918,5.057,-0.135,-7.918,1949838578464,1947924783960,1,0.000,1.550,-0.821,0.160,-0.623,6535.642,0.000,0.000,4988.495,0.000,0.000,0.000,0.000,0.000,0.000,4988.495,0.000,0.000,0.000,6535.642,0.000,0.000,4988.495,4988.495,0.000,0.000,3836.935,0.000,0.000,0.000,4988.495,0.000,0.000,3836.935,0.000,0.000,0.000,4988.495,0.000,0.000,3836.935,9.396,10.426,9.396,5.057,-0.135,-7.918
0.500,1947924784128,2,5.131,-0.267,-8.253,-3.189,0.260,3.055,118.371,0.000,0.000,391.701,0.000,0.000,0.000,118.371,0.000,0.000,391.701,0.000,0.000,0.000,118.371,0.000,0.000,391.701,391.701,0.000,0.000,1957.332,0.000,0.000,0.000,391.701,0.000,0.000,1957.332,0.000,0.000,0.000,391.701,0.000,0.000,1957.332,5.532,-0.291,-8.934,5.532,-0.291,-8.934,1949838578464,1947924783960,1,0.000,2.630,-1.662,0.286,-1.745,10667.236,0.000,0.000,4560.817,0.000,0.000,0.000,0.000,0.000,0.000,4560.817,0.000,0.000,0.000,10667.236,0.000,0.000,4560.817,4560.817,0.000,0.000,1957.332,0.000,0.000,0.000,4560.817,0.000,0.000,1957.332,0.000,0.000,0.000,4560.817,0.000,0.000,1957.332,10.513,8.409,10.513,5.532,-0.291,-8.934
0.600,1947924784128,2,4.924,-0.279,-8.129,-2.885,0.155,2.562,103.912,0.000,0.000,282.227,0.000,0.000,0.000,103.912,0.000,0.000,282.227,0.000,0.000,0.000,103.912,0.000,0.000,282.227,282.227,0.000,0.000,1128.382,0.000,0.000,0.000,282.227,0.000,0.000,1128.382,0.000,0.000,0.000,282.227,0.000,0.000,1128.382,5.028,-0.315,-8.297,5.028,-0.315,-8.297,1949838578464,1947924783960,1,0.000,2.950,-1.854,0.085,-2.107,7661.870,0.000,0.000,2933.925,0.000,0.000,0.000,0.000,0.000,0.000,2933.925,0.000,0.000,0.000,7661.870,0.000,0.000,2933.925,2933.925,0.000,0.000,1128.382,0.000,0.000,0.000,2933.925,0.000,0.000,1128.382,0.000,0.000,0.000,2933.925,0.000,0.000,1128.382,9.706,7.356,9.706,5.028,-0.315,-8.297
0.700,1947924784128,2,5.369,-0.338,-9.188,-1.197,-0.015,-0.466,92.369,0.000,0.000,212.606,0.000,0.000,0.000,92.369,0.000,0.000,212.606,0.000,0.000,0.000,92.369,0.000,0.000,212.606,212.606,0.000,0.000,708.416,0.000,0.000,0.000,212.606,0.000,0.000,708.416,0.000,0.000,0.000,212.606,0.000,0.000,708.416,6.224,-0.424,-10.722,6.224,-0.424,-10.722,1949838578464,1947924783960,1,0.000,1.990,3.825,-0.357,-9.790,1819.768,0.000,0.000,1126.463,0.000,0.000,0.000,0.000,0.000,0.000,1126.463,0.000,0.000,0.000,1819.768,0.000,0.000,1126.463,1126.463,0.000,0.000,708.416,0.000,0.000,0.000,1126.463,0.000,0.000,708.416,0.000,0.000,0.000,1126.463,0.000,0.000,708.416,12.404,7.566,12.404,6.224,-0.424,-10.722
0.800,1947924784128,2,5.172,-0.357,-9.110,-1.352,-0.049,-0.218,83.032,0.000,0.000,165.771,0.000,0.000,0.000,83.032,0.000,0.000,165.771,0.000,0.000,0.000,83.032,0.000,0.000,165.771,165.771,0.000,0.000,473.479,0.000,0.000,0.000,165.771,0.000,0.000,473.479,0.000,0.000,0.000,165.771,0.000,0.000,473.479,5.062,-0.381,-8.935,5.062,-0.381,-8.935,1949838578464,1947924783960,1,0.000,3.460,1.574,-0.487,-9.689,4315.085,0.000,0.000,1425.226,0.000,0.000,0.000,0.000,0.000,0.000,1425.226,0.000,0.000,0.000,4315.085,0.000,0.000,1425.226,1425.226,0.000,0.000,473.479,0.000,0.000,0.000,1425.226,0.000,0.000,473.479,0.000,0.000,0.000,1425.226,0.000,0.000,473.479,10.276,7.594,10.276,5.062,-0.381,-8.935
0.900,1947924784128,2,4.881,-0.332,-8.817,-1.627,0.003,0.338,75.359,0.000,0.000,132.817,0.000,0.000,0.000,75.359,0.000,0.000,132.817,0.000,0.000,0.000,75.359,0.000,0.000,132.817,132.817,0.000,0.000,331.950,0.000,0.000,0.000,132.817,0.000,0.000,331.950,0.000,0.000,0.000,132.817,0.000,0.000,331.950,4.623,-0.283,-8.296,4.623,-0.283,-8.296,1949838578464,1947924783960,1,0.000,4.850,-1.546,-0.320,-7.484,6303.867,0.000,0.000,1444.021,0.000,0.000,0.000,0.000,0.000,0.000,1444.021,0.000,0.000,0.000,6303.867,0.000,0.000,1444.021,1444.021,0.000,0.000,331.950,0.000,0.000,0.000,1444.021,0.000,0.000,331.950,0.000,0.000,0.000,1444.021,0.000,0.000,331.950,9.501,7.856,9.501,4.623,-0.283,-8.296
