time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,1947932955648,2,1.000,1114.000,1166.000,201.000,359.000,1,1,1,1,0,False
0.000,1947932957104,2,1.000,1072.000,1129.000,200.000,363.000,1,1,1,1,0,False
0.100,1947932954808,2,1.000,1102.000,1159.000,209.000,338.000,1,1,1,1,0,True
0.100,1947932958224,2,1.000,1060.000,1128.000,206.000,364.000,1,1,1,1,0,True
0.200,1947932957608,2,1.000,1093.000,1156.000,209.000,364.000,1,1,1,1,0,True
0.200,1947932958616,2,1.000,1056.000,1122.000,207.000,364.000,1,1,1,1,0,True
0.300,1947932958448,2,1.000,1092.000,1145.000,201.000,382.000,1,1,1,1,0,True
0.300,1947932955312,2,1.000,1043.000,1108.000,204.000,362.000,1,1,1,1,0,True
0.400,1947932957048,2,0.991,1085.000,1131.000,210.000,324.000,1,1,1,1,0,True
0.400,1947932955424,2,1.000,1040.000,1088.000,208.000,340.000,1,1,1,1,0,True
0.500,1947932958000,2,1.000,1067.000,1124.000,207.000,347.000,1,1,1,1,0,True
0.500,1947932955760,2,1.000,1033.000,1080.000,204.000,339.000,1,1,1,1,0,True
0.600,1947932955200,2,1.000,1057.000,1117.000,200.000,361.000,1,1,1,1,0,True
0.600,1947932955368,2,1.000,1017.000,1073.000,202.000,355.000,1,1,1,1,0,True
0.700,1947932955928,2,1.000,1037.000,1104.000,206.000,357.000,1,1,1,1,0,True
0.700,1947932957216,2,1.000,1011.000,1065.000,205.000,336.000,1,1,1,1,0,True
0.800,1947932957888,2,1.000,1030.000,1093.000,208.000,359.000,1,1,1,1,0,True
0.800,1948357463848,2,1.000,989.000,1056.000,203.000,358.000,1,1,1,1,0,True
0.900,1948357461552,2,1.000,1026.000,1085.000,205.000,351.000,1,1,1,1,0,True
0.900,1948357461328,2,0.931,992.000,1035.000,207.000,320.000,1,1,1,1,0,True
1.000,1948357461888,2,1.000,1014.000,1075.000,201.000,357.000,1,1,1,1,0,True
1.000,1948357462112,2,1.000,977.000,1026.000,200.000,358.000,1,1,1,1,0,True
1.100,1948357461944,2,1.000,1005.000,1061.000,200.000,359.000,1,1,1,1,0,True
1.100,1948357461216,2,1.000,964.000,1023.000,199.000,364.000,1,1,1,1,0,True
1.200,1947846090648,2,1.000,992.000,1047.000,201.000,366.000,1,1,1,1,0,True
1.200,1948357460544,2,1.000,952.000,1007.000,199.000,362.000,1,1,1,1,0,True
1.300,1947932957664,2,1.000,980.000,1039.000,204.000,360.000,1,1,1,1,0,True
