time,priority,object,text
0.000,3,1947932955648,Detection created
0.000,2,1947932955704,Pattern created
0.000,3,1947932957104,Detection created
0.000,2,1947932955144,Pattern created
0.000,1,1947932957552,Body created
0.100,3,1947932954808,Detection created
0.100,3,1947932958224,Detection created
0.200,3,1947932957608,Detection created
0.200,3,1947932958616,Detection created
0.300,3,1947932958448,Detection created
0.300,3,1947932955312,Detection created
0.400,3,1947932957048,Detection created
0.400,3,1947932955424,Detection created
0.500,3,1947932958000,Detection created
0.500,3,1947932955760,Detection created
0.600,3,1947932955200,Detection created
0.600,3,1947932955368,Detection created
0.700,3,1947932955928,Detection created
0.700,3,1947932957216,Detection created
0.800,3,1947932957888,Detection created
0.800,3,1948357463848,Detection created
0.900,3,1948357461552,Detection created
0.900,3,1948357461328,Detection created
1.000,3,1948357461888,Detection created
1.000,3,1948357462112,Detection created
1.100,3,1948357461944,Detection created
1.100,3,1948357461216,Detection created
1.200,3,1947846090648,Detection created
1.200,3,1948357460544,Detection created
1.300,3,1947932957664,Detection created
1.300,3,1947932956992,Detection created
1.400,3,1947932955816,Detection created
1.400,3,1948357460936,Detection created
1.500,3,1947932958392,Detection created
1.500,3,1948357463904,Detection created
1.600,3,1948357460600,Detection created
1.700,3,1948357463680,Detection created
1.700,3,1948357460152,Detection created
1.800,3,1948357462392,Detection created
1.800,3,1948357461664,Detection created
1.900,3,1948357461496,Detection created
1.900,3,1948357461440,Detection created
2.000,3,1948357460320,Detection created
2.000,3,1947932861104,Detection created
2.200,3,1947932862168,Detection created
2.300,3,1947932958280,Detection created
2.300,3,1948357462224,Detection created
2.400,3,1948357463232,Detection created
2.400,3,1947932956320,Detection created
2.500,3,1948357460768,Detection created
2.500,3,1947932860488,Detection created
2.600,3,1947932860824,Detection created
2.600,3,1947932863008,Detection created
2.700,3,1947932861720,Detection created
2.700,3,1947932863288,Detection created
2.800,3,1947932863344,Detection created
2.800,3,1947932862840,Detection created
2.900,3,1947932862056,Detection created
2.900,3,1947932862728,Detection created
3.000,3,1947932864128,Detection created
3.000,3,1947932864464,Detection created
3.000,0,1947932957552,Person observed distance 8 meters moving away from us from right to left speed 5 kilometers per hour 
3.100,3,1947932863176,Detection created
3.100,3,1947932860768,Detection created
3.200,3,1947932861216,Detection created
3.200,3,1947932913960,Detection created
3.300,3,1947932863904,Detection created
3.300,3,1948357462000,Detection created
3.400,3,1947932860656,Detection created
3.400,3,1947932862616,Detection created
3.500,3,1947932861552,Detection created
3.500,3,1947932914688,Detection created
3.600,3,1947932862896,Detection created
3.600,3,1947932915640,Detection created
3.700,3,1947932917320,Detection created
3.700,3,1947932917376,Detection created
3.800,3,1947932917600,Detection created
3.800,3,1947932916032,Detection created
3.900,3,1947932915080,Detection created
3.900,3,1947932916872,Detection created
4.000,3,1947932914408,Detection created
4.000,3,1947932914520,Detection created
4.100,3,1947932915136,Detection created
4.100,3,1947932915808,Detection created
4.200,3,1947932915976,Detection created
4.200,3,1947932917712,Detection created
4.300,3,1947932955032,Detection created
4.300,3,1947932863232,Detection created
4.400,3,1947932917488,Detection created
4.400,3,1947932915864,Detection created
4.500,3,1947932913848,Detection created
4.500,3,1947932916648,Detection created
4.600,3,1947932916816,Detection created
4.600,3,1947932768800,Detection created
4.700,3,1947932767456,Detection created
4.700,3,1947932769024,Detection created
4.800,3,1947932766784,Detection created
4.800,3,1947932766504,Detection created
4.900,3,1947932770032,Detection created
4.900,3,1947932768632,Detection created
5.000,3,1947932767288,Detection created
5.000,3,1947932770144,Detection created
5.100,3,1947932769472,Detection created
5.100,3,1947932768912,Detection created
5.200,3,1947932768184,Detection created
5.200,3,1947932766728,Detection created
5.300,3,1948357464016,Detection created
5.300,3,1947932861440,Detection created
5.400,3,1947932766952,Detection created
5.400,3,1947932770088,Detection created
5.500,3,1947932768856,Detection created
5.500,3,1947932769080,Detection created
5.600,3,1947932767232,Detection created
5.600,3,1947932770256,Detection created
5.700,3,1947932768520,Detection created
5.700,3,1947932810152,Detection created
5.800,3,1947932766896,Detection created
5.800,3,1947932808192,Detection created
5.900,3,1947932811160,Detection created
5.900,3,1947932807296,Detection created
6.000,3,1947932811216,Detection created
6.000,3,1947932807632,Detection created
6.100,3,1947932809480,Detection created
6.100,3,1947932809760,Detection created
6.200,3,1947932809704,Detection created
6.200,3,1947932810992,Detection created
6.300,3,1948357462448,Detection created
6.300,3,1947932767568,Detection created
6.400,3,1947932767848,Detection created
6.400,3,1947932810544,Detection created
6.500,3,1947932769920,Detection created
6.500,3,1947932807352,Detection created
6.600,3,1947932808808,Detection created
6.700,3,1947932807464,Detection created
6.700,3,1947932810208,Detection created
6.800,3,1947932807520,Detection created
6.800,3,1947932808136,Detection created
6.900,3,1947932807744,Detection created
6.900,3,1947932457168,Detection created
7.000,3,1947932457000,Detection created
7.000,3,1947932457952,Detection created
7.100,3,1947932458064,Detection created
7.100,3,1947932455824,Detection created
7.200,3,1947932458848,Detection created
7.200,3,1947932458232,Detection created
7.300,3,1947932916088,Detection created
7.300,3,1947932769136,Detection created
7.400,3,1947932810432,Detection created
7.400,3,1947932457616,Detection created
7.500,3,1947932810264,Detection created
7.500,3,1947932808920,Detection created
7.500,3,1947932458512,Detection created
7.600,3,1947932457280,Detection created
7.600,3,1947932456216,Detection created
