time,priority,object,text
0.000,3,1947771163144,Detection created
0.000,2,1949838578464,Pattern created
0.000,3,1947924784856,Detection created
0.000,2,1947924783960,Pattern created
0.000,1,1947924784128,Body created
0.100,3,1947924784912,Detection created
0.100,3,1947924785472,Detection created
0.200,3,1947924783792,Detection created
0.200,3,1947924785976,Detection created
0.300,3,1947924786088,Detection created
0.300,3,1947924783512,Detection created
0.400,3,1947924786928,Detection created
0.400,3,1947924786648,Detection created
0.500,3,1947924784800,Detection created
0.500,3,1947924785752,Detection created
0.600,3,1947924786704,Detection created
0.600,3,1947924783848,Detection created
0.700,3,1947924785864,Detection created
0.700,3,1947924719264,Detection created
0.800,3,1947924785640,Detection created
0.800,3,1947924719488,Detection created
0.900,3,1947924718368,Detection created
0.900,3,1947924717640,Detection created
1.000,3,1947924784968,Detection created
1.000,3,1947924783400,Detection created
1.100,3,1947924785360,Detection created
1.100,3,1947924786200,Detection created
1.200,3,1947924783288,Detection created
1.200,3,1947924721056,Detection created
1.300,3,1947924721168,Detection created
1.300,3,1947924720720,Detection created
1.400,3,1947924719656,Detection created
1.400,3,1947924720944,Detection created
1.500,3,1947924720664,Detection created
1.500,3,1947924721560,Detection created
1.600,3,1947924721336,Detection created
1.700,3,1947924720776,Detection created
1.700,3,1947924720552,Detection created
1.800,3,1947924721616,Detection created
1.800,3,1947924720608,Detection created
1.900,3,1947924719600,Detection created
1.900,3,1947925604224,Detection created
2.000,3,1947924787096,Detection created
2.000,3,1947924720328,Detection created
2.200,3,1947924786872,Detection created
2.300,3,1947924719768,Detection created
2.300,3,1947925604672,Detection created
2.400,3,1947924718760,Detection created
2.400,3,1947925605400,Detection created
2.500,3,1947925604504,Detection created
2.500,3,1947925605624,Detection created
2.600,3,1947925605176,Detection created
2.600,3,1947925606296,Detection created
2.700,3,1947925604952,Detection created
2.700,3,1947925605288,Detection created
2.800,3,1947925605680,Detection created
2.800,3,1947925604784,Detection created
2.900,3,1947925606352,Detection created
2.900,3,1947925604000,Detection created
3.000,3,1947924784240,Detection created
3.000,3,1947925604616,Detection created
3.000,0,1947924784128,Person observed distance 8 meters moving towards us from right to left speed 5 kilometers per hour 
3.100,3,1947924718312,Detection created
3.100,3,1947925603552,Detection created
3.200,3,1947924718480,Detection created
3.200,3,1947925602376,Detection created
3.300,3,1947925602656,Detection created
3.300,3,1947925476576,Detection created
3.400,3,1947925603944,Detection created
3.400,3,1947925476632,Detection created
3.500,3,1947925477920,Detection created
3.500,3,1947925475680,Detection created
3.600,3,1947925475400,Detection created
3.600,3,1947925478368,Detection created
3.700,3,1947925478592,Detection created
3.700,3,1947925476408,Detection created
3.800,3,1947925478704,Detection created
3.800,3,1947925477696,Detection created
3.900,3,1947925477584,Detection created
3.900,3,1947925479320,Detection created
4.000,3,1947924783680,Detection created
4.000,3,1947925602992,Detection created
4.100,3,1947925475624,Detection created
4.100,3,1947925479040,Detection created
4.200,3,1947925605736,Detection created
4.200,3,1947925479208,Detection created
4.300,3,1947925479096,Detection created
4.300,3,1947925477416,Detection created
4.400,3,1947925478088,Detection created
4.400,3,1947925478312,Detection created
4.500,3,1947925476128,Detection created
4.500,3,1947933312392,Detection created
4.600,3,1947933313624,Detection created
4.600,3,1947933313680,Detection created
4.700,3,1947933313904,Detection created
4.700,3,1947933311664,Detection created
4.800,3,1947933311944,Detection created
4.800,3,1947933314856,Detection created
4.900,3,1947933313736,Detection created
4.900,3,1947933315024,Detection created
5.000,3,1947924718872,Detection created
5.000,3,1947925603888,Detection created
5.100,3,1947925478536,Detection created
5.100,3,1947933313792,Detection created
5.200,3,1947925476016,Detection created
5.200,3,1947933313848,Detection created
5.300,3,1947933312896,Detection created
5.300,3,1947933311552,Detection created
5.400,3,1947933314408,Detection created
5.400,3,1947933313008,Detection created
5.500,3,1947933314296,Detection created
5.500,3,1947933314072,Detection created
5.600,3,1947933314968,Detection created
5.600,3,1947933448064,Detection created
5.700,3,1947933313960,Detection created
5.700,3,1947933446720,Detection created
5.800,3,1947933448232,Detection created
5.800,3,1947933448792,Detection created
5.900,3,1947933449352,Detection created
5.900,3,1947933448904,Detection created
6.000,3,1947924787152,Detection created
6.000,3,1947925476800,Detection created
6.100,3,1947933314016,Detection created
6.100,3,1947933314184,Detection created
6.200,3,1947933312448,Detection created
6.200,3,1947933447560,Detection created
6.300,3,1947933449632,Detection created
6.300,3,1947933446552,Detection created
6.400,3,1947933449296,Detection created
6.400,3,1947933449800,Detection created
6.500,3,1947933449184,Detection created
6.500,3,1947933448008,Detection created
6.600,3,1947933449464,Detection created
6.700,3,1947933450192,Detection created
6.700,3,1947933450080,Detection created
6.800,3,1947933448680,Detection created
6.800,3,1947933386008,Detection created
6.900,3,1947933387240,Detection created
6.900,3,1947933387464,Detection created
7.000,3,1947925478648,Detection created
7.000,3,1947933448848,Detection created
7.100,3,1947933313512,Detection created
7.100,3,1947933449016,Detection created
7.200,3,1947933449856,Detection created
7.200,3,1947933385168,Detection created
7.300,3,1947933384776,Detection created
7.300,3,1947933387576,Detection created
7.400,3,1947933386400,Detection created
7.400,3,1947933388248,Detection created
7.500,3,1947933386568,Detection created
7.500,3,1947933386960,Detection created
7.500,3,1947933388360,Detection created
7.600,3,1947933387968,Detection created
7.600,3,1947933388416,Detection created
