time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
0.000,1949838578464,2,1.000,1114.000,1166.000,201.000,359.000,1,1,1,1,0.000,0.000,0.000,0.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,1140.000,280.000,0.000,0.000,400.000,400.000,0,1947924784128,False,1114.000,1166.000,201.000,359.000
0.000,1947924783960,2,1.000,1072.000,1129.000,200.000,363.000,1,1,1,1,0.000,0.000,0.000,0.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,200.000,0.000,0.000,10000.000,1100.500,281.500,0.000,0.000,400.000,400.000,0,1947924784128,False,1072.000,1129.000,200.000,363.000
0.100,1949838578464,2,1.000,1106.799,1161.799,205.801,346.398,1,1,1,1,-23.995,-13.997,15.997,-41.992,120.016,399.920,399.920,8001.400,120.016,399.920,399.920,8001.400,120.016,399.920,399.920,8001.400,120.016,399.920,399.920,8001.400,1134.299,276.099,-18.996,-12.997,240.032,240.032,0,1947924784128,True,1102.000,1159.000,209.000,338.000
0.100,1947924783960,2,1.000,1064.799,1128.400,203.600,363.600,1,1,1,1,-23.995,-2.000,11.998,2.000,120.016,399.920,399.920,8001.400,120.016,399.920,399.920,8001.400,120.016,399.920,399.920,8001.400,120.016,399.920,399.920,8001.400,1096.599,283.600,-12.997,6.999,240.032,240.032,0,1947924784128,True,1060.000,1128.000,206.000,364.000
0.200,1949838578464,2,1.000,1097.749,1157.833,208.334,354.918,1,1,1,1,-52.489,-24.994,19.995,12.500,116.686,499.906,499.906,5002.812,116.686,499.906,499.906,5002.812,116.686,499.906,499.906,5002.812,116.686,499.906,499.906,5002.812,1127.791,281.626,-38.742,16.248,233.373,233.373,0,1947924784128,True,1093.000,1156.000,209.000,364.000
0.200,1947924783960,2,1.000,1058.666,1124.583,206.084,363.917,1,1,1,1,-39.991,-17.497,17.496,2.499,116.686,499.906,499.906,5002.812,116.686,499.906,499.906,5002.812,116.686,499.906,499.906,5002.812,116.686,499.906,499.906,5002.812,1091.624,285.000,-28.744,9.998,233.373,233.373,0,1947924784128,True,1056.000,1122.000,207.000,364.000
0.300,1949838578464,2,1.000,1092.214,1149.427,204.999,370.932,1,1,1,1,-53.560,-47.135,-0.003,67.849,114.309,428.533,428.533,2860.745,114.309,428.533,428.533,2860.745,114.309,428.533,428.533,2860.745,114.309,428.533,428.533,2860.745,1120.821,287.966,-50.347,33.923,228.619,228.619,0,1947924784128,True,1092.000,1145.000,201.000,382.000
0.300,1947924783960,2,1.000,1047.999,1114.355,205.642,362.928,1,1,1,1,-64.989,-49.279,9.283,-2.143,114.309,428.533,428.533,2860.745,114.309,428.533,428.533,2860.745,114.309,428.533,428.533,2860.745,114.309,428.533,428.533,2860.745,1081.177,284.285,-57.134,3.570,228.619,228.619,0,1947924784128,True,1043.000,1108.000,204.000,362.000
0.400,1949838578464,2,0.991,1085.867,1137.398,207.667,349.059,1,1,1,1,-56.657,-69.994,8.334,-21.689,106.700,333.365,333.365,1670.618,106.700,333.365,333.365,1670.618,106.700,333.365,333.365,1670.618,106.700,333.365,333.365,1670.618,1111.632,278.363,-63.325,-6.677,213.400,213.400,0,1947924784128,True,1085.000,1131.000,210.000,324.000
0.400,1947924783960,2,1.000,1040.700,1097.996,207.333,350.596,1,1,1,1,-67.489,-84.995,11.665,-40.003,106.700,333.365,333.365,1670.618,106.700,333.365,333.365,1670.618,106.700,333.365,333.365,1670.618,106.700,333.365,333.365,1670.618,1069.348,278.965,-76.242,-14.169,213.400,213.400,0,1947924784128,True,1040.000,1088.000,208.000,340.000
0.500,1949838578464,2,1.000,1073.767,1127.280,207.769,346.944,1,1,1,1,-73.588,-78.200,6.410,-21.548,97.483,256.512,256.512,1029.791,97.483,256.512,256.512,1029.791,97.483,256.512,256.512,1029.791,97.483,256.512,256.512,1029.791,1100.523,277.356,-75.894,-7.569,194.966,194.966,0,1947924784128,True,1067.000,1124.000,207.000,347.000
0.500,1947924783960,2,1.000,1033.487,1084.868,206.306,342.893,1,1,1,1,-68.708,-97.174,5.894,-49.745,97.483,256.512,256.512,1029.791,97.483,256.512,256.512,1029.791,97.483,256.512,256.512,1029.791,97.483,256.512,256.512,1029.791,1059.178,274.600,-82.941,-21.926,194.966,194.966,0,1947924784128,True,1033.000,1080.000,204.000,339.000
