time,x,y,z,yaw,yaw_estimated
0.000,-0.000,0.000,-0.000,0.000,0.000
0.100,0.322,-0.003,-1.131,0.000,-0.003
0.200,0.612,0.002,-2.163,0.000,-0.005
0.300,0.904,0.006,-3.193,0.000,-0.009
0.400,1.228,0.005,-4.325,0.001,-0.012
0.500,1.521,0.001,-5.352,0.001,-0.015
0.600,1.841,-0.005,-6.481,0.001,-0.018
0.700,2.128,-0.013,-7.511,0.001,0.009
0.800,2.408,-0.022,-8.550,0.001,0.038
0.900,2.713,-0.030,-9.693,0.001,0.065
1.000,3.002,-0.033,-10.724,0.002,0.091
1.100,3.315,-0.029,-11.749,0.002,0.088
1.200,3.645,-0.030,-12.869,0.002,0.085
1.300,3.951,-0.030,-13.885,0.001,0.115
1.400,4.250,-0.029,-14.896,0.002,0.155
1.500,4.576,-0.029,-16.004,0.002,0.200
1.600,4.869,-0.031,-17.006,0.002,0.196
1.700,5.162,-0.034,-18.005,0.002,0.192
1.800,5.483,-0.037,-19.099,0.002,0.187
1.900,5.771,-0.043,-20.090,0.002,0.216
2.000,6.057,-0.049,-21.075,0.002,0.251
2.100,6.367,-0.049,-22.158,0.002,0.295
2.200,6.652,-0.045,-23.141,0.002,0.341
2.300,6.936,-0.048,-24.121,0.002,0.376
2.400,7.247,-0.051,-25.198,0.002,0.410
2.500,7.571,-0.058,-26.176,0.002,0.437
2.600,7.855,-0.048,-27.163,0.003,0.465
2.700,8.170,-0.033,-28.249,0.003,0.492
2.800,8.454,-0.022,-29.238,0.004,0.531
2.900,8.784,-0.004,-30.243,0.004,0.574
3.000,9.092,0.004,-31.344,0.005,0.618
3.100,9.366,0.009,-32.342,0.006,0.651
3.200,9.676,0.007,-33.440,0.007,0.689
3.300,9.989,0.025,-34.454,0.008,0.733
3.400,10.292,0.032,-35.468,0.008,0.775
3.500,10.626,0.040,-36.590,0.008,0.817
3.600,10.929,0.040,-37.608,0.007,0.854
3.700,11.233,0.038,-38.628,0.005,0.848
3.800,11.570,0.028,-39.749,0.003,0.843
3.900,11.873,0.005,-40.763,0.000,0.837
4.000,12.176,-0.015,-41.784,-0.002,0.867
4.100,12.515,-0.025,-42.921,-0.005,0.903
4.200,12.855,-0.049,-43.941,-0.007,0.946
4.300,13.195,-0.066,-44.969,-0.010,0.980
4.400,13.575,-0.073,-46.110,-0.012,1.013
4.500,13.919,-0.079,-47.154,-0.014,1.047
4.600,14.267,-0.083,-48.199,-0.015,1.042
4.700,14.654,-0.078,-49.349,-0.017,1.073
4.800,15.001,-0.066,-50.401,-0.018,1.100
4.900,15.345,-0.054,-51.455,-0.019,1.127
5.000,15.714,-0.050,-52.615,-0.020,1.155
5.100,16.050,-0.039,-53.669,-0.021,1.194
5.200,16.383,-0.027,-54.723,-0.021,1.228
5.300,16.729,-0.015,-55.887,-0.022,1.259
5.400,17.046,-0.004,-56.948,-0.021,1.298
5.500,17.384,0.015,-58.111,-0.021,1.331
5.600,17.702,0.027,-59.168,-0.019,1.372
5.700,18.023,0.045,-60.226,-0.018,1.411
5.800,18.341,0.070,-61.287,-0.016,1.450
5.900,18.703,0.092,-62.451,-0.014,1.500
6.000,19.028,0.115,-63.511,-0.013,1.548
6.100,19.352,0.127,-64.570,-0.011,1.602
6.200,19.697,0.135,-65.746,-0.009,1.647
6.300,20.017,0.142,-66.815,-0.007,1.697
6.400,20.336,0.141,-67.885,-0.006,1.735
6.500,20.685,0.145,-69.066,-0.004,1.730
6.600,21.000,0.150,-70.142,-0.002,1.725
6.700,21.310,0.150,-71.219,-0.000,1.720
6.800,21.646,0.152,-72.399,0.001,1.753
6.900,21.940,0.159,-73.475,0.003,1.780
7.000,22.235,0.160,-74.551,0.004,1.811
