time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.040,1,569.000,811.000,573.000,721.000,573.000,811.000,572.000,721.000,571.919,811.000,572.270,721.000,0.000,0.000,0.000,0.000,43.243,0.000,-10.811,0.000,0.006,0.02,0.00,0.01,0.03,0.19,0.65,0.05,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,1.00
0.040,3,520.000,724.000,379.000,522.000,521.000,730.000,384.000,531.000,520.730,728.378,382.649,528.568,0.000,0.000,0.000,0.000,10.811,64.865,54.054,97.297,0.033,0.02,0.00,0.00,0.01,0.06,0.31,0.11,0.49,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.95
0.040,2,804.000,986.000,298.000,440.000,815.000,994.000,305.000,447.000,812.027,991.838,303.108,445.108,0.000,0.000,0.000,0.000,118.919,86.486,75.676,75.676,0.051,0.16,0.03,0.01,0.00,0.08,0.37,0.18,0.17,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.95
0.080,1,573.649,811.000,571.838,721.000,573.000,823.000,578.000,722.000,573.660,819.669,576.170,721.722,43.243,0.000,0.000,0.000,21.117,111.636,50.539,9.303,0.025,0.03,0.01,0.01,0.03,0.20,0.67,0.03,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,1.00
0.080,3,521.162,730.973,384.811,532.459,523.000,729.000,384.000,531.000,522.610,730.268,384.825,532.485,10.811,64.865,64.865,97.297,23.885,22.373,26.396,47.514,0.008,0.02,0.00,0.01,0.01,0.07,0.29,0.09,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.98
0.120,1,574.505,824.135,578.191,722.095,570.000,826.000,589.000,721.000,571.797,826.874,586.047,721.493,21.117,111.636,111.636,9.303,-14.007,94.564,108.234,-0.327,0.027,0.02,0.00,0.01,0.03,0.21,0.69,0.02,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.99
0.120,3,523.565,731.163,385.881,534.386,524.000,735.000,387.000,537.000,524.175,734.011,386.979,536.760,23.885,22.373,22.373,47.514,20.466,41.692,26.811,52.199,0.011,0.01,0.00,0.00,0.02,0.07,0.31,0.11,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.99
0.120,2,821.541,998.757,309.162,451.162,823.000,1003.000,314.000,461.000,823.452,1002.893,313.752,460.066,118.919,86.486,86.486,75.676,93.496,92.530,89.637,128.188,0.034,0.16,0.02,0.00,0.00,0.09,0.35,0.20,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.97
0.160,3,524.994,735.679,388.051,538.848,535.000,733.000,392.000,545.000,531.316,734.743,390.847,543.370,20.466,41.692,41.692,52.199,63.485,21.340,40.278,71.227,0.032,0.02,0.00,0.01,0.02,0.08,0.26,0.11,0.51,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.160,1,571.237,830.656,590.377,721.480,564.000,833.000,601.000,724.000,566.678,833.577,598.476,722.984,-14.007,94.564,94.564,-0.327,-45.269,87.827,137.703,11.535,0.034,0.01,0.00,0.01,0.03,0.21,0.72,0.01,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.99
0.160,2,827.192,1006.594,317.337,465.194,831.000,1008.000,320.000,465.000,830.976,1008.821,320.330,466.904,93.496,92.530,92.530,128.188,93.815,81.786,85.318,103.276,0.012,0.19,0.03,0.00,0.00,0.10,0.32,0.16,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.98
0.160,4,597.000,754.000,204.000,307.000,435.000,607.000,290.000,406.000,453.837,624.093,280.000,394.489,0.000,0.000,0.000,0.000,-1507.024,-1367.485,800.025,920.959,0.941,0.03,0.00,0.00,0.00,0.08,0.59,0.17,0.12,0.11,0.04,0.01,0.01,0.07,0.19,0.12,0.45,0.84
0.200,3,533.855,735.597,392.458,546.219,536.000,735.000,397.000,551.000,536.180,735.662,395.662,550.118,63.485,21.340,21.340,71.227,62.115,16.302,50.460,77.936,0.019,0.02,0.00,0.00,0.02,0.07,0.26,0.11,0.52,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.200,2,834.728,1012.093,323.743,471.035,835.000,1015.000,320.000,458.000,836.558,1015.163,323.203,465.685,93.815,81.786,81.786,103.276,81.959,80.546,60.944,44.803,0.033,0.19,0.02,0.00,0.00,0.09,0.34,0.16,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.98
0.200,1,564.867,837.090,603.984,723.445,561.000,837.000,609.000,724.000,561.939,838.645,609.225,723.957,-45.269,87.827,87.827,11.535,-52.411,75.311,135.993,11.858,0.015,0.01,0.00,0.01,0.03,0.22,0.72,0.00,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.98
0.200,4,393.556,569.393,312.001,431.327,434.000,607.000,297.000,407.000,401.896,577.579,311.981,426.495,-1507.024,-1367.485,-1367.485,920.959,-879.687,-792.583,507.285,540.009,0.193,0.02,0.00,0.00,0.00,0.06,0.61,0.21,0.10,0.11,0.04,0.01,0.01,0.07,0.19,0.12,0.45,0.81
0.240,3,538.665,736.314,397.680,553.236,537.000,739.000,401.000,559.000,539.078,737.981,400.348,557.674,62.115,16.302,16.302,77.936,51.001,21.750,53.946,85.026,0.020,0.02,0.01,0.00,0.02,0.07,0.27,0.11,0.51,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.240,2,839.837,1018.385,325.641,467.477,833.000,1021.000,321.000,465.000,838.056,1021.303,324.538,467.134,81.959,80.546,80.546,44.803,55.158,78.938,42.188,33.492,0.026,0.19,0.03,0.00,0.00,0.08,0.36,0.15,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,1.00
