time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.033,1,620.000,793.000,27.000,327.000,621.000,793.000,28.000,332.000,620.689,793.000,27.689,330.444,0.000,0.000,0.000,0.000,10.384,0.000,10.384,51.919,0.006,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.80
0.067,1,621.035,793.000,28.035,332.176,623.000,793.000,34.000,329.000,622.496,793.000,32.249,330.529,10.384,0.000,0.000,51.919,26.616,0.000,66.739,2.681,0.010,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.82
0.100,1,623.384,793.000,34.476,330.619,627.000,795.000,27.000,332.000,626.035,794.292,30.433,331.543,26.616,0.000,0.000,2.681,46.954,14.910,-5.598,12.310,0.016,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.82
0.133,1,627.601,794.790,30.247,331.954,622.000,799.000,28.000,328.000,624.941,797.477,28.845,329.791,46.954,14.910,14.910,12.310,7.968,35.103,-16.801,-11.427,0.020,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.77
0.167,1,625.207,798.648,28.285,329.409,624.000,800.000,30.000,326.000,624.680,799.917,28.949,327.398,7.968,35.103,35.103,-11.427,1.959,35.840,-7.515,-23.782,0.008,0.04,0.00,0.00,0.00,0.49,0.47,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.77
0.200,1,624.745,801.112,28.698,326.605,627.000,797.000,29.000,332.000,625.896,799.676,28.722,328.880,1.959,35.840,35.840,-23.782,8.887,19.042,-5.768,-4.196,0.014,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.78
0.234,1,626.193,800.311,28.529,328.740,625.000,795.000,27.000,323.000,625.801,798.200,27.719,326.013,8.887,19.042,19.042,-4.196,5.117,3.993,-9.151,-18.370,0.015,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.84
0.267,1,625.972,798.333,27.414,325.400,622.000,797.000,26.000,334.000,624.342,797.829,26.627,328.792,5.117,3.993,3.993,-18.370,-3.492,0.946,-11.454,0.773,0.016,0.04,0.00,0.00,0.00,0.50,0.47,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.89
0.300,1,624.225,797.860,26.244,328.818,624.000,796.000,26.000,326.000,624.064,797.111,25.919,327.670,-3.492,0.946,0.946,0.773,-3.682,-2.354,-11.214,-4.189,0.006,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.85
0.334,1,623.941,797.032,25.545,327.530,625.000,801.000,28.000,332.000,624.285,798.553,26.289,329.212,-3.682,-2.354,-2.354,-4.189,-1.917,3.687,-6.990,2.694,0.013,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.83
