time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.033,1,452.000,834.000,70.000,650.000,452.000,834.000,70.000,650.000,452.000,834.000,70.000,650.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,0.97
0.067,1,452.000,834.000,70.000,650.000,451.000,837.000,68.000,654.000,451.312,836.065,68.623,652.754,0.000,0.000,0.000,0.000,-10.031,30.092,-20.061,40.123,0.005,0.26,0.43,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.100,1,450.977,837.069,67.954,654.092,453.000,834.000,64.000,654.000,452.166,835.441,65.162,654.506,-10.031,30.092,30.092,40.123,7.547,-0.275,-44.547,29.453,0.005,0.26,0.43,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.133,1,452.418,835.432,63.676,655.489,453.000,826.000,66.000,654.000,452.864,829.866,64.436,655.014,7.547,-0.275,-0.275,29.453,9.345,-51.525,-23.822,16.009,0.008,0.25,0.43,0.06,0.00,0.01,0.04,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.167,1,453.176,828.147,63.642,655.548,453.000,830.000,65.000,655.000,453.225,828.351,64.006,655.500,9.345,-51.525,-51.525,16.009,7.354,-36.951,-15.037,11.592,0.002,0.26,0.43,0.06,0.00,0.01,0.04,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.200,1,453.471,827.118,63.504,655.887,452.000,829.000,71.000,653.000,452.865,827.430,66.969,654.650,7.354,-36.951,-36.951,11.592,1.924,-27.094,10.272,1.233,0.007,0.25,0.43,0.06,0.00,0.01,0.04,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.234,1,452.929,826.526,67.312,654.691,452.000,824.000,69.000,656.000,452.534,824.873,68.276,655.318,1.924,-27.094,-27.094,1.233,-0.590,-31.198,13.678,4.442,0.004,0.26,0.43,0.06,0.00,0.01,0.04,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.267,1,452.515,823.832,68.732,655.466,453.000,818.000,67.000,657.000,452.715,820.708,68.237,656.217,-0.590,-31.198,-31.198,4.442,0.459,-41.153,9.130,7.321,0.006,0.27,0.43,0.06,0.01,0.01,0.04,0.05,0.14,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.300,1,452.730,819.335,68.542,656.461,454.000,818.000,73.000,657.000,453.263,817.978,70.561,656.827,0.459,-41.153,-41.153,7.321,2.648,-41.086,16.376,7.835,0.004,0.27,0.43,0.06,0.01,0.01,0.05,0.04,0.14,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.334,1,453.352,816.607,71.108,657.088,455.000,815.000,72.000,657.000,454.057,815.143,71.791,657.212,2.648,-41.086,-41.086,7.835,4.977,-41.438,16.892,7.313,0.003,0.26,0.43,0.06,0.00,0.01,0.05,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.367,1,454.223,813.760,72.355,657.456,457.000,811.000,75.000,660.000,455.383,811.853,73.711,658.576,4.977,-41.438,-41.438,7.313,8.368,-43.227,19.596,10.301,0.006,0.26,0.42,0.06,0.00,0.01,0.05,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,0.99
0.400,1,455.662,810.410,74.365,658.919,452.000,811.000,69.000,656.000,454.487,809.718,72.798,658.059,8.368,-43.227,-43.227,10.301,3.853,-40.899,12.701,6.563,0.007,0.26,0.43,0.06,0.00,0.01,0.05,0.04,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.434,1,454.616,808.353,73.222,658.278,453.000,808.000,67.000,657.000,454.118,807.352,71.259,657.959,3.853,-40.899,-40.899,6.563,2.069,-39.865,5.903,5.031,0.005,0.26,0.42,0.06,0.00,0.01,0.05,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.467,1,454.187,806.022,71.456,658.127,456.000,800.000,77.000,656.000,454.868,803.045,73.529,657.490,2.069,-39.865,-39.865,5.031,3.679,-44.196,10.840,2.912,0.009,0.26,0.41,0.05,0.00,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.500,1,454.991,801.570,73.891,657.587,451.000,807.000,70.000,655.000,453.698,802.471,72.790,656.760,3.679,-44.196,-44.196,2.912,0.219,-38.389,7.263,0.655,0.010,0.26,0.43,0.06,0.00,0.01,0.05,0.04,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.534,1,453.705,801.190,73.032,656.782,452.000,806.000,71.000,654.000,453.133,801.969,72.505,655.856,0.219,-38.389,-38.389,0.655,-1.104,-33.683,5.506,-1.512,0.007,0.26,0.42,0.06,0.01,0.01,0.05,0.04,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.567,1,453.097,800.846,72.689,655.805,454.000,801.000,72.000,655.000,453.373,800.148,72.582,655.503,-1.104,-33.683,-33.683,-1.512,-0.432,-32.769,4.882,-2.051,0.001,0.26,0.42,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.601,1,453.359,799.054,72.745,655.435,455.000,799.000,69.000,653.000,453.889,798.303,71.622,654.588,-0.432,-32.769,-32.769,-2.051,0.671,-32.077,2.280,-3.627,0.004,0.27,0.42,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.634,1,453.911,797.232,71.698,654.467,455.000,795.000,66.000,651.000,454.280,795.784,69.896,653.258,0.671,-32.077,-32.077,-3.627,1.336,-32.802,-1.322,-5.715,0.006,0.27,0.41,0.05,0.01,0.01,0.05,0.05,0.15,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,0.99
0.667,1,454.325,794.690,69.852,653.067,456.000,787.000,64.000,649.000,454.895,791.471,67.938,651.628,1.336,-32.802,-32.802,-5.715,2.294,-36.677,-4.735,-7.992,0.011,0.27,0.40,0.05,0.01,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.701,1,454.971,790.248,67.780,651.361,453.000,785.000,69.000,651.000,454.394,787.739,68.062,651.064,2.294,-36.677,-36.677,-7.992,1.155,-38.914,-3.969,-8.045,0.006,0.27,0.40,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.734,1,454.433,786.441,67.929,650.796,452.000,785.000,65.000,649.000,453.688,785.097,66.911,650.044,1.155,-38.914,-38.914,-8.045,-0.150,-38.990,-5.446,-8.852,0.005,0.26,0.39,0.05,0.01,0.01,0.05,0.05,0.17,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
0.767,1,453.683,783.796,66.729,649.748,453.000,781.000,65.000,648.000,453.465,782.025,66.061,648.996,-0.150,-38.990,-38.990,-8.852,-0.492,-39.743,-6.226,-9.585,0.004,0.27,0.39,0.05,0.01,0.01,0.05,0.05,0.16,0.27,0.42,0.06,0.00,0.01,0.04,0.04,0.15,1.00
