time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.040,1,569.000,811.000,573.000,721.000,573.000,811.000,572.000,721.000,573.000,811.000,572.000,721.000,0.006,0.02,0.00,0.01,0.03,0.19,0.65,0.05,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.040,3,520.000,724.000,379.000,522.000,521.000,730.000,384.000,531.000,521.000,730.000,384.000,531.000,0.033,0.02,0.00,0.00,0.01,0.06,0.31,0.11,0.49,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.040,2,804.000,986.000,298.000,440.000,815.000,994.000,305.000,447.000,815.000,994.000,305.000,447.000,0.051,0.16,0.03,0.01,0.00,0.08,0.37,0.18,0.17,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.040,4,593.000,741.000,205.000,304.000,595.000,743.000,204.000,306.000,595.000,743.000,204.000,306.000,0.014,0.08,0.02,0.00,0.00,0.06,0.21,0.15,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.040,5,415.000,585.000,267.000,382.000,417.000,589.000,276.000,385.000,417.000,589.000,276.000,385.000,0.035,0.01,0.00,0.00,0.00,0.08,0.59,0.23,0.09,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.040,6,311.000,429.000,200.000,286.000,310.000,429.000,205.000,283.000,310.000,429.000,205.000,283.000,0.025,0.05,0.00,0.00,0.00,0.15,0.58,0.16,0.05,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.080,1,573.000,811.000,572.000,721.000,573.000,823.000,578.000,722.000,573.000,823.000,578.000,722.000,0.024,0.03,0.01,0.01,0.03,0.20,0.67,0.03,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.080,3,521.000,730.000,384.000,531.000,523.000,729.000,384.000,531.000,523.000,729.000,384.000,531.000,0.004,0.02,0.00,0.01,0.01,0.07,0.29,0.09,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.080,4,595.000,743.000,204.000,306.000,597.000,754.000,204.000,307.000,597.000,754.000,204.000,307.000,0.024,0.11,0.04,0.01,0.01,0.07,0.19,0.12,0.45,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.080,2,815.000,994.000,305.000,447.000,819.000,997.000,308.000,448.000,819.000,997.000,308.000,448.000,0.017,0.18,0.02,0.00,0.01,0.11,0.35,0.15,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.080,5,417.000,589.000,276.000,385.000,416.000,595.000,272.000,382.000,416.000,595.000,272.000,382.000,0.026,0.02,0.00,0.00,0.00,0.09,0.60,0.19,0.11,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.080,6,310.000,429.000,205.000,283.000,316.000,427.000,203.000,282.000,316.000,427.000,203.000,282.000,0.026,0.06,0.00,0.00,0.01,0.18,0.54,0.15,0.06,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.120,1,573.000,823.000,578.000,722.000,570.000,826.000,589.000,721.000,570.000,826.000,589.000,721.000,0.027,0.02,0.00,0.01,0.03,0.21,0.69,0.02,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.120,3,523.000,729.000,384.000,531.000,524.000,735.000,387.000,537.000,524.000,735.000,387.000,537.000,0.024,0.01,0.00,0.00,0.02,0.07,0.31,0.11,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.120,2,819.000,997.000,308.000,448.000,823.000,1003.000,314.000,461.000,823.000,1003.000,314.000,461.000,0.048,0.16,0.02,0.00,0.00,0.09,0.35,0.20,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.120,5,416.000,595.000,272.000,382.000,422.000,603.000,281.000,383.000,422.000,603.000,281.000,383.000,0.042,0.01,0.00,0.00,0.00,0.07,0.64,0.20,0.08,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.120,4,597.000,754.000,204.000,307.000,605.000,751.000,211.000,306.000,605.000,751.000,211.000,306.000,0.037,0.08,0.04,0.01,0.00,0.08,0.16,0.12,0.51,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.120,6,316.000,427.000,203.000,282.000,313.000,434.000,197.000,281.000,313.000,434.000,197.000,281.000,0.045,0.06,0.00,0.00,0.01,0.18,0.54,0.14,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
0.120,7,204.000,301.000,180.000,239.000,207.000,302.000,178.000,240.000,207.000,302.000,178.000,240.000,0.023,0.19,0.11,0.02,0.00,0.21,0.25,0.10,0.13,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14
0.160,3,524.000,735.000,387.000,537.000,535.000,733.000,392.000,545.000,535.000,733.000,392.000,545.000,0.037,0.02,0.00,0.01,0.02,0.08,0.26,0.11,0.51,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50
0.160,1,570.000,826.000,589.000,721.000,564.000,833.000,601.000,724.000,564.000,833.000,601.000,724.000,0.041,0.01,0.00,0.01,0.03,0.21,0.72,0.01,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04
0.160,2,823.000,1003.000,314.000,461.000,831.000,1008.000,320.000,465.000,831.000,1008.000,320.000,465.000,0.035,0.19,0.03,0.00,0.00,0.10,0.32,0.16,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19
0.160,5,422.000,603.000,281.000,383.000,435.000,607.000,290.000,406.000,435.000,607.000,290.000,406.000,0.102,0.03,0.00,0.00,0.00,0.08,0.59,0.17,0.12,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11
0.160,4,605.000,751.000,211.000,306.000,604.000,756.000,206.000,305.000,604.000,756.000,206.000,305.000,0.026,0.10,0.04,0.01,0.00,0.08,0.15,0.12,0.49,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47
0.160,8,427.000,591.000,255.000,335.000,432.000,589.000,253.000,333.000,432.000,589.000,253.000,333.000,0.023,0.01,0.00,0.01,0.00,0.19,0.74,0.04,0.00,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01
0.160,6,313.000,434.000,197.000,281.000,309.000,437.000,197.000,283.000,309.000,437.000,197.000,283.000,0.020,0.07,0.00,0.00,0.01,0.18,0.53,0.13,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06
