time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.033,1,620.000,793.000,27.000,327.000,621.000,793.000,28.000,332.000,621.000,793.000,28.000,332.000,0.006,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.067,1,621.000,793.000,28.000,332.000,623.000,793.000,34.000,329.000,623.000,793.000,34.000,329.000,0.010,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.100,1,623.000,793.000,34.000,329.000,627.000,795.000,27.000,332.000,627.000,795.000,27.000,332.000,0.017,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.133,1,627.000,795.000,27.000,332.000,622.000,799.000,28.000,328.000,622.000,799.000,28.000,328.000,0.017,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.167,1,622.000,799.000,28.000,328.000,624.000,800.000,30.000,326.000,624.000,800.000,30.000,326.000,0.008,0.04,0.00,0.00,0.00,0.49,0.47,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.200,1,624.000,800.000,30.000,326.000,627.000,797.000,29.000,332.000,627.000,797.000,29.000,332.000,0.014,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.234,1,627.000,797.000,29.000,332.000,625.000,795.000,27.000,323.000,625.000,795.000,27.000,323.000,0.015,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.267,1,625.000,795.000,27.000,323.000,622.000,797.000,26.000,334.000,622.000,797.000,26.000,334.000,0.017,0.04,0.00,0.00,0.00,0.50,0.47,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.300,1,622.000,797.000,26.000,334.000,624.000,796.000,26.000,326.000,624.000,796.000,26.000,326.000,0.011,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.334,1,624.000,796.000,26.000,326.000,625.000,801.000,28.000,332.000,625.000,801.000,28.000,332.000,0.015,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.367,1,625.000,801.000,28.000,332.000,626.000,799.000,27.000,329.000,626.000,799.000,27.000,329.000,0.008,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.400,1,626.000,799.000,27.000,329.000,629.000,799.000,29.000,332.000,629.000,799.000,29.000,332.000,0.008,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.434,1,629.000,799.000,29.000,332.000,631.000,797.000,31.000,330.000,631.000,797.000,31.000,330.000,0.009,0.04,0.00,0.00,0.00,0.47,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.467,1,631.000,797.000,31.000,330.000,629.000,799.000,31.000,320.000,629.000,799.000,31.000,320.000,0.014,0.04,0.00,0.00,0.00,0.50,0.46,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
0.500,1,629.000,799.000,31.000,320.000,631.000,799.000,25.000,326.000,631.000,799.000,25.000,326.000,0.013,0.04,0.00,0.00,0.00,0.48,0.48,0.00,0.00,0.04,0.00,0.00,0.00,0.51,0.45,0.00,0.00
