time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.040,1,569.000,811.000,573.000,721.000,573.000,811.000,572.000,721.000,571.919,811.000,572.270,721.000,0.000,0.000,0.000,0.000,43.243,0.000,-10.811,0.000,0.006,0.02,0.00,0.01,0.03,0.19,0.65,0.05,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,1.00
0.040,3,520.000,724.000,379.000,522.000,521.000,730.000,384.000,531.000,520.730,728.378,382.649,528.568,0.000,0.000,0.000,0.000,10.811,64.865,54.054,97.297,0.033,0.02,0.00,0.00,0.01,0.06,0.31,0.11,0.49,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.95
0.040,2,804.000,986.000,298.000,440.000,815.000,994.000,305.000,447.000,812.027,991.838,303.108,445.108,0.000,0.000,0.000,0.000,118.919,86.486,75.676,75.676,0.051,0.16,0.03,0.01,0.00,0.08,0.37,0.18,0.17,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.95
0.040,4,593.000,741.000,205.000,304.000,595.000,743.000,204.000,306.000,594.459,742.459,204.270,305.459,0.000,0.000,0.000,0.000,21.622,21.622,-10.811,21.622,0.014,0.08,0.02,0.00,0.00,0.06,0.21,0.15,0.47,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.77
0.040,5,415.000,585.000,267.000,382.000,417.000,589.000,276.000,385.000,416.459,587.919,273.568,384.189,0.000,0.000,0.000,0.000,21.622,43.243,97.297,32.432,0.035,0.01,0.00,0.00,0.00,0.08,0.59,0.23,0.09,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.66
0.040,6,311.000,429.000,200.000,286.000,310.000,429.000,205.000,283.000,310.270,429.000,203.649,283.811,0.000,0.000,0.000,0.000,-10.811,0.000,54.054,-32.432,0.025,0.05,0.00,0.00,0.00,0.15,0.58,0.16,0.05,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.37
0.080,1,573.649,811.000,571.838,721.000,573.000,823.000,578.000,722.000,573.660,819.669,576.170,721.722,43.243,0.000,0.000,0.000,21.117,111.636,50.539,9.303,0.025,0.03,0.01,0.01,0.03,0.20,0.67,0.03,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,1.00
0.080,3,521.162,730.973,384.811,532.459,523.000,729.000,384.000,531.000,522.610,730.268,384.825,532.485,10.811,64.865,64.865,97.297,23.885,22.373,26.396,47.514,0.008,0.02,0.00,0.01,0.01,0.07,0.29,0.09,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.98
0.080,4,595.324,743.324,203.838,306.324,597.000,754.000,204.000,307.000,596.775,751.277,203.835,307.053,21.622,21.622,21.622,21.622,29.165,112.892,-5.279,19.862,0.023,0.11,0.04,0.01,0.01,0.07,0.19,0.12,0.45,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.84
0.080,2,816.784,995.297,306.135,448.135,819.000,997.000,308.000,448.000,819.705,997.488,308.323,448.878,118.919,86.486,86.486,75.676,95.284,70.143,64.864,46.258,0.009,0.18,0.02,0.00,0.01,0.11,0.35,0.15,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.78
0.080,5,417.324,589.649,277.459,385.486,416.000,595.000,272.000,382.000,416.608,593.995,274.596,383.328,21.622,43.243,43.243,32.432,1.256,76.935,10.301,-12.071,0.030,0.02,0.00,0.00,0.00,0.09,0.60,0.19,0.11,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.75
0.080,6,309.838,429.000,205.811,282.514,316.000,427.000,203.000,282.000,314.170,427.555,204.380,281.782,-10.811,0.000,0.000,-32.432,50.539,-18.606,7.790,-25.141,0.028,0.06,0.00,0.00,0.01,0.18,0.54,0.15,0.06,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.35
0.120,1,574.505,824.135,578.191,722.095,570.000,826.000,589.000,721.000,571.797,826.874,586.047,721.493,21.117,111.636,111.636,9.303,-14.007,94.564,108.234,-0.327,0.027,0.02,0.00,0.01,0.03,0.21,0.69,0.02,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.99
0.120,3,523.565,731.163,385.881,534.386,524.000,735.000,387.000,537.000,524.175,734.011,386.979,536.760,23.885,22.373,22.373,47.514,20.466,41.692,26.811,52.199,0.011,0.01,0.00,0.00,0.02,0.07,0.31,0.11,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.99
0.120,2,823.517,1000.293,310.917,450.728,823.000,1003.000,314.000,461.000,824.454,1003.033,313.836,458.170,95.284,70.143,70.143,46.258,66.868,69.493,68.070,101.553,0.028,0.16,0.02,0.00,0.00,0.09,0.35,0.20,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.97
0.120,5,416.658,597.072,275.008,382.845,422.000,603.000,281.000,383.000,420.222,602.042,279.125,382.786,1.256,76.935,76.935,-12.071,36.001,95.650,46.941,-7.883,0.030,0.01,0.00,0.00,0.00,0.07,0.64,0.20,0.08,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.80
0.120,4,597.942,755.793,203.624,307.847,605.000,751.000,211.000,306.000,603.020,754.128,208.451,306.888,29.165,112.892,112.892,19.862,67.849,51.776,44.538,2.518,0.041,0.08,0.04,0.01,0.00,0.08,0.16,0.12,0.51,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.62
0.120,6,316.191,426.811,204.692,280.777,313.000,434.000,197.000,281.000,314.751,431.334,199.689,280.587,50.539,-18.606,-18.606,-25.141,16.313,33.483,-44.759,-17.073,0.049,0.06,0.00,0.00,0.01,0.18,0.54,0.14,0.07,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.49
0.120,7,204.000,301.000,180.000,239.000,207.000,302.000,178.000,240.000,206.189,301.730,178.541,239.730,0.000,0.000,0.000,0.000,32.432,10.811,-21.622,10.811,0.023,0.19,0.11,0.02,0.00,0.21,0.25,0.10,0.13,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.39
