time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
0.033,1,310.000,640.000,77.000,600.000,310.000,641.000,77.000,600.000,310.000,641.000,77.000,600.000,0.001,0.29,0.60,0.00,0.00,0.04,0.05,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.067,1,310.000,641.000,77.000,600.000,310.000,640.000,78.000,605.000,310.000,640.000,78.000,605.000,0.004,0.31,0.59,0.00,0.00,0.04,0.05,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.100,1,310.000,640.000,78.000,605.000,304.000,637.000,77.000,596.000,304.000,637.000,77.000,596.000,0.012,0.29,0.60,0.00,0.00,0.04,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.133,1,304.000,637.000,77.000,596.000,311.000,617.000,92.000,595.000,311.000,617.000,92.000,595.000,0.028,0.31,0.60,0.00,0.00,0.03,0.05,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.167,1,311.000,617.000,92.000,595.000,320.000,629.000,74.000,631.000,320.000,629.000,74.000,631.000,0.044,0.31,0.60,0.00,0.00,0.02,0.05,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.200,1,320.000,629.000,74.000,631.000,324.000,627.000,64.000,651.000,324.000,627.000,64.000,651.000,0.018,0.32,0.60,0.00,0.00,0.02,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.234,1,324.000,627.000,64.000,651.000,326.000,625.000,63.000,671.000,326.000,625.000,63.000,671.000,0.012,0.31,0.61,0.00,0.00,0.02,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.267,1,326.000,625.000,63.000,671.000,338.000,622.000,69.000,690.000,338.000,622.000,69.000,690.000,0.023,0.32,0.60,0.00,0.00,0.02,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.300,1,338.000,622.000,69.000,690.000,332.000,621.000,57.000,676.000,332.000,621.000,57.000,676.000,0.017,0.30,0.62,0.00,0.00,0.03,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.334,1,332.000,621.000,57.000,676.000,333.000,625.000,59.000,675.000,333.000,625.000,59.000,675.000,0.006,0.31,0.61,0.00,0.00,0.02,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.367,1,333.000,625.000,59.000,675.000,339.000,627.000,68.000,702.000,339.000,627.000,68.000,702.000,0.021,0.32,0.60,0.00,0.00,0.02,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.400,1,339.000,627.000,68.000,702.000,331.000,618.000,63.000,682.000,331.000,618.000,63.000,682.000,0.025,0.31,0.61,0.00,0.00,0.03,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.400,2,372.000,1110.000,61.000,709.000,378.000,1093.000,62.000,708.000,378.000,1093.000,62.000,708.000,0.009,0.21,0.76,0.00,0.00,0.01,0.02,0.00,0.00,0.22,0.75,0.00,0.00,0.01,0.02,0.00,0.00
0.434,1,331.000,618.000,63.000,682.000,341.000,625.000,67.000,699.000,341.000,625.000,67.000,699.000,0.023,0.32,0.60,0.00,0.00,0.03,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.467,1,341.000,625.000,67.000,699.000,333.000,624.000,69.000,693.000,333.000,624.000,69.000,693.000,0.011,0.30,0.60,0.00,0.00,0.05,0.04,0.01,0.01,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.500,1,333.000,624.000,69.000,693.000,351.000,615.000,59.000,621.000,351.000,615.000,59.000,621.000,0.056,0.29,0.58,0.00,0.00,0.06,0.06,0.00,0.00,0.30,0.60,0.00,0.00,0.04,0.05,0.01,0.01
0.534,3,356.000,1068.000,52.000,713.000,357.000,1042.000,48.000,709.000,357.000,1042.000,48.000,709.000,0.013,0.21,0.75,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.567,3,357.000,1042.000,48.000,709.000,340.000,1104.000,46.000,710.000,340.000,1104.000,46.000,710.000,0.030,0.21,0.75,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.601,3,340.000,1104.000,46.000,710.000,350.000,1115.000,52.000,711.000,350.000,1115.000,52.000,711.000,0.010,0.21,0.75,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.634,3,350.000,1115.000,52.000,711.000,350.000,949.000,46.000,712.000,350.000,949.000,46.000,712.000,0.057,0.22,0.73,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.667,3,350.000,949.000,46.000,712.000,341.000,1054.000,44.000,711.000,341.000,1054.000,44.000,711.000,0.049,0.21,0.75,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.701,3,341.000,1054.000,44.000,711.000,350.000,936.000,42.000,705.000,350.000,936.000,42.000,705.000,0.048,0.23,0.72,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.734,3,350.000,936.000,42.000,705.000,347.000,951.000,42.000,707.000,347.000,951.000,42.000,707.000,0.008,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
0.767,3,347.000,951.000,42.000,707.000,340.000,1023.000,42.000,711.000,340.000,1023.000,42.000,711.000,0.034,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
