time,id,class_id,x,y,z,vx,vy,vz,sigma_00,sigma_01,sigma_02,sigma_03,sigma_04,sigma_05,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_50,sigma_51,sigma_52,sigma_53,sigma_54,sigma_55,x_pattern,y_pattern,z_pattern,pattern_left,status,collision_p,c_time,c_x,c_y,c_z,c_sigma_00,c_sigma_01,c_sigma_02,c_sigma_03,c_sigma_04,c_sigma_05,c_sigma_10,c_sigma_11,c_sigma_12,c_sigma_13,c_sigma_14,c_sigma_15,c_sigma_20,c_sigma_21,c_sigma_22,c_sigma_23,c_sigma_24,c_sigma_25,c_sigma_30,c_sigma_31,c_sigma_32,c_sigma_33,c_sigma_34,c_sigma_35,c_sigma_40,c_sigma_41,c_sigma_42,c_sigma_43,c_sigma_44,c_sigma_45,c_sigma_50,c_sigma_51,c_sigma_52,c_sigma_53,c_sigma_54,c_sigma_55,distance_stereo,distance_size,distance,x_projected,y_projected,z_projected
0.000,2042172813208,1,4.064,-0.891,-6.681,0.000,0.000,0.000,7.639,0.000,0.000,6.944,0.000,0.000,0.000,8.108,0.000,0.000,6.757,0.000,0.000,0.000,7.639,0.000,0.000,6.944,6.944,0.000,0.000,97.322,0.000,0.000,0.000,6.757,0.000,0.000,97.297,0.000,0.000,0.000,6.944,0.000,0.000,98.222,4.064,-0.891,-6.681,2042172809288,1,0.010,0.010,4.064,-0.891,-6.681,7.788,0.000,0.000,7.918,0.000,0.000,0.000,9.253,0.000,0.000,7.730,0.000,0.000,0.000,7.788,0.000,0.000,7.927,7.918,0.000,0.000,97.422,0.000,0.000,0.000,7.730,0.000,0.000,97.297,0.000,0.000,0.000,7.927,0.000,0.000,99.222,7.870,8.267,7.870,4.064,-0.891,-6.681
0.000,2042172860176,1,-10.927,-1.725,-35.336,0.000,0.000,0.000,7.639,0.000,0.000,6.944,0.000,0.000,0.000,8.108,0.000,0.000,6.757,0.000,0.000,0.000,7.639,0.000,0.000,6.944,6.944,0.000,0.000,97.322,0.000,0.000,0.000,6.757,0.000,0.000,97.297,0.000,0.000,0.000,6.944,0.000,0.000,98.222,-10.927,-1.725,-35.336,2042172811360,1,0.000,0.010,-10.927,-1.725,-35.336,7.788,0.000,0.000,7.918,0.000,0.000,0.000,9.253,0.000,0.000,7.730,0.000,0.000,0.000,7.788,0.000,0.000,7.927,7.918,0.000,0.000,97.422,0.000,0.000,0.000,7.730,0.000,0.000,97.297,0.000,0.000,0.000,7.927,0.000,0.000,99.222,28.686,37.027,37.027,-10.927,-1.725,-35.336
0.100,2042172813208,1,5.574,-1.187,-9.076,2.518,-0.428,-4.013,7.143,0.000,0.000,11.912,0.000,0.000,0.000,7.845,0.000,0.000,11.313,0.000,0.000,0.000,7.148,0.000,0.000,11.973,11.912,0.000,0.000,89.476,0.000,0.000,0.000,11.313,0.000,0.000,89.837,0.000,0.000,0.000,11.973,0.000,0.000,91.192,9.348,-1.836,-15.059,2042172809288,1,0.000,0.110,5.599,-1.192,-9.116,7.391,0.000,0.000,12.806,0.000,0.000,0.000,9.080,0.000,0.000,12.211,0.000,0.000,0.000,7.397,0.000,0.000,12.885,12.806,0.000,0.000,89.576,0.000,0.000,0.000,12.211,0.000,0.000,89.837,0.000,0.000,0.000,12.885,0.000,0.000,92.192,17.820,8.579,17.820,9.348,-1.836,-15.059
0.100,2042172860176,1,-10.916,-1.746,-35.006,0.018,-0.030,0.552,7.143,0.000,0.000,11.912,0.000,0.000,0.000,7.845,0.000,0.000,11.313,0.000,0.000,0.000,7.148,0.000,0.000,11.973,11.912,0.000,0.000,89.476,0.000,0.000,0.000,11.313,0.000,0.000,89.837,0.000,0.000,0.000,11.973,0.000,0.000,91.192,-10.888,-1.793,-34.183,2042172811360,1,0.000,5.090,-10.824,-1.898,-32.250,2766.920,0.000,0.000,582.650,0.000,0.000,0.000,2856.694,0.000,0.000,459.599,0.000,0.000,0.000,6526.613,0.000,0.000,1709.533,582.650,0.000,0.000,139.376,0.000,0.000,0.000,459.599,0.000,0.000,89.837,0.000,0.000,0.000,1709.533,0.000,0.000,590.192,27.776,35.920,35.920,-10.888,-1.793,-34.183
0.100,2043673292696,1,3.453,-0.820,-12.306,0.000,0.000,0.000,7.639,0.000,0.000,6.944,0.000,0.000,0.000,8.108,0.000,0.000,6.757,0.000,0.000,0.000,7.639,0.000,0.000,6.944,6.944,0.000,0.000,97.322,0.000,0.000,0.000,6.757,0.000,0.000,97.297,0.000,0.000,0.000,6.944,0.000,0.000,98.222,3.453,-0.820,-12.306,2043673290288,1,0.000,0.110,3.453,-0.820,-12.306,7.788,0.000,0.000,7.918,0.000,0.000,0.000,9.253,0.000,0.000,7.730,0.000,0.000,0.000,7.788,0.000,0.000,7.927,7.918,0.000,0.000,97.422,0.000,0.000,0.000,7.730,0.000,0.000,97.297,0.000,0.000,0.000,7.927,0.000,0.000,99.222,12.274,19.255,12.808,3.453,-0.820,-12.306
0.100,2043673292360,1,5.898,-1.378,-35.564,0.000,0.000,0.000,7.639,0.000,0.000,6.944,0.000,0.000,0.000,8.108,0.000,0.000,6.757,0.000,0.000,0.000,7.639,0.000,0.000,6.944,6.944,0.000,0.000,97.322,0.000,0.000,0.000,6.757,0.000,0.000,97.297,0.000,0.000,0.000,6.944,0.000,0.000,98.222,5.898,-1.378,-35.564,2043673291072,1,0.000,0.110,5.898,-1.378,-35.564,7.788,0.000,0.000,7.918,0.000,0.000,0.000,9.253,0.000,0.000,7.730,0.000,0.000,0.000,7.788,0.000,0.000,7.927,7.918,0.000,0.000,97.422,0.000,0.000,0.000,7.730,0.000,0.000,97.297,0.000,0.000,0.000,7.927,0.000,0.000,99.222,18.964,36.077,36.077,5.898,-1.378,-35.564
0.100,2043673290456,1,-14.966,-1.888,-86.987,0.000,0.000,0.000,7.639,0.000,0.000,6.944,0.000,0.000,0.000,8.108,0.000,0.000,6.757,0.000,0.000,0.000,7.639,0.000,0.000,6.944,6.944,0.000,0.000,97.322,0.000,0.000,0.000,6.757,0.000,0.000,97.297,0.000,0.000,0.000,6.944,0.000,0.000,98.222,-14.966,-1.888,-86.987,2043673290064,1,0.000,0.110,-14.966,-1.888,-86.987,7.788,0.000,0.000,7.918,0.000,0.000,0.000,9.253,0.000,0.000,7.730,0.000,0.000,0.000,7.788,0.000,0.000,7.927,7.918,0.000,0.000,97.422,0.000,0.000,0.000,7.730,0.000,0.000,97.297,0.000,0.000,0.000,7.927,0.000,0.000,99.222,55.564,88.285,88.285,-14.966,-1.888,-86.987
0.200,2042172813208,1,6.312,-1.319,-10.115,3.491,-0.578,-5.300,7.355,0.000,0.000,14.723,0.000,0.000,0.000,8.111,0.000,0.000,13.712,0.000,0.000,0.000,7.372,0.000,0.000,14.873,14.723,0.000,0.000,77.292,0.000,0.000,0.000,13.712,0.000,0.000,78.705,0.000,0.000,0.000,14.873,0.000,0.000,79.645,7.479,-1.504,-11.641,2042172809288,1,0.000,0.210,6.347,-1.325,-10.168,7.657,0.000,0.000,15.495,0.000,0.000,0.000,9.393,0.000,0.000,14.499,0.000,0.000,0.000,7.677,0.000,0.000,15.669,15.495,0.000,0.000,77.392,0.000,0.000,0.000,14.499,0.000,0.000,78.705,0.000,0.000,0.000,15.669,0.000,0.000,80.645,13.918,9.154,13.918,7.479,-1.504,-11.641
0.200,2042172860176,1,-10.891,-1.756,-34.271,0.064,-0.042,1.924,7.355,0.000,0.000,14.723,0.000,0.000,0.000,8.111,0.000,0.000,13.712,0.000,0.000,0.000,7.372,0.000,0.000,14.873,14.723,0.000,0.000,77.292,0.000,0.000,0.000,13.712,0.000,0.000,78.705,0.000,0.000,0.000,14.873,0.000,0.000,79.645,-10.837,-1.771,-32.644,2042172811360,1,0.000,5.190,-10.574,-1.967,-24.669,2491.801,0.000,0.000,524.662,0.000,0.000,0.000,2603.707,0.000,0.000,406.448,0.000,0.000,0.000,6268.237,0.000,0.000,1654.810,524.662,0.000,0.000,127.192,0.000,0.000,0.000,406.448,0.000,0.000,78.705,0.000,0.000,0.000,1654.810,0.000,0.000,578.645,23.787,34.442,34.442,-10.837,-1.771,-32.644
0.200,2043673292696,1,3.342,-0.789,-11.672,-0.185,0.046,1.063,7.143,0.000,0.000,11.912,0.000,0.000,0.000,7.845,0.000,0.000,11.313,0.000,0.000,0.000,7.148,0.000,0.000,11.973,11.912,0.000,0.000,89.476,0.000,0.000,0.000,11.313,0.000,0.000,89.837,0.000,0.000,0.000,11.973,0.000,0.000,91.192,3.064,-0.719,-10.087,2043673290288,1,0.000,5.190,2.419,-0.560,-6.368,2766.920,0.000,0.000,582.650,0.000,0.000,0.000,2856.694,0.000,0.000,459.599,0.000,0.000,0.000,6526.613,0.000,0.000,1709.533,582.650,0.000,0.000,139.376,0.000,0.000,0.000,459.599,0.000,0.000,89.837,0.000,0.000,0.000,1709.533,0.000,0.000,590.192,10.567,17.668,10.567,3.064,-0.719,-10.087
0.200,2043673292360,1,5.962,-1.366,-35.273,0.106,0.018,0.489,7.143,0.000,0.000,11.912,0.000,0.000,0.000,7.845,0.000,0.000,11.313,0.000,0.000,0.000,7.148,0.000,0.000,11.973,11.912,0.000,0.000,89.476,0.000,0.000,0.000,11.313,0.000,0.000,89.837,0.000,0.000,0.000,11.973,0.000,0.000,91.192,6.122,-1.339,-34.544,2043673291072,1,0.000,5.190,6.493,-1.276,-32.833,2766.920,0.000,0.000,582.650,0.000,0.000,0.000,2856.694,0.000,0.000,459.599,0.000,0.000,0.000,6526.613,0.000,0.000,1709.533,582.650,0.000,0.000,139.376,0.000,0.000,0.000,459.599,0.000,0.000,89.837,0.000,0.000,0.000,1709.533,0.000,0.000,590.192,15.898,35.107,35.107,6.122,-1.339,-34.544
0.200,2043673290456,1,-14.732,-1.803,-85.073,0.390,0.122,3.205,7.143,0.000,0.000,11.912,0.000,0.000,0.000,7.845,0.000,0.000,11.313,0.000,0.000,0.000,7.148,0.000,0.000,11.973,11.912,0.000,0.000,89.476,0.000,0.000,0.000,11.313,0.000,0.000,89.837,0.000,0.000,0.000,11.973,0.000,0.000,91.192,-14.147,-1.618,-80.295,2043673290064,1,0.000,5.190,-12.784,-1.194,-69.083,2766.920,0.000,0.000,582.650,0.000,0.000,0.000,2856.694,0.000,0.000,459.599,0.000,0.000,0.000,6526.613,0.000,0.000,1709.533,582.650,0.000,0.000,139.376,0.000,0.000,0.000,459.599,0.000,0.000,89.837,0.000,0.000,0.000,1709.533,0.000,0.000,590.192,51.894,81.548,81.548,-14.147,-1.618,-80.295
0.300,2042172813208,1,6.896,-1.389,-10.748,3.967,-0.599,-5.509,7.674,0.000,0.000,15.560,0.000,0.000,0.000,8.395,0.000,0.000,14.335,0.000,0.000,0.000,7.707,0.000,0.000,15.796,15.560,0.000,0.000,63.418,0.000,0.000,0.000,14.335,0.000,0.000,66.330,0.000,0.000,0.000,15.796,0.000,0.000,66.215,7.425,-1.412,-10.977,2042172809288,1,0.000,0.310,6.936,-1.395,-10.803,7.991,0.000,0.000,16.194,0.000,0.000,0.000,9.689,0.000,0.000,14.998,0.000,0.000,0.000,8.030,0.000,0.000,16.459,16.194,0.000,0.000,63.518,0.000,0.000,0.000,14.998,0.000,0.000,66.330,0.000,0.000,0.000,16.459,0.000,0.000,67.215,13.328,10.131,13.328,7.425,-1.412,-10.977
0.300,2042172860176,1,-10.813,-1.730,-33.025,0.210,0.010,4.083,7.674,0.000,0.000,15.560,0.000,0.000,0.000,8.395,0.000,0.000,14.335,0.000,0.000,0.000,7.707,0.000,0.000,15.796,15.560,0.000,0.000,63.418,0.000,0.000,0.000,14.335,0.000,0.000,66.330,0.000,0.000,0.000,15.796,0.000,0.000,66.215,-10.650,-1.669,-30.662,2042172811360,1,0.000,5.290,-9.766,-1.679,-12.651,2155.010,0.000,0.000,456.268,0.000,0.000,0.000,2302.070,0.000,0.000,345.320,0.000,0.000,0.000,5943.389,0.000,0.000,1588.719,456.268,0.000,0.000,113.318,0.000,0.000,0.000,345.320,0.000,0.000,66.330,0.000,0.000,0.000,1588.719,0.000,0.000,565.215,20.835,32.502,32.502,-10.650,-1.669,-30.662
0.300,2043673292696,1,3.329,-0.783,-11.017,-0.173,0.048,2.169,7.355,0.000,0.000,14.723,0.000,0.000,0.000,8.111,0.000,0.000,13.712,0.000,0.000,0.000,7.372,0.000,0.000,14.873,14.723,0.000,0.000,77.292,0.000,0.000,0.000,13.712,0.000,0.000,78.705,0.000,0.000,0.000,14.873,0.000,0.000,79.645,3.343,-0.780,-9.705,2043673290288,1,0.000,5.290,2.463,-0.543,-0.191,2491.801,0.000,0.000,524.662,0.000,0.000,0.000,2603.707,0.000,0.000,406.448,0.000,0.000,0.000,6268.237,0.000,0.000,1654.810,524.662,0.000,0.000,127.192,0.000,0.000,0.000,406.448,0.000,0.000,78.705,0.000,0.000,0.000,1654.810,0.000,0.000,578.645,10.294,15.103,10.294,3.343,-0.780,-9.705
0.300,2043673292360,1,5.955,-1.311,-33.982,0.071,0.107,2.994,7.355,0.000,0.000,14.723,0.000,0.000,0.000,8.111,0.000,0.000,13.712,0.000,0.000,0.000,7.372,0.000,0.000,14.873,14.723,0.000,0.000,77.292,0.000,0.000,0.000,13.712,0.000,0.000,78.705,0.000,0.000,0.000,14.873,0.000,0.000,79.645,5.913,-1.202,-31.012,2043673291072,1,0.000,5.290,6.310,-0.778,-19.040,2491.801,0.000,0.000,524.662,0.000,0.000,0.000,2603.707,0.000,0.000,406.448,0.000,0.000,0.000,6268.237,0.000,0.000,1654.810,524.662,0.000,0.000,127.192,0.000,0.000,0.000,406.448,0.000,0.000,78.705,0.000,0.000,0.000,1654.810,0.000,0.000,578.645,15.936,32.721,31.594,5.913,-1.202,-31.012
0.300,2043673290456,1,-14.434,-1.625,-82.219,0.909,0.403,8.318,7.355,0.000,0.000,14.723,0.000,0.000,0.000,8.111,0.000,0.000,13.712,0.000,0.000,0.000,7.372,0.000,0.000,14.873,14.723,0.000,0.000,77.292,0.000,0.000,0.000,13.712,0.000,0.000,78.705,0.000,0.000,0.000,14.873,0.000,0.000,79.645,-13.812,-1.278,-76.158,2043673290064,1,0.000,5.290,-9.896,0.386,-40.713,2491.801,0.000,0.000,524.662,0.000,0.000,0.000,2603.707,0.000,0.000,406.448,0.000,0.000,0.000,6268.237,0.000,0.000,1654.810,524.662,0.000,0.000,127.192,0.000,0.000,0.000,406.448,0.000,0.000,78.705,0.000,0.000,0.000,1654.810,0.000,0.000,578.645,45.827,77.411,77.411,-13.812,-1.278,-76.158
0.400,2042172813208,1,6.941,-1.331,-10.428,3.292,-0.408,-3.817,7.839,0.000,0.000,15.034,0.000,0.000,0.000,8.520,0.000,0.000,13.821,0.000,0.000,0.000,7.890,0.000,0.000,15.343,15.034,0.000,0.000,50.347,0.000,0.000,0.000,13.821,0.000,0.000,54.738,0.000,0.000,0.000,15.343,0.000,0.000,53.457,6.171,-1.104,-8.540,2042172809288,1,0.000,0.410,6.974,-1.335,-10.466,8.145,0.000,0.000,15.538,0.000,0.000,0.000,9.802,0.000,0.000,14.369,0.000,0.000,0.000,8.202,0.000,0.000,15.877,15.538,0.000,0.000,50.447,0.000,0.000,0.000,14.369,0.000,0.000,54.738,0.000,0.000,0.000,15.877,0.000,0.000,54.457,10.594,11.738,10.594,6.171,-1.104,-8.540
