time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,pattern,matched
0.000,2801324177560,1,1.000,1120.000,1240.000,254.000,302.000,1,1,1,1,0,False
0.000,2801324179128,1,1.000,1039.000,1152.000,252.000,300.000,1,1,1,1,0,False
0.000,2801324177280,2,1.000,636.000,712.000,220.000,377.000,1,1,1,1,0,False
0.000,2801324176552,1,1.000,515.000,649.000,239.000,332.000,1,1,1,1,0,False
0.000,2801324178624,2,1.000,225.000,257.000,225.000,303.000,1,1,1,1,0,False
0.000,2801324176384,2,1.000,197.000,225.000,218.000,283.000,1,1,1,1,0,False
0.000,2801324176328,2,1.000,282.000,319.000,227.000,316.000,1,1,1,1,0,False
0.000,2801324178904,2,1.000,369.000,388.000,226.000,275.000,1,1,1,1,0,False
0.000,2801324178568,2,1.000,350.000,368.000,228.000,277.000,1,1,1,1,0,False
0.000,2801324177224,1,0.999,1173.000,1297.000,255.000,305.000,1,2,1,1,0,False
0.000,2801324176496,2,0.966,231.000,268.000,223.000,304.000,1,1,1,1,0,False
0.000,2801324177504,2,0.966,242.000,279.000,221.000,298.000,1,1,1,1,0,False
0.000,2799695470432,1,1.000,1111.000,1230.000,253.000,302.000,1,1,1,1,0,False
0.000,2799695469368,1,1.000,489.000,625.000,237.000,332.000,1,1,1,1,0,False
0.000,2799695467744,2,1.000,590.000,668.000,222.000,376.000,1,1,1,1,0,False
0.000,2799695467464,1,1.000,676.000,712.000,242.000,269.000,1,1,1,1,0,False
0.000,2799695467240,2,1.000,254.000,293.000,227.000,315.000,1,1,1,1,0,False
0.000,2799695466736,2,1.000,205.000,250.000,222.000,305.000,1,1,1,1,0,False
0.000,2799695467072,1,1.000,1024.000,1135.000,252.000,299.000,1,1,1,1,0,False
0.000,2799695469032,2,1.000,180.000,208.000,217.000,284.000,1,1,1,1,0,False
0.000,2799695467912,2,0.926,239.000,271.000,219.000,291.000,1,1,1,1,0,False
0.000,2799695469480,2,0.703,335.000,354.000,226.000,277.000,1,1,1,1,0,False
0.000,2799695469424,2,0.693,301.000,316.000,230.000,273.000,1,1,1,1,0,False
0.100,2799697916032,1,1.000,1118.000,1239.000,254.000,302.000,1,1,1,1,0,True
0.100,2799697919504,1,1.000,1040.000,1152.000,251.000,300.000,1,1,1,1,0,True
0.100,2799697919112,2,1.000,627.000,707.000,223.000,375.000,1,1,1,1,0,True
0.100,2796778850120,2,1.000,288.000,320.000,229.000,315.000,1,1,1,1,0,True
0.100,2796778849448,2,1.000,201.000,229.000,216.000,286.000,1,1,1,1,0,True
0.100,2796778851016,1,1.000,682.000,722.000,242.000,270.000,1,1,1,1,0,False
0.100,2796778850680,1,1.000,526.000,653.000,237.000,327.000,1,1,1,1,0,True
0.100,2796778849784,2,1.000,241.000,270.000,223.000,302.000,1,1,1,1,0,False
0.100,2796778849672,2,1.000,257.000,284.000,218.000,290.000,1,1,1,1,0,False
0.100,2796778850568,2,1.000,224.000,253.000,226.000,300.000,1,1,1,1,0,True
0.100,2796778848944,2,1.000,368.000,387.000,226.000,276.000,1,1,1,1,0,True
0.100,2799735768008,1,1.000,1172.000,1297.000,255.000,304.000,1,2,1,1,0,True
0.100,2802590644768,2,1.000,352.000,368.000,229.000,279.000,1,1,1,1,0,True
0.100,2796785137424,2,0.948,251.000,278.000,221.000,299.000,1,1,1,1,0,True
0.100,2796785138152,2,0.863,230.000,264.000,224.000,302.000,1,1,1,1,0,True
0.100,2796794160352,1,1.000,1109.000,1230.000,253.000,302.000,1,1,1,1,0,False
0.100,2796794162928,2,1.000,585.000,660.000,224.000,375.000,1,1,1,1,0,False
0.100,2796794159344,2,1.000,260.000,296.000,225.000,315.000,1,1,1,1,0,False
0.100,2796794160632,2,1.000,238.000,269.000,218.000,293.000,1,1,1,1,0,False
0.100,2796794162648,2,1.000,184.000,209.000,220.000,288.000,1,1,1,1,0,False
0.100,2796794160408,1,1.000,676.000,712.000,242.000,270.000,1,1,1,1,0,False
0.100,2796794162032,2,1.000,205.000,240.000,226.000,301.000,1,1,1,1,0,False
0.100,2796794159792,1,1.000,1023.000,1137.000,252.000,300.000,1,1,1,1,0,False
0.100,2796794160576,1,1.000,495.000,631.000,237.000,332.000,1,1,1,1,0,False
0.200,2797012866552,1,1.000,1119.000,1239.000,254.000,303.000,1,1,1,1,0,True
0.200,2796781822528,1,1.000,539.000,653.000,239.000,324.000,1,1,1,1,0,True
0.200,2796782222528,1,1.000,1042.000,1153.000,252.000,301.000,1,1,1,1,0,True
0.200,2796794161808,2,1.000,625.000,692.000,224.000,374.000,1,1,1,1,0,True
0.200,2796794161696,1,1.000,685.000,721.000,243.000,271.000,1,1,1,1,0,True
0.200,2796794161864,2,1.000,291.000,325.000,223.000,314.000,1,1,1,1,0,True
0.200,2796794160016,2,1.000,203.000,229.000,214.000,288.000,1,1,1,1,0,True
0.200,2796794161192,2,1.000,258.000,290.000,213.000,292.000,1,1,1,1,0,True
0.200,2796794162536,2,1.000,367.000,385.000,229.000,275.000,1,1,1,1,0,True
0.200,2796794159680,1,1.000,1173.000,1294.000,255.000,305.000,1,2,1,1,0,True
0.200,2799695467912,2,1.000,231.000,268.000,223.000,300.000,1,1,1,1,0,True
0.200,2801324175824,2,0.970,350.000,367.000,229.000,276.000,1,1,1,1,0,True
0.200,2801323446112,1,1.000,1110.000,1232.000,253.000,303.000,1,1,1,1,0,False
0.200,2801409847424,1,1.000,510.000,629.000,237.000,326.000,1,1,1,1,0,False
0.200,2801409849776,2,1.000,583.000,646.000,222.000,376.000,1,1,1,1,0,False
0.200,2801409850392,1,1.000,676.000,711.000,243.000,271.000,1,1,1,1,0,False
0.200,2801409851008,2,1.000,242.000,274.000,217.000,290.000,1,1,1,1,0,False
0.200,2801409849832,2,1.000,269.000,301.000,228.000,315.000,1,1,1,1,0,False
0.200,2801409851120,2,1.000,202.000,245.000,223.000,301.000,1,1,1,1,0,False
0.200,2801409849944,2,1.000,334.000,354.000,226.000,278.000,1,1,1,1,0,False
0.200,2801409848936,2,1.000,355.000,372.000,228.000,276.000,1,1,1,1,0,False
0.300,2800788073608,1,1.000,1119.000,1239.000,254.000,302.000,1,1,1,1,0,True
0.300,2800788072600,1,1.000,548.000,646.000,240.000,321.000,1,1,1,1,0,True
0.300,2801399977800,1,1.000,686.000,721.000,242.000,270.000,1,1,1,1,0,True
0.300,2801399979760,2,1.000,619.000,673.000,225.000,370.000,1,1,1,1,0,True
0.300,2801399979368,1,1.000,1043.000,1152.000,252.000,300.000,1,1,1,1,0,True
0.300,2801399978024,2,1.000,366.000,384.000,228.000,280.000,1,1,1,1,0,True
0.300,2801399976288,2,1.000,264.000,293.000,214.000,291.000,1,1,1,1,0,True
0.300,2801399979200,2,1.000,230.000,268.000,222.000,304.000,1,1,1,1,0,True
