time,priority,object,text
0.000,3,2042151747480,Detection created
0.000,3,2042172809960,Detection created
0.000,2,2042172809288,Pattern created
0.000,2,2042172813208,Body created
0.000,2,2042172811360,Pattern created
0.000,2,2042172860176,Body created
0.000,3,2041754336560,Detection created
0.000,3,2041754337176,Detection created
0.000,3,2041754334600,Detection created
0.000,3,2041754336224,Detection created
0.000,3,2041754335720,Detection created
0.100,3,2043673289728,Detection created
0.100,3,2043673292304,Detection created
0.100,3,2043673288832,Detection created
0.100,3,2043673289224,Detection created
0.100,3,2043673290960,Detection created
0.100,2,2043673290288,Pattern created
0.100,2,2043673292696,Body created
0.100,2,2043673291072,Pattern created
0.100,2,2043673292360,Body created
0.100,2,2043673290064,Pattern created
0.100,2,2043673290456,Body created
0.100,3,2043673292080,Detection created
0.100,3,2043673289504,Detection created
0.100,3,2043673292248,Detection created
0.100,3,2043673291856,Detection created
0.100,3,2043673289392,Detection created
0.200,3,2041754337176,Detection created
0.200,3,2042033597800,Detection created
0.200,3,2042033594664,Detection created
0.200,3,2042033595728,Detection created
0.200,3,2042033598416,Detection created
0.200,3,2042033596400,Detection created
0.200,3,2042033594720,Detection created
0.200,3,2042033596288,Detection created
0.200,3,2042033595336,Detection created
0.200,3,2042033595224,Detection created
0.300,3,2043673289392,Detection created
0.300,3,2041754518696,Detection created
0.300,3,2041754518752,Detection created
0.300,3,2041754521328,Detection created
0.300,3,2041754518416,Detection created
0.300,3,2042033597856,Detection created
0.300,3,2042033595896,Detection created
0.300,3,2042033595056,Detection created
0.300,3,2042033597128,Detection created
0.300,3,2042033596848,Detection created
0.300,3,2042033596008,Detection created
0.400,3,2041754520040,Detection created
0.400,3,2041754519088,Detection created
0.400,3,2042172861912,Detection created
0.400,3,2041960813848,Detection created
0.400,3,2041960812784,Detection created
0.400,3,2041942315248,Detection created
0.400,3,2041942316648,Detection created
0.400,3,2041942316368,Detection created
0.400,3,2041942315136,Detection created
0.400,3,2041942316424,Detection created
0.500,3,2042172860232,Detection created
