time,priority,object,text
0.000,3,1857713573504,Detection created
0.000,2,1857713544608,Pattern created
0.000,3,1858464642160,Detection created
0.000,2,1858464643112,Pattern created
0.000,1,1858453164832,Body created
0.100,3,1858464644680,Detection created
0.100,3,1858464644456,Detection created
0.200,3,1858464642944,Detection created
0.200,3,1858464644736,Detection created
0.300,3,1861129090664,Detection created
0.300,3,1857718617760,Detection created
0.400,3,1858464643952,Detection created
0.400,3,1858464642384,Detection created
0.500,3,1858275050664,Detection created
0.500,3,1858062464168,Detection created
0.600,3,1858465782360,Detection created
0.600,3,1858464643280,Detection created
0.700,3,1861123097824,Detection created
0.700,3,1858464643392,Detection created
0.800,3,1858464642776,Detection created
0.800,3,1858464642048,Detection created
