time,id,class_id,confidence,x_min,x_max,y_min,y_max,border_left,border_right,border_top,border_bottom,vx_min,vx_max,vy_min,vy_max,sigma_x_min_00,sigma_x_min_01,sigma_x_min_10,sigma_x_min_11,sigma_x_max_00,sigma_x_max_01,sigma_x_max_10,sigma_x_max_11,sigma_y_min_00,sigma_y_min_01,sigma_y_min_10,sigma_y_min_11,sigma_y_max_00,sigma_y_max_01,sigma_y_max_10,sigma_y_max_11,x_center,y_center,vx_center,vy_center,vx_center_var,vy_center_var,retention_count,body,matched,x_min_d,x_max_d,y_min_d,y_max_d
0.000,2796793998752,1,1.000,1120.000,1240.000,254.000,302.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,1180.000,278.000,0.000,0.000,200.000,200.000,0,2796793999200,False,1120.000,1240.000,254.000,302.000
0.000,2796793998080,1,1.000,1039.000,1152.000,252.000,300.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,1095.500,276.000,0.000,0.000,200.000,200.000,0,2796793997520,False,1039.000,1152.000,252.000,300.000
0.000,2796793995728,2,1.000,636.000,712.000,220.000,377.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,674.000,298.500,0.000,0.000,200.000,200.000,0,2796793997072,False,636.000,712.000,220.000,377.000
0.000,2796793997800,1,1.000,515.000,649.000,239.000,332.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,582.000,285.500,0.000,0.000,200.000,200.000,0,2796793995504,False,515.000,649.000,239.000,332.000
0.000,2796793997184,2,1.000,225.000,257.000,225.000,303.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,241.000,264.000,0.000,0.000,200.000,200.000,0,2796793998976,False,225.000,257.000,225.000,303.000
0.000,2796793995952,2,1.000,197.000,225.000,218.000,283.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,211.000,250.500,0.000,0.000,200.000,200.000,0,2796793997240,False,197.000,225.000,218.000,283.000
0.000,2796793998920,2,1.000,282.000,319.000,227.000,316.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,300.500,271.500,0.000,0.000,200.000,200.000,0,2796793995616,False,282.000,319.000,227.000,316.000
0.000,2796793997128,2,1.000,369.000,388.000,226.000,275.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,378.500,250.500,0.000,0.000,200.000,200.000,0,2796793997968,False,369.000,388.000,226.000,275.000
0.000,2799695469760,2,1.000,350.000,368.000,228.000,277.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,359.000,252.500,0.000,0.000,200.000,200.000,0,2799695468752,False,350.000,368.000,228.000,277.000
0.000,2799695466792,1,0.999,1173.000,1297.000,255.000,305.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,1235.000,280.000,0.000,0.000,200.000,200.000,0,2799695469816,False,1173.000,1297.000,255.000,305.000
0.000,2799695467184,2,0.966,231.000,268.000,223.000,304.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,249.500,263.500,0.000,0.000,200.000,200.000,0,2799695470096,False,231.000,268.000,223.000,304.000
0.000,2799695470320,2,0.966,242.000,279.000,221.000,298.000,1,1,1,1,0.000,0.000,0.000,0.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,100.000,0.000,0.000,10000.000,260.500,259.500,0.000,0.000,200.000,200.000,0,2799695466904,False,242.000,279.000,221.000,298.000
0.100,2796793998752,1,1.000,1118.667,1239.333,254.000,302.000,1,1,1,1,-6.667,-3.333,0.000,0.000,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,1179.000,278.000,-5.000,0.000,133.333,133.333,0,2796793999200,True,1118.000,1239.000,254.000,302.000
0.100,2796793998080,1,1.000,1039.667,1152.000,251.333,300.000,1,1,1,1,3.333,0.000,-3.333,0.000,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,1095.833,275.667,1.667,-1.667,133.333,133.333,0,2796793997520,True,1040.000,1152.000,251.000,300.000
0.100,2796793995728,2,1.000,630.000,708.667,222.000,375.667,1,1,1,1,-30.000,-16.667,10.000,-6.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,669.333,298.833,-23.333,1.667,133.333,133.333,0,2796793997072,True,627.000,707.000,223.000,375.000
0.100,2796793997800,1,1.000,522.333,651.667,237.667,328.667,1,1,1,1,36.667,13.333,-6.667,-16.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,587.000,283.167,25.000,-11.667,133.333,133.333,0,2796793995504,True,526.000,653.000,237.000,327.000
0.100,2796793997184,2,1.000,224.333,254.333,225.667,301.000,1,1,1,1,-3.333,-13.333,3.333,-10.000,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,239.333,263.333,-8.333,-3.333,133.333,133.333,0,2796793998976,True,224.000,253.000,226.000,300.000
0.100,2796793995952,2,1.000,199.667,227.667,216.667,285.000,1,1,1,1,13.333,13.333,-6.667,10.000,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,213.667,250.833,13.333,1.667,133.333,133.333,0,2796793997240,True,201.000,229.000,216.000,286.000
0.100,2796793998920,2,1.000,286.000,319.667,228.333,315.333,1,1,1,1,20.000,3.333,6.667,-3.333,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,66.667,333.333,333.333,6766.667,302.833,271.833,11.667,1.667,133.333,133.333,0,2796793995616,True,288.000,320.000,229.000,315.000
