time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance
0.04,1,569.00,811.00,573.00,721.00,573.00,811.00,572.00,721.00,564.08,800.19,564.70,711.39,4.12
0.04,3,520.00,724.00,379.00,522.00,521.00,730.00,384.00,531.00,513.74,718.35,377.28,521.05,11.96
0.04,2,804.00,986.00,298.00,440.00,815.00,994.00,305.00,447.00,800.62,978.20,298.70,438.80,16.82
0.04,4,593.00,741.00,205.00,304.00,595.00,743.00,204.00,306.00,586.43,732.46,201.60,301.28,3.61
0.04,5,415.00,585.00,267.00,382.00,417.00,589.00,276.00,385.00,410.80,579.87,269.44,378.91,10.49
0.08,1,563.89,799.76,564.37,711.01,573.00,823.00,578.00,722.00,575.23,822.29,578.54,725.00,30.49
0.08,3,513.49,718.13,377.21,521.01,523.00,729.00,384.00,531.00,524.57,732.11,385.23,532.47,18.83
0.08,4,586.17,732.12,201.47,301.17,597.00,754.00,204.00,307.00,598.81,753.12,205.07,307.83,25.23
0.08,2,800.49,977.88,298.72,438.76,819.00,997.00,308.00,448.00,820.07,999.62,307.51,448.93,29.66
0.08,5,410.64,579.67,269.54,378.79,416.00,595.00,272.00,382.00,418.10,595.05,273.78,384.59,16.74
0.12,1,575.48,822.74,578.76,725.16,570.00,826.00,589.00,721.00,568.43,819.53,581.42,717.97,12.76
0.12,3,524.76,732.44,385.48,532.89,524.00,735.00,387.00,537.00,520.95,729.37,383.97,532.05,5.13
0.12,2,820.71,1000.17,307.89,449.28,823.00,1003.00,314.00,461.00,816.91,995.56,309.72,453.68,13.71
0.12,5,418.22,595.45,274.05,384.69,422.00,603.00,281.00,383.00,417.90,596.34,276.61,381.20,11.06
0.12,4,599.04,753.61,205.07,307.98,605.00,751.00,211.00,306.00,598.92,747.20,207.44,304.80,9.02
0.12,5,417.90,596.34,276.61,381.20,427.00,591.00,255.00,335.00,424.05,598.10,270.11,365.97,54.12
0.16,3,520.99,729.58,384.17,532.45,535.00,733.00,392.00,545.00,531.71,734.57,390.53,542.31,20.66
0.16,1,568.41,819.87,581.76,717.85,564.00,833.00,601.00,724.00,567.93,831.22,595.95,724.49,24.49
0.16,2,817.43,995.95,310.19,454.23,831.00,1008.00,320.00,465.00,829.04,1007.33,317.48,462.68,23.28
0.16,5,424.41,598.63,270.24,365.32,435.00,607.00,290.00,406.00,429.85,602.49,281.26,388.32,47.19
0.16,4,599.16,747.45,207.54,304.83,604.00,756.00,206.00,305.00,604.52,755.69,207.41,306.14,9.94
0.16,5,429.85,602.49,281.26,388.32,432.00,589.00,253.00,333.00,431.26,598.41,271.29,368.57,38.63
0.16,6,313.00,434.00,197.00,281.00,309.00,437.00,197.00,283.00,306.16,430.22,194.37,278.59,5.39
0.20,3,532.18,735.00,390.99,543.12,536.00,735.00,397.00,551.00,533.24,733.21,393.75,546.67,10.62
0.20,2,830.05,1008.18,318.25,463.59,835.00,1015.00,320.00,458.00,831.08,1009.94,318.56,459.00,10.26
0.20,1,567.88,832.03,596.87,724.63,561.00,837.00,609.00,724.00,562.24,833.07,602.91,722.47,14.82
0.20,5,431.92,598.95,271.46,368.03,434.00,607.00,297.00,407.00,432.97,603.39,286.11,390.41,47.33
0.20,4,604.98,756.27,207.50,306.22,606.00,759.00,202.00,311.00,604.13,756.11,203.60,308.43,7.85
0.20,5,432.97,603.39,286.11,390.41,439.00,593.00,255.00,333.00,435.31,599.77,274.81,369.51,39.80
0.20,6,305.89,430.07,194.27,278.49,314.00,438.00,205.00,280.00,314.02,439.33,202.92,282.22,15.69
0.24,3,533.77,733.57,394.34,547.65,537.00,739.00,401.00,559.00,536.57,738.03,399.05,555.49,14.60
0.24,2,832.16,1010.89,319.38,459.76,833.00,1021.00,321.00,465.00,833.94,1018.66,320.86,463.69,11.53
0.24,1,561.97,833.96,604.11,722.53,569.00,840.00,613.00,723.00,567.16,838.95,610.51,723.91,12.85
0.24,5,436.12,600.36,275.12,369.01,436.00,609.00,292.00,407.00,436.02,605.30,284.85,390.92,42.46
0.24,4,604.58,756.72,203.54,308.61,611.00,763.00,205.00,315.00,609.46,761.74,204.75,313.02,11.12
0.24,5,436.02,605.30,284.85,390.92,438.00,594.00,255.00,337.00,436.77,601.21,273.94,371.21,38.39
0.24,6,314.06,439.54,203.16,282.27,308.00,443.00,196.00,287.00,308.31,438.89,197.43,283.41,11.06
0.28,3,537.23,738.59,399.85,556.83,543.00,744.00,407.00,568.00,540.30,741.25,403.90,563.21,15.44
0.28,2,835.13,1019.97,321.77,464.64,841.00,1027.00,323.00,466.00,837.98,1023.36,322.23,465.05,9.34
0.28,1,567.09,840.07,612.01,724.03,576.00,838.00,624.00,722.00,572.07,838.01,618.85,722.10,15.21
0.28,5,437.64,601.85,274.22,370.78,441.00,617.00,301.00,408.00,439.57,610.59,289.68,392.26,48.41
0.28,6,308.13,439.09,197.45,283.50,308.00,446.00,199.00,288.00,309.26,445.09,199.19,287.40,8.39
