time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.040,1,569.000,811.000,573.000,721.000,573.000,811.000,572.000,721.000,569.828,811.000,572.793,721.000,0.000,0.000,0.000,0.000,12.688,0.000,-3.172,0.000,0.006,0.02,0.00,0.01,0.03,0.19,0.65,0.05,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,1.00
0.040,3,520.000,724.000,379.000,522.000,521.000,730.000,384.000,531.000,520.207,725.242,380.035,523.863,0.000,0.000,0.000,0.000,3.172,19.033,15.860,28.549,0.033,0.02,0.00,0.00,0.01,0.06,0.31,0.11,0.49,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.95
0.040,2,804.000,986.000,298.000,440.000,815.000,994.000,305.000,447.000,806.277,987.656,299.449,441.449,0.000,0.000,0.000,0.000,34.893,25.377,22.205,22.205,0.051,0.16,0.03,0.01,0.00,0.08,0.37,0.18,0.17,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.95
0.080,1,570.335,811.000,572.666,720.873,573.000,823.000,578.000,722.000,571.653,815.507,574.590,720.873,12.688,0.000,0.000,-3.172,21.665,49.942,19.554,-3.172,0.026,0.03,0.01,0.01,0.03,0.20,0.67,0.03,0.03,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,1.00
0.080,3,520.334,726.003,380.669,525.005,523.000,729.000,384.000,531.000,521.414,727.604,382.316,527.969,3.172,19.033,19.033,28.549,13.740,28.336,27.082,48.747,0.023,0.02,0.00,0.01,0.01,0.07,0.29,0.09,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.98
0.080,2,807.672,988.671,300.337,442.337,819.000,997.000,308.000,448.000,812.798,992.433,303.770,445.018,34.893,25.377,25.377,22.205,76.227,55.816,50.400,42.076,0.051,0.18,0.02,0.00,0.01,0.11,0.35,0.15,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.78
0.120,1,572.520,817.505,575.372,721.655,570.000,826.000,589.000,721.000,571.876,822.400,581.883,721.655,21.665,49.942,49.942,19.554,9.385,73.507,66.140,19.554,0.036,0.02,0.00,0.01,0.03,0.21,0.69,0.02,0.01,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.99
0.120,3,521.964,728.738,383.400,529.919,524.000,735.000,387.000,537.000,523.176,732.158,385.605,534.157,13.740,28.336,28.336,48.747,19.131,46.937,36.210,67.354,0.028,0.01,0.00,0.00,0.02,0.07,0.31,0.11,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,0.99
0.120,2,815.847,994.666,305.786,446.702,823.000,1003.000,314.000,461.000,820.726,999.619,310.566,454.010,76.227,55.816,55.816,42.076,91.109,77.945,72.879,87.827,0.062,0.16,0.02,0.00,0.00,0.09,0.35,0.20,0.18,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.97
0.120,4,597.000,754.000,204.000,307.000,605.000,751.000,211.000,306.000,598.656,753.379,205.449,306.793,0.000,0.000,0.000,0.000,25.377,-9.516,22.205,-3.172,0.037,0.08,0.04,0.01,0.00,0.08,0.16,0.12,0.51,0.11,0.04,0.01,0.01,0.07,0.19,0.12,0.45,0.62
